code,股票代码,market_code,涨停原因类别[20260409]
605318,605318.SH,17,AI子公司+装配式建筑+亏损收窄
300489,300489.SZ,33,红外光学+卫星太阳能电池+MEMS探测器
000990,000990.SZ,33,甲醇+氢能源+POE新材料+青岛国资
600599,600599.SH,22,
002328,002328.SZ,33,液冷服务器+汽车零部件+特斯拉+回购
600345,600345.SH,17,参股长飞光纤+商业航天+央企
000638,000638.SZ,33,
600608,600608.SH,22,
600707,600707.SH,17,液晶面板+基板玻璃+国企改革
002645,002645.SZ,33,稀土永磁+机器人+汽车拆解+扭亏为盈
002731,002731.SZ,33,
002150,002150.SZ,33,光伏逆变器+储能+外销
603929,603929.SH,17,IC洁净室+东南亚订单+年报增长
000889,000889.SZ,33,算力销售+5G消息+短信通道
002580,002580.SZ,33,液冷+固态电池+储能+山东国资
002636,002636.SZ,33,覆铜板涨价+高频高速CCL+定增扩产
002542,002542.SZ,33,
300561,300561.SZ,33,
600743,600743.SH,17,物业+轻资产转型+国企
000070,000070.SZ,33,光纤涨价+CPO+深圳国资
603950,603950.SH,17,复牌+重大资产重组+柴油动力单元+热交换系统
002822,002822.SZ,33,IDC算力+光伏新能源+重整完成
000586,000586.SZ,33,光纤+特种光缆+车载电子+定增推进
002039,002039.SZ,33,一季报预增+水电+央企
603757,603757.SH,17,液冷+储能+算力+泵业龙头
603306,603306.SH,17,800G光模块+CPO+收购恢复审核
002962,002962.SZ,33,光学元件+AR/VR拓展+微棱镜量产
603958,603958.SH,17,机器人概念+消费电子+3D打印+股权收购
002107,002107.SZ,33,业绩大增+心脑血管中药+外资买入
601811,601811.SH,17,出版传媒+IP+高股息+四川国资
002025,002025.SZ,33,商业航天+军工电子+光模块+央企
002536,002536.SZ,33,液冷服务器+机器人+汽车热管理
600696,600696.SH,22,
605056,605056.SH,17,机器人+电网MRO+央企客户
601133,601133.SH,17,半导体洁净室+存储芯片+海外扩张
603507,603507.SH,17,风电设备+燃气轮机+外骨骼机器人
002342,002342.SZ,33,商业航天+深海系泊+索具龙头
603773,603773.SH,17,玻璃基板+CPO+商业航天
603121,603121.SH,17,人形机器人+传感器+氢能
000909,000909.SZ,33,智慧交通+充电桩+杭州国资+ST博弈
002843,002843.SZ,33,数据中心电源+商业航天+锯切龙头
603813,603813.SH,22,退市博弈+氢能物流+电商物流
002635,002635.SZ,33,折叠屏+消费电子+苹果+机器人
002281,002281.SZ,33,3.2T硅光模块+CPO+央企
600337,600337.SH,17,重整预期+AI智家+拟收购万德溙（铜缆）
002384,002384.SZ,33,一季度预增+AI PCB+光芯片
603863,603863.SH,17,造纸+减亏+资产优化
601869,601869.SH,17,光纤涨价+AI算力光纤+年报增长
603777,603777.SH,17,拟协议转让10%股份+健康零食+IP经济
002718,002718.SZ,33,实控人变更+集成吊顶+智能家居
600381,600381.SH,22,
000004,000004.SZ,33,
600238,600238.SH,22,
600629,600629.SH,17,上海国资整合+工程设计+浦东机场T3
002620,002620.SZ,33,重整投资人+光伏建筑一体化+建筑装饰
605189,605189.SH,17,一季度预增+筒子纱龙头+PEEK材料
605081,605081.SH,22,
600594,600594.SH,17,阿扎胞苷获批+抗肿瘤药+民营医院
000078,000078.SZ,33,创新药+医疗器械+医药流通
600330,600330.SH,17,铌酸锂晶体+光模块+商业航天
000793,000793.SZ,33,重整继续经营+海南文旅+国资入主
002630,002630.SZ,33,
600619,600619.SH,17,年报增长+光刻机冷却+上海国资
002824,002824.SZ,33,消费电子+AI终端+电池结构件
600193,600193.SH,22,
603216,603216.SH,17,高端木作+芯片概念
301181,301181.SZ,33,汽车热管理+比亚迪概念
002364,002364.SZ,33,宁德时代入股+HVDC+数据中心电源
603843,603843.SH,22,算力租赁+重整预期+ST板块
603808,603808.SH,17,多品牌矩阵+服装+AI应用+扭亏为盈
002947,002947.SZ,33,消费电子+精密金属结构件+算力服务器+股票期权激励
002975,002975.SZ,33,液冷服务器+AI服务器测试+年报增长
002528,002528.SZ,33,庭外重组+深圳国资+智慧城市+AI安防
002650,002650.SZ,33,减盐酱油+ST摘帽预期+无实控人
