所属概念数量,code,所属概念,market_code,股票代码
10.0,920186,中字头股票;国家大基金持股;中芯国际概念;第三代半导体;芯片概念;专精特新;新股与次新股;融资融券;国企改革;2026一季报预增,151,920186.BJ
8.0,920125,消费电子概念;PCB概念;芯片概念;新能源汽车;先进封装;储能;新股与次新股;融资融券,151,920125.BJ
7.0,300209,算力租赁;柔性屏(折叠屏);物联网;人民币贬值受益;跨境电商;深股通;摘帽,33,300209.SZ
36.0,300632,PET铜箔;MiniLED;先进封装;PCB概念;柔性屏(折叠屏);富士康概念;OLED;第三代半导体;汽车电子;消费电子概念;AI眼镜;芯片概念;5G;无线耳机;智能穿戴;传感器;人形机器人;比亚迪概念;固态电池;无人驾驶;脑机接口;无人机;机器人概念;医美概念;福建自贸区;锂电池概念;海峡两岸;家用电器;人民币贬值受益;充电桩;储能;鸿蒙概念;一带一路;养老概念;消毒剂;共封装光学(CPO),33,300632.SZ
11.0,301217,PET铜箔;PCB概念;5G;固态电池;宁德时代概念;锂电池概念;比亚迪概念;储能;国企改革;深股通;融资融券,33,301217.SZ
23.0,300438,钠离子电池;两轮车;固态电池;虚拟电厂;锂电池概念;储能;石墨烯;新型烟草(电子烟);深股通;充电桩;燃料电池;粤港澳大湾区;无线耳机;长安汽车概念;低空经济;新能源汽车;独角兽概念;无人机;机器人概念;军工;小米概念;消费电子概念;融资融券,33,300438.SZ
18.0,688531,PCB概念;液冷服务器;芯片概念;比亚迪概念;专精特新;宁德时代概念;特斯拉概念;储能;商业航天;高端装备;锂电池概念;固态电池;人工智能;一体化压铸;食品安全;回购增持再贷款概念;沪股通;融资融券,17,688531.SH
10.0,300769,固态电池;磷化工;锂电池概念;宁德时代概念;储能;比亚迪概念;新能源汽车;专精特新;融资融券;深股通,33,300769.SZ
9.0,300982,电力物联网;虚拟电厂;智能电网;数据中心;光伏概念;充电桩;工业互联网;储能;融资融券,33,300982.SZ
14.0,300390,固态电池;锂电池概念;宁德时代概念;小金属概念;2026一季报预增;储能;新能源汽车;中芯国际概念;芯片概念;存储芯片;华为概念;医疗器械概念;融资融券;深股通,33,300390.SZ
7.0,688059,工业母机;2025年报预增;专精特新;机器人概念;2026一季报预增;沪股通;融资融券,17,688059.SH
14.0,301666,快手概念;阿里巴巴概念;小红书概念;百度概念;抖音概念(字节概念);腾讯概念;数据中心;DeepSeek概念;英伟达概念;专精特新;存储芯片;注册制次新股;新股与次新股;融资融券,33,301666.SZ
16.0,688515,汽车芯片;芯片概念;铜缆高速连接;智能座舱;小米概念;人形机器人;无人驾驶;比亚迪概念;数据中心;华为概念;车联网(车路协同);机器人概念;工业互联网;信创;沪股通;融资融券,17,688515.SH
7.0,920061,锂电池概念;融资融券;稀土永磁;机器人概念;宁德时代概念;固态电池;专精特新,151,920061.BJ
12.0,301358,磷化工;动力电池回收;固态电池;锂电池概念;宁德时代概念;金属铜;储能;比亚迪概念;新能源汽车;2025年报预增;深股通;融资融券,33,301358.SZ
8.0,688390,光伏建筑一体化;虚拟电厂;光伏概念;储能;智能电网;回购增持再贷款概念;沪股通;融资融券,17,688390.SH
10.0,920425,2025年报预增;西部大开发;融资融券;苹果概念;机器视觉;消费电子概念;机器人概念;专精特新;MiniLED;AI眼镜,151,920425.BJ
8.0,920167,TOPCON电池;HJT电池;氢能源;储能;融资融券;光伏概念;专精特新;BC电池,151,920167.BJ
15.0,920873,AI应用;西部大开发;装配式建筑;融资融券;污水处理;智慧城市;水利;新型城镇化;数字孪生;房屋检测;净水概念;人工智能;云计算;一带一路;PPP概念,151,920873.BJ
