涨停原因类别[20260318],code,market_code,股票代码
氢能源+POE新材料+半导体显示+青岛国资,000990,33,000990.SZ
玻璃微纤维+SpaceX传闻+高效滤材,603601,17,603601.SH
业绩预盈+烟花爆竹+退市博弈+ST板块,600599,22,600599.SH
拟控股汇博机器人+生猪养殖+机器人概念,000048,33,000048.SZ
特高压+超薄铜箔+储能,603618,17,603618.SH
算力租赁+年报预增+蓝宝石,600666,17,600666.SH
摘帽预期+农机+无人驾驶+专用车注入,603789,22,603789.SH
,000638,33,000638.SZ
,600608,22,600608.SH
算力租赁+国产算力+阿里巴巴概念+通信设备,300571,33,300571.SZ
存储芯片+先进封装+智能眼镜+扭亏为盈,688328,17,688328.SH
扭亏为盈+多肽出口+海南自贸区,002693,33,002693.SZ
商业航天+增资轨道辰光+环保纸,002565,33,002565.SZ
存储分销+电子元器件分销+日用塑料制品,603615,17,603615.SH
T/R芯片+商业航天+扭亏为盈+摘帽预期,001270,33,001270.SZ
液冷服务器+机器人概念,301128,33,301128.SZ
黄金+锂盐+ST反弹,002731,33,002731.SZ
电力+算电协同+广东国资,000539,33,000539.SZ
AI智能体+AIGC+低空经济+鸿蒙生态,603189,17,603189.SH
瓶级聚酯切片+PTA龙头+机器人概念,600370,17,600370.SH
,600355,22,600355.SH
算电协同+储能中标+电梯部件,605286,17,605286.SH
重整完成+创新药CDMO+合成生物,000908,33,000908.SZ
储能+电网设备+天津国资,600468,17,600468.SH
算力集群+光纤+CPO,603220,17,603220.SH
OCS交换机+WiFi7+海外突破,301191,33,301191.SZ
算力中心+家装AI+重整完成,002713,33,002713.SZ
液冷+储能+算力,603757,17,603757.SH
,600722,17,600722.SH
AI服务器电极箔+储能电极箔+股权激励,603115,17,603115.SH
存储芯片+英伟达+央企,001287,33,001287.SZ
,000912,33,000912.SZ
CPO+智算中心+高速光模块,603803,17,603803.SH
液冷+算力+东数西算,603912,17,603912.SH
算力租赁+液冷服务器+上海国资,600602,17,600602.SH
算电协同+储能+生物质发电,000601,33,000601.SZ
电磁线+机器人+新能源汽车,603897,17,603897.SH
电力+储能+业绩预增,000037,33,000037.SZ
存储芯片涨价+算力租赁+韶关国资,300042,33,300042.SZ
电网设备+中标+储能,002339,33,002339.SZ
存储芯片+拟更名+定增扩产,603316,17,603316.SH
,603813,22,603813.SH
断路器龙头+国企改革,603016,17,603016.SH
绿电+氢能+央企,600396,17,600396.SH
珠海国资+储能+建筑装饰,002789,33,002789.SZ
商业航天+军工检测+存储芯片,301306,33,301306.SZ
拟购苏龙热电+火电转型+江阴国资,002445,33,002445.SZ
算力服务器PCB+业绩预增+产能扩张,001389,33,001389.SZ
液冷服务器+3D打印+商业航天+铝挤压模具,001400,33,001400.SZ
退市博弈+高端白酒+中药大健康,600381,22,600381.SH
,000004,33,000004.SZ
LH-1801揭盲+扬州国资+泌尿制剂,600513,17,600513.SH
退市博弈+轻型输送带+两岸融合,603580,22,603580.SH
碳酸锂+郴州锂矿+控制权拟变更,002667,33,002667.SZ
腾讯概念+云计算+数据标注+车主信息服务,301428,33,301428.SZ
,002512,33,002512.SZ
算力+军工电源+储能,600590,17,600590.SH
,603828,22,603828.SH
液冷+机器人+换热器+国企,603088,17,603088.SH
,002024,33,002024.SZ
ST板块+OPC感光鼓+新能源转型,002808,33,002808.SZ
,002856,33,002856.SZ
电踏车电机+年报预增+欧洲去库,603489,17,603489.SH
摘星脱帽预期+商业地产+控制权变更,000608,33,000608.SZ
,000669,33,000669.SZ
拟收购医院+眼科医疗+民营医院,603168,17,603168.SH
AI服务器+PCB概念+可转债扩产+汽车电子,002913,33,002913.SZ
新能源车+大飞机+空气过滤,603311,17,603311.SH
摘帽预期+VLCC订单+船舶制造,603268,22,603268.SH
BIPV+光储充+增持,603098,17,603098.SH
钢铁+氢能源+可控核聚变+甘肃国资,600307,17,600307.SH
算力租赁+阿里云涨价+上海国资,603881,17,603881.SH
深圳旧改+液晶显示+物业经营,000020,33,000020.SZ
体外诊断+POCT+流感,603387,17,603387.SH
液冷收购+瓶盖龙头+饮料供应链,003018,33,003018.SZ
AI投资+AI医疗+回购注销,002432,33,002432.SZ
PCB+AI算力+商业航天+CPO,605058,17,605058.SH
BIPV+储能+枣庄国资,002323,33,002323.SZ
东数西算+算电协同+扭亏为盈+央企,000815,33,000815.SZ
PCIe5.0存储+智算中心+存储芯片,300302,33,300302.SZ
AIGC+钙钛矿设备+参股曲速科技+纸包装,603687,17,603687.SH
,603557,22,603557.SH
,002637,33,002637.SZ
硅光芯片+光模块+消费电子,603052,17,603052.SH
