market_code,所属概念,股票代码,code,所属概念数量
151,芯片概念;专精特新;新股与次新股;融资融券,920181.BJ,920181,4
33,MLOps概念;算力租赁;华为昇腾;华为欧拉;云计算;数字水印;AI语料;华为鲲鹏;数据安全;东数西算(算力);多模态AI;互联网保险;智慧政务;信创;ChatGPT概念;Web3.0;AIGC概念;电子身份证;虚拟数字人;AI智能体;数字乡村;数据要素;鸿蒙概念;AI应用;数据中心;时空大数据;区块链;AI手机;元宇宙;华为概念;智慧城市;互联网金融;DeepSeek概念;5G;数字孪生;虚拟现实;数字经济;物联网;人工智能;机器视觉;职业教育;工业互联网;新型工业化;虚拟电厂;人形机器人;京津冀一体化;海工装备;碳中和;乡村振兴;深股通;融资融券,300166.SZ,300166,51
33,长安汽车概念;脑机接口;无人驾驶;人形机器人;机器人概念;专精特新;新能源汽车;芯片概念;深股通,300652.SZ,300652,9
17,钙钛矿电池;柔性屏(折叠屏);光伏概念;固态电池;PCB概念;先进封装;商业航天;专精特新;卫星导航;消费电子概念;芯片概念;华为概念;储能;风电;军工;融资融券,688323.SH,688323,16
33,互联网金融;无人零售;京津冀一体化;雄安新区;信创;智慧城市;云计算;风电;机器人概念;华为概念;国企改革;算力租赁;数据中心;股权转让(并购重组);深股通;摘帽,300368.SZ,300368,16
17,铜缆高速连接;5G;液冷服务器;6G概念;毫米波雷达;数据中心;高压快充;专精特新;比亚迪概念;卫星导航;商业航天;人形机器人;新能源汽车;2025年报预增;特斯拉概念;机器人概念;军工;充电桩;光伏概念;储能;飞行汽车(eVTOL);换电概念;低空经济;军民融合;医疗器械概念;沪股通;融资融券,688800.SH,688800,27
17,专精特新;数字孪生;人工智能;光伏概念;储能;水利;氢能源;碳中和;碳交易;融资融券,688069.SH,688069,10
17,PCB概念;科创次新股;PET铜箔;共封装光学(CPO);锂电池概念;军工;比亚迪概念;注册制次新股;华为概念;核电;氢能源;西部大开发;国企改革;新股与次新股;融资融券,688813.SH,688813,15
33,PET铜箔;PCB概念;共封装光学(CPO);柔性屏(折叠屏);存储芯片;固态电池;消费电子概念;宁德时代概念;5G;锂电池概念;比亚迪概念;新能源汽车;专精特新;华为数字能源;储能;军工;无人机;华为概念;深股通;融资融券,301511.SZ,301511,20
33,存储芯片;国家大基金持股;AI手机;AI PC;先进封装;EDR概念;信创;芯片概念;数据安全;华为鲲鹏;智能穿戴;消费电子概念;数据中心;AI眼镜;小米概念;华为概念;智能座舱;专精特新;机器人概念;2025年报预增;小米汽车;人民币贬值受益;深股通;融资融券,301308.SZ,301308,24
17,华为欧拉;华为鲲鹏;云计算;AI应用;AI智能体;信创;华为海思概念股;人工智能;华为概念;物联网;芯片概念;2025年报预增;回购增持再贷款概念;沪股通;融资融券,688258.SH,688258,15
33,存储芯片;汽车芯片;算力租赁;华为昇腾;东数西算(算力);时空大数据;AI眼镜;消费电子概念;华为鲲鹏;智能穿戴;芯片概念;虚拟数字人;知识产权保护;智慧城市;粤港澳大湾区;DeepSeek概念;人民币贬值受益;跨境电商;国企改革;深股通;融资融券,300042.SZ,300042,21
17,芯片概念;专精特新;人民币贬值受益;沪股通;融资融券,688584.SH,688584,5
33,算力租赁;柔性屏(折叠屏);物联网;人民币贬值受益;跨境电商;深股通;摘帽,300209.SZ,300209,7
33,快手概念;小红书概念;腾讯概念;抖音概念(字节概念);数据中心;阿里巴巴概念;存储芯片;DeepSeek概念;百度概念;英伟达概念;专精特新;注册制次新股;新股与次新股;融资融券,301666.SZ,301666,14
33,PCB概念;华为手机;5G;消费电子概念;特高压;汽车电子;风电;光伏概念;华为概念;工业互联网;一带一路;绿色电力;西部大开发;国企改革;数字经济;深股通;融资融券,301526.SZ,301526,17
