所属概念数量,股票代码,所属概念,code,market_code
10,688287.SH,ST板块;商业航天;军民融合;智慧城市;军工;无人机;低空经济;安防;人工智能;专精特新,688287,22
6,688805.SH,科创次新股;注册制次新股;医疗器械概念;超导概念;新股与次新股;融资融券,688805,17
20,301189.SZ,智能家居;人民币贬值受益;消费电子概念;汽车电子;专精特新;星闪概念;跨境电商;人脸识别;智能音箱;宠物经济;机器人概念;物联网;无线耳机;车联网(车路协同);人工智能;腾讯概念;英伟达概念;鸿蒙概念;虚拟数字人;融资融券,301189,33
10,688166.SH,细胞免疫治疗;重组蛋白;减肥药;创新药;仿制药一致性评价;流感;合成生物;创投;沪股通;融资融券,688166,17
12,301408.SZ,AI应用;智能医疗;医药电商;流感;创新药;阿里巴巴概念;养老概念;人工智能;合成生物;医疗器械概念;深股通;融资融券,301408,33
10,300097.SZ,柔性屏(折叠屏);MiniLED;OLED;新型工业化;华为概念;新能源汽车;MicroLED概念;智能物流;摘帽;股权转让(并购重组),300097,33
13,301017.SZ,家庭医生;医药电商;智能医疗;医美概念;养老概念;宠物经济;时空大数据;阿里巴巴概念;跨境电商;冷链物流;海峡两岸;深股通;融资融券,301017,33
50,301248.SZ,华为昇腾;智谱AI;算力租赁;华为鲲鹏;云计算;数据确权;云办公;财税数字化;多模态AI;信创;智慧政务;网络安全;东数西算(算力);AIGC概念;AI智能体;人脸识别;数据要素;腾讯概念;时空大数据;阿里巴巴概念;语音技术;在线教育;区块链;数字乡村;智慧灯杆;智慧城市;安防;数据中心;华为概念;卫星导航;数字孪生;DeepSeek概念;华为数字能源;5G;物联网;人工智能;液冷服务器;数字经济;芯片概念;智能医疗;无人机;低空经济;新型工业化;智能电网;机器人概念;粤港澳大湾区;智能物流;AI应用;新型城镇化;融资融券,301248,33
11,688253.SH,智能医疗;猴痘概念;辅助生殖;阿尔茨海默概念;幽门螺杆菌概念;重组蛋白;肝炎概念;流感;医药电商;沪股通;融资融券,688253,17
8,300051.SZ,HJT电池;钙钛矿电池;TOPCON电池;光伏概念;云计算;福建自贸区;海峡两岸;储能,300051,33
5,688603.SH,先进封装;PCB概念;芯片概念;沪股通;融资融券,688603,17
32,688618.SH,光纤概念;WiFi 6;智慧灯杆;高铁;水利;专精特新;海工装备;5G;网络安全;人工智能;新型工业化;安防;物联网;数字经济;智慧城市;车联网(车路协同);DeepSeek概念;华为概念;工业互联网;智能物流;星闪概念;芯片概念;换电概念;无人驾驶;机器人概念;一带一路;智能电网;粤港澳大湾区;充电桩;风电;储能;融资融券,688618,17
40,300857.SZ,EDR概念;算力租赁;英伟达概念;云游戏;东数西算(算力);云计算;存储芯片;共封装光学(CPO);数据中心;AI眼镜;智能音箱;芯片概念;腾讯概念;智能穿戴;AI智能体;AIGC概念;汽车电子;消费电子概念;人脸识别;车联网(车路协同);安防;小米概念;物联网;DeepSeek概念;短剧游戏;人工智能;AI应用;人形机器人;2025年报预增;机器人概念;网络游戏;粤港澳大湾区;智能家居;人民币贬值受益;家用电器;净水概念;跨境电商;2026一季报预增;融资融券;深股通,300857,33
