code,所属概念数量,所属概念,股票代码,market_code
920218,3,专精特新;新股与次新股;融资融券,920218.BJ,151
688108,5,医疗器械概念;专精特新;2025年报预增;沪股通;融资融券,688108.SH,17
300486,18,新型工业化;机器视觉;专精特新;数据要素;数字孪生;机器人概念;人工智能;数字经济;DeepSeek概念;物联网;比亚迪概念;智能物流;工业互联网;新能源汽车;宁德时代概念;统一大市场;深股通;股权转让(并购重组),300486.SZ,33
301360,20,专精特新;芯片概念;富士康概念;东数西算(算力);消费电子概念;机器视觉;华为概念;华为手机;苹果概念;AI眼镜;智能穿戴;腾讯概念;无线充电;人工智能;宁德时代概念;锂电池概念;钙钛矿电池;MR(混合现实);固态电池;融资融券,301360.SZ,33
688622,8,ST板块;量子科技;PM2.5;食品安全;粤港澳大湾区;专精特新;医疗器械概念;碳中和,688622.SH,22
301439,17,充电桩;高压快充;储能;海峡两岸;智能家居;一带一路;中俄贸易概念;新能源汽车;比亚迪概念;家用电器;小米概念;消费电子概念;小米汽车;铜缆高速连接;富士康概念;深股通;融资融券,301439.SZ,33
688635,11,科创次新股;注册制次新股;军工;数据中心(AIDC);商业航天;华为概念;光纤概念;东数西算(算力);专精特新;新股与次新股;融资融券,688635.SH,17
920857,6,安防;机器人概念;小米概念;西部大开发;融资融券;消费电子概念,920857.BJ,151
301373,3,光伏概念;专精特新;融资融券,301373.SZ,33
920161,3,专精特新;新股与次新股;融资融券,920161.BJ,151
301222,3,人民币贬值受益;工业互联网;融资融券,301222.SZ,33
300913,12,铜缆高速连接;光纤概念;共封装光学(CPO);5G;数据中心(AIDC);机器视觉;新型工业化;光伏概念;机器人概念;人民币贬值受益;深股通;融资融券,300913.SZ,33
301338,25,共封装光学(CPO);MiniLED;先进封装;PCB概念;华为手机;第三代半导体;汽车芯片;富士康概念;芯片概念;苹果概念;消费电子概念;工业母机;军工;机器视觉;专精特新;高端装备;小米概念;华为概念;新型工业化;比亚迪概念;工业互联网;锂电池概念;2025年报预增;深股通;融资融券,301338.SZ,33
