股票代码,code,所属概念,market_code,所属概念数量
920305.BJ,920305,,151,0.0
300795.SZ,300795,体育产业;AI应用;AIGC概念;AI智能体;跨境电商;数据要素;DeepSeek概念;人工智能;创投;一带一路;AI眼镜,33,11.0
300577.SZ,300577,IP经济(谷子经济);体育产业;跨境电商;人民币贬值受益;小米概念;深股通,33,6.0
300317.SZ,300317,虚拟电厂;绿色电力;光伏建筑一体化;风电;储能;国企改革;华为概念;粤港澳大湾区;光伏概念;锂电池概念;OLED,33,11.0
301609.SZ,301609,虚拟电厂;柔性直流输电;智能电网;特高压;充电桩;水利;储能;核电;注册制次新股;专精特新;深股通;新股与次新股;融资融券,33,13.0
920130.BJ,920130,信创;AI应用;网约车;阿里巴巴概念;融资融券;智慧城市;安防;多模态AI;充电桩;人工智能;专精特新;PCB概念;AI智能体,151,13.0
300205.SZ,300205,ST板块;财税数字化;跨境支付(CIPS);互联网金融;华为鲲鹏;区块链;ETC;移动支付;数据安全;数字货币;人工智能;网络安全;物联网;华为概念;量子科技;专精特新;5G,33,17.0
300157.SZ,300157,可燃冰;页岩气;俄乌冲突概念;天然气;雄安新区;氢能源;一带一路;创投;人工智能;军工;高端装备;东数西算(算力);无人机;机器人概念;储能;超超临界发电;数据中心(AIDC);融资融券,33,18.0
301092.SZ,301092,净水概念;盐湖提锂;核污染防治;减肥药;专精特新;污水处理;稀土永磁;核电;超超临界发电;芯片概念;深股通;融资融券,33,12.0
920046.BJ,920046,数据中心(AIDC);高铁;融资融券;智能电网;抖音概念(字节概念);光伏概念;储能;专精特新;一带一路,151,9.0
600227.SH,600227,化肥;煤化工概念;煤炭概念;民营医院;阿尔茨海默概念;乡村振兴;仿制药一致性评价;西部大开发;医疗器械概念;创投;沪股通,17,11.0
600162.SH,600162,物业管理;沪股通;融资融券;京津冀一体化;养老概念;民营医院;粤港澳大湾区,17,7.0
600722.SH,600722,煤化工概念;国企改革;京津冀一体化;风电;融资融券;沪股通,17,6.0
600730.SH,600730,化债概念(AMC概念);物业管理;创投;参股券商;国企改革;芯片概念;职业教育;人工智能;在线教育;AI应用;DeepSeek概念;信创;ST板块;股权转让(并购重组),22,14.0
600881.SH,600881,物业管理;体育产业;水泥概念;参股银行;禽流感;参股券商;医药电商;生物疫苗;国企改革;创新药;医疗器械概念;煤炭概念;沪股通;融资融券;股权转让(并购重组),17,15.0
002766.SZ,002766,数据要素;车联网(车路协同);智能座舱;人工智能;无人驾驶;物联网;人民币贬值受益;粤港澳大湾区;消费电子概念;5G;深股通,33,11.0
600236.SH,600236,绿色电力;碳交易;风电;央企国企改革;国企改革;高股息精选;西部大开发;沪股通;融资融券,17,9.0
000037.SZ,000037,固废处理;核电;储能;粤港澳大湾区,33,4.0
600992.SH,600992,国企改革;国产航母;西部大开发;海工装备;军工;商业航天,17,6.0
603567.SH,603567,流感;智能医疗;医药电商;仿制药一致性评价;黑龙江自贸区;创新药;沪股通;融资融券,17,8.0
001369.SZ,001369,注册制次新股;锂电池概念;碳中和;光伏概念;西部大开发;专精特新;深股通;新股与次新股;融资融券,33,9.0
000722.SZ,000722,碳交易;绿色电力;供销社;国企改革;水利;2026一季报预增;2026中报预增;股权转让(并购重组);深股通;融资融券,33,10.0
600644.SH,600644,绿色电力;虚拟电厂;天然气;地下管网;充电桩;污水处理;储能;乡村振兴;参股银行;西部大开发;光伏概念;沪股通;融资融券,17,13.0
003001.SZ,003001,土壤修复;水利;装配式建筑;地下管网;人工智能;雄安新区;一带一路;雅下水电概念;核电;可控核聚变,33,10.0
603118.SH,603118,F5G概念;WiFi 6;共封装光学(CPO);6G概念;华为海思概念股;5G;汽车芯片;芯片概念;PCB概念;数据中心(AIDC);先进封装;传感器;汽车电子;东数西算(算力);毫米波雷达;华为概念;物联网;粤港澳大湾区;无人驾驶;充电桩;虚拟现实;网络安全;智能座舱;智能家居;人民币贬值受益;机器人概念;工业互联网;基因测序;智能医疗;国企改革;沪股通;股权转让(并购重组);融资融券,17,33.0
001388.SZ,001388,电力物联网;鸿蒙概念;人工智能;电子身份证;物联网;工业互联网;智能电网;算力租赁;中俄贸易概念;机器人概念;华为概念;核电;新型工业化;风电;特高压;专精特新;传感器;芯片概念;PCB概念;多模态AI;深股通;融资融券,33,22.0
603161.SH,603161,华为汽车;长安汽车概念;人民币贬值受益;一带一路;新能源汽车;燃料电池;比亚迪概念;氢能源,17,8.0
002432.SZ,002432,血氧仪;天津自贸区;AI应用;智能医疗;智能穿戴;小米概念;创投;人民币贬值受益;医疗器械概念;跨境电商;流感;京津冀一体化;养老概念;2026中报预增;深股通;融资融券,33,16.0
002731.SZ,002731,ST板块;三胎概念;IP经济(谷子经济);黄金概念;锂电池概念,33,5.0
605011.SH,605011,绿色电力;煤炭概念;碳中和;国企改革;融资融券;沪股通,17,6.0
600095.SH,600095,参股券商;参股银行;互联网金融;黑龙江自贸区;创投;2026中报预增;股权转让(并购重组);融资融券;沪股通,17,9.0
