股票代码,market_code,涨停原因类别[20260813],code
002575.SZ,33,算力租赁+腾讯合作+酒类销售,002575
603890.SH,17,客户联想集团+液冷服务器+人形机器人+AIPC,603890
002437.SZ,33,创新药+神经退行性疾病+仿制药龙头,002437
603903.SH,17,半导体设备+污水处理+芯长征入主,603903
601579.SH,17,黄酒+大消费+年报增长,601579
603261.SH,17,飞机地面保障设备+军工+可控核聚变,603261
002219.SZ,33,创新药+智能机器人+脑机接口+银发经济,002219
603118.SH,17,数据中心交换机+机器人+网通设备+唐山国资,603118
000936.SZ,33,间接参股光芯片+磷化铟+涤纶化纤+创投,000936
000692.SZ,33,供热工程+风电+亏损收窄,000692
603191.SH,17,定增获批+AI数据中心+华为超充+输配电,603191
000006.SZ,33,房地产+城中村改造+资产出售+深圳国资,000006
600726.SH,17,热电联产+煤炭+新能源转型+央企,600726
001260.SZ,33,汽车软内饰+海外产能+新能源客户,001260
605286.SH,17,算电协同+储能+电梯部件,605286
600800.SH,17,丙烯酸+丙烯+天津国资,600800
003032.SZ,33,,003032
600613.SH,17,化学制药+抗肿瘤+感冒止咳,600613
600491.SH,22,要约收购+建筑总包+绿色建筑,600491
603887.SH,17,IDC全产业链+互联网企业合作+拟终止定增,603887
002066.SZ,33,核电+耐火材料+央企,002066
000695.SZ,33,源网荷储绿电+锂电池负极+硅碳负极,000695
002329.SZ,33,乳业+新式茶饮+奶水牛种源,002329
002921.SZ,33,机器人+精密制造+中报预计扭亏,002921
603912.SH,17,算力租赁+液冷+数据中心,603912
000593.SZ,33,牛散举牌+天然气+氢能,000593
002706.SZ,33,固态断路器+数据中心+算力,002706
002581.SZ,33,创新药+神经生长因子+中药饮片+医药流通,002581
002543.SZ,33,热泵+厨卫电器+海外布局,002543
002172.SZ,33,脑机接口+医疗服务+高压氧舱+国企改革,002172
301060.SZ,33,病理AI+CRO概念+医疗服务,301060
002827.SZ,33,,002827
301520.SZ,33,创新药+CRO+收购赛德盛,301520
603758.SH,17,小盘股+人形机器人+真空镀膜,603758
000802.SZ,33,《欢迎来龙餐馆》上映+影视全产业链+半年报减亏,000802
600683.SH,17,资产重组+拟购光电子资产+TOD轨道物业+北京国资,600683
002644.SZ,33,流感中成药+中药创新+国企改革,002644
688496.SH,22,ST板块+面值退市博弈+电子纸模组,688496
688137.SH,17,CRO+重组蛋白+AI医药,688137
002724.SZ,33,照明+智慧灯杆+物联网,002724
002322.SZ,33,半年报增长+高分红+AI应用,002322
000887.SZ,33,腾讯云合作+算力液冷+人形机器人,000887
605179.SH,17,乳业+谐音炒作+低温乳品,605179
688265.SH,17,AI制药+基因修饰模型+CRO服务,688265
600821.SH,17,算电协同+回购注销+绿证交易+天津国资,600821
603466.SH,17,具身智能+联手宇树科技+AI视频生成+中报预增,603466
603330.SH,17,CPO+电子胶+半年报预盈+出售子公司,603330
603998.SH,17,集采中选+中药创新药+洛索洛芬钠凝胶贴膏,603998
300333.SZ,33,控制权变更+拟收购佰内科技+服务器技术服务,300333
600881.SH,17,创新药+预重整+重整投资人招募+长春国资,600881
002081.SZ,33,洁净室+参建数据中心+海外业务+建筑装饰龙头,002081
000972.SZ,33,小罐番茄酱+番茄制品+预重整延期+国企改革,000972
300404.SZ,33,中药创新药+CRO+战略合作,300404
603956.SH,17,PCB概念+智慧水务+AI应用,603956
603990.SH,17,,603990
300534.SZ,33,中药+创新药+甘肃国资,300534
300862.SZ,33,拟收购岚创科技+真空镀膜设备+环境监测+低空经济,300862
601886.SH,17,半年报增长+BIPV+海外幕墙,601886
603236.SH,17,中报增长+端侧AI+人形机器人+物联网模组,603236
002174.SZ,33,先进封装+游戏+AI应用,002174
000779.SZ,33,,000779
300937.SZ,33,医药零售整合+医药电商+AI医疗,300937
601999.SH,17,AI应用+文化传媒+辽宁国企,601999
601026.SH,17,环氧塑封材料+半导体封装+风电材料+海外风电,601026
601991.SH,17,超超临界火电+定增扩产+央企,601991
002396.SZ,33,CPO+数据中心交换机+半年报预增+福建国资,002396
