所属概念,股票代码,market_code,code,所属概念数量
钠离子电池;固态电池;储能;锂电池概念;两轮车;数据中心;机器人概念;融资融券,688345.SH,17,688345,8
光伏概念;专精特新;融资融券,301373.SZ,33,301373,3
足球概念;体育产业;2025年报预增,300651.SZ,33,300651,3
PCB概念;专精特新;注册制次新股;深股通;新股与次新股;融资融券,301630.SZ,33,301630,6
草甘膦;丙烯酸;国企改革;股权转让(并购重组);融资融券,300927.SZ,33,300927,5
硅能源;有机硅概念;燃料电池;2026一季报预增;融资融券;深股通,300821.SZ,33,300821,6
土壤修复;污水处理;工业大麻;食品安全;专精特新;华为概念;锂电池概念;医疗器械概念;摘帽,300165.SZ,33,300165,9
新型城镇化;装配式建筑;建筑节能;职业教育;上海自贸区;光伏建筑一体化;数据中心;风电;区块链;储能;蚂蚁集团概念;光伏概念;融资融券,301024.SZ,33,301024,13
东数西算(算力);华为昇腾;无人驾驶;智慧政务;比亚迪概念;光伏概念;储能;锂电池概念;DeepSeek概念;人工智能;智能医疗;高端装备;回购增持再贷款概念;绿色电力;融资融券,301070.SZ,33,301070,15
动物疫苗;创新药;合成生物;宠物经济;回购增持再贷款概念;融资融券,688098.SH,17,688098,6
PCB概念;毫米波雷达;芯片概念;卫星导航;5G;消费电子概念;专精特新;无人驾驶;华为概念;储能;融资融券,300936.SZ,33,300936,11
PCB概念;PET铜箔;5G;宁德时代概念;固态电池;比亚迪概念;锂电池概念;储能;国企改革;深股通;融资融券,301217.SZ,33,301217,11
数字货币;跨境支付(CIPS);互联网金融;区块链;鸿蒙概念;华为欧拉;华为鲲鹏;信创;财税数字化;网络安全;Web3.0;华为昇腾;数据要素;智慧城市;云计算;百度概念;元宇宙;虚拟数字人;DeepSeek概念;人工智能;NFT概念;军工信息化;低空经济;华为概念;商业航天;军民融合;军工;同花顺新质50;数据中心;华为海思概念股;一带一路;AI应用;深股通;股权转让(并购重组),300542.SZ,33,300542,34
建筑节能;风电;高铁;装配式建筑;专精特新;新能源汽车;体育产业;智能家居;融资融券,301149.SZ,33,301149,9
小米汽车;医疗器械概念;专精特新;新能源汽车;血氧仪;比亚迪概念;小米概念;特斯拉概念;低空经济;华为概念;军工;军民融合;融资融券,301552.SZ,33,301552,13
C2M概念;PCB概念;一带一路;生态农业;专精特新;人民币贬值受益;融资融券,301362.SZ,33,301362,7
粤港澳大湾区;融资融券,300804.SZ,33,300804,2
国家大基金持股;5G;芯片概念;中国AI 50;数据中心;网络安全;沪股通;融资融券,688702.SH,17,688702,8
互联网金融;新型工业化,600527.SH,17,600527,2
煤化工概念;国企改革;西部大开发;融资融券,002109.SZ,33,002109,4
金属回收;汽车拆解概念;固废处理;2025年报预增;人民币贬值受益;海峡两岸;融资融券;沪股通,601388.SH,17,601388,8
化肥;煤化工概念;煤炭概念;阿尔茨海默概念;民营医院;仿制药一致性评价;西部大开发;医疗器械概念;创投,600227.SH,17,600227,9
染料;固废处理;国企改革,603188.SH,17,603188,3
国企改革;海工装备;新能源汽车;深股通,002427.SZ,33,002427,4
动物疫苗;禽流感;维生素;流感;宠物经济;乡村振兴;国企改革;参股保险;央企国企改革;赛马概念;2025年报预增;沪股通;中字头股票;融资融券,600195.SH,17,600195,14
消毒剂;煤化工概念;国企改革;西部大开发;芯片概念,600423.SH,17,600423,5
PET铜箔;固态电池;锂电池概念;宁德时代概念;PCB概念;军工;比亚迪概念;核电;无人机;新能源汽车;特斯拉概念;储能;粤港澳大湾区;绿色电力;融资融券;股权转让(并购重组);沪股通,600110.SH,17,600110,17
煤化工概念;京津冀一体化;工业互联网;阿里巴巴概念,002442.SZ,33,002442,4
仿制药一致性评价;民营医院;创新药;医美概念;养老概念;医疗器械概念;创投;国企改革;高压氧舱,000919.SZ,33,000919,9
草甘膦;有机硅概念;硅能源;锂电池概念;大豆;光伏概念;玉米;农业种植;乡村振兴;转基因;人形机器人;共同富裕示范区;液冷服务器;华为概念;沪股通;融资融券,600596.SH,17,600596,16
沪股通,600370.SH,17,600370,1
创新药;仿制药一致性评价;辅助生殖;数字经济;京津冀一体化;沪股通,600488.SH,17,600488,6
回购增持再贷款概念;国企改革;光伏建筑一体化;军工;股权转让(并购重组);沪股通;融资融券,600810.SH,17,600810,7
消毒剂;回购增持再贷款概念;污水处理;一带一路;食品安全;深股通,002637.SZ,33,002637,6
养鸡;猪肉;预制菜;碳中和;绿色电力;回购增持再贷款概念;冷链物流;深股通;融资融券,002840.SZ,33,002840,9
数字货币;跨境支付(CIPS);移动支付;无人零售;数字经济;数据要素;阿里巴巴概念;腾讯概念;无人驾驶;人工智能;京津冀一体化;旅游概念;物业管理;国企改革;芯片概念;汽车芯片;AI应用;沪股通;融资融券,603123.SH,17,603123,19
煤化工概念;水泥概念;生态农业;可降解塑料;碳交易;新疆振兴;绿色电力;国企改革;回购增持再贷款概念;西部大开发;储能;一带一路;沪股通;融资融券,600075.SH,17,600075,14
光纤概念;5G;数据中心;专精特新;长三角一体化;储能;独角兽概念;网络安全;数字水印;数据安全;固态电池;深股通;融资融券,002491.SZ,33,002491,13
环氧丙烷;消毒剂;锂电池概念;沪股通,600955.SH,17,600955,4
碳中和;氢能源;国企改革;天然气,603637.SH,17,603637,4
旅游概念;跨境电商;IP经济(谷子经济);养老概念;国企改革;低空经济,600250.SH,17,600250,6
可降解塑料;融资融券;深股通;回购增持再贷款概念;一带一路;参股银行;西部大开发;互联网金融;阿里巴巴概念,000703.SZ,33,000703,9
比亚迪概念;小米概念;华为概念;特斯拉概念;新能源汽车;消费电子概念;5G;AI手机;AI眼镜;柔性屏(折叠屏);MR(混合现实);苹果概念;宁德时代概念;锂电池概念;储能;西部大开发;国企改革;金属回收;沪股通,603327.SH,17,603327,19
化肥;煤化工概念;乡村振兴;西部大开发;国企改革;回购增持再贷款概念;深股通;融资融券,000912.SZ,33,000912,8
足球概念;冰雪产业;体育产业;跨境电商;海峡两岸;养老概念;人工智能;AIGC概念;鸿蒙概念;DeepSeek概念;华为概念,605299.SH,17,605299,11
数字经济;工业互联网;人民币贬值受益;新疆振兴,002193.SZ,33,002193,4
福建自贸区;智能医疗;医药电商;海峡两岸;医疗器械概念;人工智能;养老概念;冷链物流,002788.SZ,33,002788,8
新能源汽车;风电;储能;股权转让(并购重组);沪股通,603988.SH,17,603988,5
光纤概念;5G;特高压;专精特新;智能电网;西部大开发,000586.SZ,33,000586,6
存储芯片;华为海思概念股;第三代半导体;芯片概念;汽车电子;华为昇腾;华为概念;共封装光学(CPO);比亚迪概念;粤港澳大湾区;新能源汽车;互联网金融;腾讯概念;机器人概念;6G概念;AI智能体;智慧城市;人民币贬值受益;2025年报预增;创投;雄安新区;深股通;融资融券;证金持股,000062.SZ,33,000062,24
煤化工概念;丙烯酸;PVDF概念;新疆振兴;氟化工概念;消毒剂;国企改革;锂电池概念;回购增持再贷款概念;参股券商;芯片概念;沪股通;上海国企改革;创投;DeepSeek概念;超级品牌;融资融券,600623.SH,17,600623,17
中芯国际概念;存储芯片;OLED;芯片概念;柔性屏(折叠屏);装配式建筑;沪股通;融资融券,601133.SH,17,601133,8
赛马概念;足球概念;冰雪产业;体育产业;旅游概念;职业教育;文化传媒概念;NFT概念;国企改革;京津冀一体化;数字经济;在线教育;数据中心;沪股通;融资融券;中字头股票,600158.SH,17,600158,16
卫星导航;商业航天;大飞机;军工;同花顺新质50;铜缆高速连接;低空经济;5G;共封装光学(CPO);数据中心;华为概念;液冷服务器;机器视觉;核电;小米概念;比亚迪概念;新能源汽车;央企国企改革;智能物流;西部大开发;国企改革;深股通;融资融券,002025.SZ,33,002025,23
虚拟电厂;绿色电力;碳交易;碳中和;储能,605162.SH,17,605162,5
TOPCON电池;钙钛矿电池;HJT电池;硅能源;新型城镇化;PPP概念;虚拟电厂;光伏概念;固态电池;储能;锂电池概念,603778.SH,17,603778,11
钙钛矿电池;数字水印;AIGC概念;ChatGPT概念;光伏概念;烟草;DeepSeek概念;数字孪生;锂电池概念;共同富裕示范区;工业互联网;人工智能;芯片概念;物联网,603687.SH,17,603687,14
金属铜;稀土永磁;小金属概念;央企国企改革;海南自贸区;国企改革;粤港澳大湾区;融资融券;中字头股票;沪股通,600259.SH,17,600259,10
存储芯片;先进封装;芯片概念;专精特新;自由贸易港;核电;深股通;融资融券,002119.SZ,33,002119,8
俄乌冲突概念;华为数字能源;DeepSeek概念;华为概念;芯片概念;高压快充;充电桩;存储芯片,603353.SH,17,603353,8
共封装光学(CPO);血氧仪;华为鲲鹏;核污染防治;PM2.5;AI眼镜;智能穿戴;鸿蒙概念;AI智能体;DeepSeek概念;物联网;食品安全;智能医疗;充电桩;光伏概念;核电;医疗器械概念;储能;新能源汽车;人民币贬值受益;流感,002980.SZ,33,002980,21
PCB概念;先进封装;3D打印;芯片概念;5G;比亚迪概念;英伟达概念;海峡两岸;沪股通,603002.SH,17,603002,9
充电桩;虚拟电厂;电力物联网;智能电网;MCU芯片;储能;光伏概念;华为概念;鸿蒙概念;芯片概念,603421.SH,17,603421,10
煤化工概念;国企改革;融资融券;风电;京津冀一体化,600722.SH,17,600722,5
黄金概念;有机硅概念;硅能源;光伏概念;特高压;深股通;融资融券,002132.SZ,33,002132,7
草甘膦;供销社;乡村振兴;中俄贸易概念,003042.SZ,33,003042,4
人形机器人;新能源汽车;一体化压铸;飞行汽车(eVTOL);比亚迪概念;长安汽车概念;机器人概念;储能;工业互联网;长三角一体化;光伏概念;低空经济;共同富裕示范区;沪股通,605018.SH,17,605018,14
代糖概念;染料;维生素,603968.SH,17,603968,3
硅能源;石墨电极;有机硅概念;光伏概念;第三代半导体;长三角一体化;沪股通;融资融券,603260.SH,17,603260,8
足球概念;体育产业;人民币贬值受益;沪股通,605099.SH,17,605099,4
液冷服务器;数据中心;2025年报预增;新能源汽车;牙科医疗;储能;锂电池概念;人民币贬值受益;农机;数据要素;氢能源;风电;碳中和;乡村振兴;煤化工概念,603090.SH,17,603090,15
DeepSeek概念;工业大麻;阿尔茨海默概念;民营医院;参股银行;肝炎概念;流感;创新药;深股通;融资融券,000766.SZ,33,000766,10
光纤概念;独角兽概念;净水概念;污水处理;储能,000890.SZ,33,000890,5
共封装光学(CPO);液冷服务器;新型烟草(电子烟);苹果概念;固态电池;消费电子概念;芯片概念;AI眼镜;宁德时代概念;2025年报预增;无线耳机;机器视觉;智能穿戴;比亚迪概念;锂电池概念;新型工业化;人形机器人;虚拟现实;华为概念;机器人概念;粤港澳大湾区;工业互联网;无人机;物联网;智能物流;低空经济;融资融券;深股通,002957.SZ,33,002957,28
PCB概念;先进封装;OLED;光刻胶;存储芯片;6G概念;芯片概念;超级电容;3D打印;固态电池;新能源汽车;商业航天;石墨烯;高端装备;军工;核电;锂电池概念;储能;大飞机;钠离子电池;硅能源;风电;丙烯酸;代糖概念;高铁;绿色电力;合成生物;建筑节能;创新药;沪股通;融资融券,605589.SH,17,605589,31
一体化压铸;两轮车;华为汽车;机器人概念;特斯拉概念;新能源汽车;比亚迪概念;飞行汽车(eVTOL);融资融券;沪股通,603348.SH,17,603348,10
煤化工概念;POE胶膜;NMN概念;人造肉;氢能源;工业大麻;碳中和;燃料电池;国企改革;合成生物;OLED;民营医院;小米概念;医美概念;深股通;融资融券,000990.SZ,33,000990,16
POE胶膜;TOPCON电池,603255.SH,17,603255,2
磷化工;化肥;煤化工概念;锂电池概念;乡村振兴;污水处理;融资融券,600470.SH,17,600470,7
石墨烯;C2M概念;长三角一体化;工业互联网;智能家居;核污染防治;柔性屏(折叠屏);融资融券,002631.SZ,33,002631,8
煤化工概念;化肥;钒电池;氢能源;深股通;融资融券,002274.SZ,33,002274,6
医药电商;细胞免疫治疗;肝炎概念;创新药;流感;西部大开发,002873.SZ,33,002873,6
国企改革;京津冀一体化,600791.SH,17,600791,2
光纤概念;F5G概念;铜缆高速连接;WiFi 6;5G;数据中心;物联网;智慧城市;华为概念;智能医疗;互联网金融;融资融券,603042.SH,17,603042,12
石墨电极;固态电池;锂电池概念;储能;光伏概念,000695.SZ,33,000695,5
