market_code,code,股票代码,所属概念,所属概念数量
151,920191,920191.BJ,新股与次新股;融资融券,2
33,300540,300540.SZ,商业航天;智慧灯杆;氢能源;燃料电池;专精特新;充电桩;储能;车联网(车路协同);天然气;西部大开发;国企改革;一带一路,12
33,301265,301265.SZ,2026一季报预增;汽车拆解概念;稀土永磁;存储芯片;金属回收;黄金概念;固废处理;芯片概念;金属铜;金属镍;小金属概念;金属钴;百度概念;融资融券,14
17,688811,688811.SH,科创次新股;注册制次新股;核电;智能电网;卫星导航;商业航天;军工;央企国企改革;国企改革;新股与次新股;融资融券,11
17,688480,688480.SH,小金属概念;土壤修复;净水概念;污水处理;融资融券,5
17,688295,688295.SH,碳纤维;大飞机;商业航天;风电;低空经济;飞行汽车(eVTOL);机器人概念;国企改革;氢能源;专精特新;沪股通;中字头股票;融资融券,13
33,301110,301110.SZ,小红书概念;AI智能体;抖音概念(字节概念);数据要素;阿里巴巴概念;人工智能;跨境电商;三胎概念;AI应用;宠物经济;2026一季报预增;深股通;融资融券,13
17,688218,688218.SH,人形机器人;新型工业化;机器人概念;机器视觉;特斯拉概念;新能源汽车;专精特新;高端装备;低空经济;无线充电;人工智能;创投;储能;DeepSeek概念;宁德时代概念;融资融券,16
17,688227,688227.SH,军工;芯片概念;东数西算(算力);华为概念;算力租赁;云计算;信创;华为欧拉;人工智能;智慧政务;AI智能体;数据要素;DeepSeek概念;区块链;数字经济;互联网金融;融资融券,17
17,688126,688126.SH,中芯国际概念;国家大基金持股;存储芯片;芯片概念;人民币贬值受益;股权转让(并购重组);沪股通;融资融券,8
151,920879,920879.BJ,雅下水电概念;风电;融资融券;物联网;水利;核电;机器视觉;智慧城市;数据要素;数字孪生;抽水蓄能;光纤概念;信创;京津冀一体化;传感器;专精特新,16
151,920526,920526.BJ,融资融券;芯片概念;专精特新;PCB概念,4
33,300265,300265.SZ,柔性直流输电;特高压;成飞概念;智能电网;大飞机;军民融合;商业航天;光纤概念;海工装备;军工;风电;光伏概念;5G;机器人概念;融资融券,15
17,688220,688220.SH,汽车芯片;WiFi 6;阿里巴巴概念;星闪概念;6G概念;5G;智能穿戴;芯片概念;AI眼镜;车联网(车路协同);小米概念;卫星导航;消费电子概念;物联网;商业航天;人工智能;专精特新;人民币贬值受益;沪股通;融资融券,20
33,300518,300518.SZ,锂电池概念;西部大开发;网红经济;氢能源;网络游戏;手机游戏;融资融券,7
17,688502,688502.SH,光刻机;光刻胶;芯片概念;智能穿戴;机器视觉;专精特新;无人驾驶;虚拟现实;人民币贬值受益;基因测序;眼科医疗;沪股通;融资融券,13
151,920751,920751.BJ,股权转让(并购重组);融资融券;燃料电池;氢能源;专精特新,5
33,300478,300478.SZ,股权转让(并购重组);核电,2
33,300788,300788.SZ,知识产权保护;AIGC概念;抖音概念(字节概念);AI智能体;百度概念;文化传媒概念;元宇宙;数据要素;IP经济(谷子经济);职业教育;DeepSeek概念;人工智能;AI应用;三胎概念;国企改革;深股通;中字头股票,17
17,688018,688018.SH,MCU芯片;星闪概念;WiFi 6;中国AI 50;语音技术;芯片概念;小米概念;AI智能体;抖音概念(字节概念);物联网;人工智能;机器人概念;数字经济;智能家居;上海自贸区;沪股通;融资融券,17
33,300900,300900.SZ,航空发动机;卫星导航;商业航天;大飞机;成飞概念;军民融合;军工;低空经济;无人机;飞行汽车(eVTOL);高端装备;海工装备;专精特新;碳纤维;人形机器人;机器人概念;黑龙江自贸区;回购增持再贷款概念;深股通;融资融券,20
33,301310,301310.SZ,飞行汽车(eVTOL);军工;宁德时代概念;人形机器人;比亚迪概念;新能源汽车;机器人概念;专精特新;高压快充;核电;充电桩;铜缆高速连接;可控核聚变;储能;光伏概念;创投;深股通;融资融券,18
151,920576,920576.BJ,西部大开发;融资融券;海工装备;核电;国企改革;商业航天;可控核聚变;卫星导航;专精特新,9
33,300736,300736.SZ,苹果概念;华为概念;区块链,3
33,300342,300342.SZ,太赫兹;军工信息化;卫星导航;商业航天;6G概念;军民融合;军工;无人机;低空经济;华为概念;无人驾驶;家用电器;国企改革;深股通;融资融券,15
17,688539,688539.SH,商业航天;军工;无人机;传感器;芯片概念;机器人概念;高铁;专精特新;工业互联网;海工装备;沪股通;融资融券,12
33,300692,300692.SZ,新型城镇化;固废处理;污水处理;PPP概念;合成生物;绿色电力;燃料电池;股权转让(并购重组),8
33,301186,301186.SZ,小米汽车;华为汽车;小米概念;特斯拉概念;专精特新;新能源汽车;比亚迪概念;机器人概念;长安汽车概念;换电概念;储能;锂电池概念;融资融券,13
17,600433,600433.SH,烟草;可降解塑料;国企改革;燃料电池;氢能源;央企国企改革;军工;融资融券;沪股通,9
