code,涨停原因类别[20260429],股票代码,market_code
300632,光通信+机器人+光电集成封测,300632.SZ,33
300982,虚拟电厂+光储充+储能,300982.SZ,33
603345,一季报高增+预制菜+烘焙赛道,603345.SH,17
600608,花卉转型+扭亏预告+昆明国资,600608.SH,22
603313,,603313.SH,17
002645,稀土永磁+扭亏为盈+汽车回收拆解+机器人,002645.SZ,33
000818,一季报净利增长+算力租赁+800G光模块+武汉国资,000818.SZ,33
600156,算力租赁+液冷+拟收购易信科技+湖南国资,600156.SH,17
603256,AI算力+电子布涨价+80亿扩产,603256.SH,17
002731,,002731.SZ,33
603906,锂矿入股+业绩预增+磷酸铁锂,603906.SH,17
000980,整车复产+海外布局+减亏,000980.SZ,33
600397,钨钽并购+磁选设备+江西国资,600397.SH,17
600714,国家电投入主+碳酸锶+30万吨天青石项目,600714.SH,17
600082,ST摘帽预期+天津国资+工业地产,600082.SH,22
002253,,002253.SZ,33
000691,摘帽预期+精细化工+锂电池添加剂,000691.SZ,33
603803,一季报扭亏为盈+CPO+智算中心,603803.SH,17
002176,锂矿放量+电机+低空经济,002176.SZ,33
600708,上海国资+保障房开发+存量去化+估值提升计划,600708.SH,17
000909,,000909.SZ,33
002568,业绩改善+威士忌新品+预调鸡尾酒,002568.SZ,33
600392,稀土涨价+回购+央企,600392.SH,17
600545,玻纤设备+华为合作+减亏+纺织机械,600545.SH,17
000609,半导体资产注入+ST博弈+房地产,000609.SZ,33
002805,业绩扭亏+磷酸铁锂+固态电池,002805.SZ,33
000901,商业航天+车联网+央企,000901.SZ,33
300769,一季报扭亏+磷酸铁锂+补锂增强剂,300769.SZ,33
600379,电子特气+氢能+储能+特高压+央企,600379.SH,17
600654,一季报大增+算力中心+智慧安防,600654.SH,17
002786,一季报扭亏+半导体封装+国资背景,002786.SZ,33
002522,一季报增长+POF热收缩膜+常德国资+光纤油膏,002522.SZ,33
603026,一季度扭亏+电解液涨价+宁德时代,603026.SH,17
002634,重整投资协议+无缝服装+ST板块,002634.SZ,33
002227,业绩改善+储能+充电桩,002227.SZ,33
000831,稀土永磁+业绩高增+并购重组预期,000831.SZ,33
603399,锂盐产能扩张+一季度扭亏+固态电池材料,603399.SH,17
002875,一季报扭亏+童装+AI布局,002875.SZ,33
603139,一季度扭亏+资产处置收益+中成药医保,603139.SH,17
600381,高端白酒+虫草龙头+退市博弈,600381.SH,22
600606,扭亏为盈+房地产双位数增长+基建大单,600606.SH,17
002756,一季报大增+锂电+特钢,002756.SZ,33
002903,机器人+工业母机+半导体,002903.SZ,33
603828,,603828.SH,22
600135,TAC膜+锂电隔膜+航天系,600135.SH,17
603013,一季报增长+混动燃油系统+储氢系统+国企改革,603013.SH,17
002431,,002431.SZ,33
600818,,600818.SH,22
600735,资金占用清偿+石墨新材料+发制品出口,600735.SH,22
605099,业绩增长+足球概念+高分红,605099.SH,17
001266,一季报大增+液冷储能+智能电控,001266.SZ,33
603629,算力租赁+业绩暴增+高送转,603629.SH,17
002099,,002099.SZ,33
600636,,600636.SH,22
603516,芯片放量+业绩扭亏+XR订单,603516.SH,17
002360,,002360.SZ,33
688531,拟收购菲莱测试+半导体检测+光芯片测试+复牌,688531.SH,17
001233,,001233.SZ,33
002719,,002719.SZ,33
600084,,600084.SH,22
002872,ST摘帽+中成药+减亏,002872.SZ,33
002818,一季报净利大增+家居建材流通商+高分红规划,002818.SZ,33
600367,锂电池+碳酸钡龙头+青岛国资,600367.SH,17
603508,一季报增长+高股息+铁路列控,603508.SH,17
002498,一季报增长+500kV海缆+海上风电+特高压,002498.SZ,33
603083,业绩大增+800G硅光模块+1.6T+激励计划,603083.SH,17
600537,,600537.SH,22
605006,玻纤涨价+风电纱+山东国资,605006.SH,17
600243,申请撤销退市风险警示+电梯配件+天然气,600243.SH,22
002348,AI玩具+算力布局+此前实控人变更,002348.SZ,33
