market_code,股票代码,code,所属概念,所属概念数量
33,001232.SZ,001232,注册制次新股;新股与次新股;融资融券;3D打印;粤港澳大湾区;独角兽概念;PCB概念,7
151,920092.BJ,920092,卫星导航;AI应用;专精特新;云计算;无人驾驶;信创;人工智能;融资融券;车联网(车路协同);华为概念;互联网金融;机器视觉;数据要素;工业互联网;华为盘古;碳中和;财税数字化;华为鲲鹏;物联网;算力租赁;新型工业化;智慧城市;无人机;数字孪生;机器人概念;数据安全;独角兽概念;智慧政务;AIGC概念;东数西算(算力);DeepSeek概念,31
151,920045.BJ,920045,英伟达概念;一带一路;铜缆高速连接;数据中心(AIDC);粤港澳大湾区;无人驾驶;光纤概念;新股与次新股;融资融券;共封装光学(CPO);人民币贬值受益,11
33,300615.SZ,300615,5G;充电桩;新能源汽车;工业母机;医疗器械概念,5
33,301227.SZ,301227,黑龙江自贸区;建筑节能;装配式建筑;碳中和;智能家居;融资融券,6
33,300052.SZ,300052,云游戏;电子竞技;元宇宙;数字孪生;云计算;虚拟数字人;手机游戏;NFT概念;网络安全;算力租赁;网络游戏;虚拟现实;阿里巴巴概念;腾讯概念;区块链;数字经济;DeepSeek概念;东数西算(算力);华为概念;互联网金融;粤港澳大湾区;数据中心(AIDC);旅游概念;摘帽,24
33,300209.SZ,300209,算力租赁;柔性屏(折叠屏);物联网;人民币贬值受益;跨境电商;液冷服务器;2026中报预增;深股通,8
33,301270.SZ,301270,数字水印;AI视频;鸿蒙概念;AIGC概念;数据要素;抖音概念(字节概念);云计算;腾讯概念;AI应用;阿里巴巴概念;知识产权保护;DeepSeek概念;人工智能;华为概念;小米概念;华为汽车;IP经济(谷子经济);融资融券,18
33,300720.SZ,300720,物联网;机器人概念;融资融券;深股通;股权转让(并购重组),5
33,300620.SZ,300620,共封装光学(CPO);光纤概念;芯片概念;5G;3D打印;量子科技;数据中心(AIDC);商业航天;2026一季报预增;卫星导航;无人驾驶;海工装备;横琴新区;粤港澳大湾区;一带一路;国企改革;2026中报预增;股权转让(并购重组);深股通;融资融券,20
33,300270.SZ,300270,光纤概念;智慧灯杆;卫星导航;机器视觉;东数西算(算力);无人驾驶;车联网(车路协同);人脸识别;华为概念;物联网;华为昇腾;安防;机器人概念;智慧城市;华为鲲鹏;百度概念;人工智能;工业互联网;共同富裕示范区;储能;冷链物流;多模态AI;股权转让(并购重组),23
17,688808.SH,688808,科创次新股;共封装光学(CPO);存储芯片;芯片概念;注册制次新股;专精特新;高端装备;2026一季报预增;新股与次新股;融资融券,10
33,300489.SZ,300489,先进封装;第三代半导体;核污染防治;新能源汽车;核电;军工;氢能源;无人驾驶;无人机;低空经济;深股通,11
33,301047.SZ,301047,细胞免疫治疗;肝炎概念;猴痘概念;流感;重组蛋白;合成生物;CRO概念;智能医疗;京津冀一体化;人民币贬值受益;人工智能;深股通;融资融券,13
33,301396.SZ,301396,算力租赁;东数西算(算力);云计算;财税数字化;多模态AI;数据中心(AIDC);腾讯概念;智慧政务;信创;ChatGPT概念;AI智能体;数据要素;空间计算;AI应用;DeepSeek概念;华为概念;智慧城市;安防;数字经济;MR(混合现实);物联网;智能医疗;职业教育;人工智能;专精特新;新型城镇化;乡村振兴;旅游概念;智能物流;深股通;融资融券,31
17,688661.SH,688661,芯片概念;消费电子概念;英伟达概念;传感器;专精特新;机器人概念;沪股通;融资融券,8
17,688316.SH,688316,算力租赁;云计算;智谱AI;华为欧拉;东数西算(算力);华为鲲鹏;网络安全;信创;智慧政务;数据中心(AIDC);英伟达概念;物联网;华为概念;数字经济;DeepSeek概念;互联网金融;低空经济;无人驾驶;融资融券,19
33,300592.SZ,300592,无人机;华为概念;消费电子概念;AIGC概念;人民币贬值受益;AI智能体;元宇宙;人工智能;ChatGPT概念;AI应用;家用电器;华为盘古;虚拟现实;智能穿戴;跨境电商;2026中报预增;股权转让(并购重组);深股通,18
33,300989.SZ,300989,空间计算;旅游概念;人工智能;AI应用;数据要素;乡村振兴;智慧城市;低空经济;新型城镇化;时空大数据;一带一路;粤港澳大湾区;算力租赁;融资融券,14
17,688668.SH,688668,铜缆高速连接;光纤概念;液冷服务器;5G;英伟达概念;商业航天;机器视觉;比亚迪概念;新能源汽车;长安汽车概念;2026中报预增;共封装光学(CPO);融资融券;沪股通,14
33,300843.SZ,300843,铜缆高速连接;富士康概念;液冷服务器;消费电子概念;新型烟草(电子烟);高压快充;小米概念;数据中心(AIDC);比亚迪概念;智能座舱;新能源汽车;无人机;充电桩;储能;机器人概念;低空经济;人形机器人;飞行汽车(eVTOL);融资融券;深股通,20
33,300857.SZ,300857,算力租赁;EDR概念;英伟达概念;东数西算(算力);云游戏;云计算;共封装光学(CPO);存储芯片;数据中心(AIDC);5G;芯片概念;腾讯概念;智能音箱;消费电子概念;汽车电子;AI眼镜;2026一季报预增;AI智能体;人脸识别;安防;车联网(车路协同);智能穿戴;小米概念;物联网;AIGC概念;AI应用;AI视频;DeepSeek概念;人工智能;粤港澳大湾区;短剧游戏;机器人概念;人形机器人;智能家居;网络游戏;人民币贬值受益;净水概念;家用电器;跨境电商;2026中报预增;智能医疗;融资融券;深股通,43
17,688313.SH,688313,共封装光学(CPO);光纤概念;F5G概念;芯片概念;5G;数据中心(AIDC);专精特新;沪股通;融资融券,9
33,300394.SZ,300394,共封装光学(CPO);光纤概念;先进封装;英伟达概念;5G;数据中心(AIDC);无人驾驶;同花顺新质50;专精特新;华为概念;人民币贬值受益;深股通;融资融券,13
17,688530.SH,688530,PET铜箔;芯片概念;MiniLED;MicroLED概念;HJT电池;钙钛矿电池;光伏概念;专精特新;小金属概念;可控核聚变;融资融券,11
33,301171.SZ,301171,快手概念;小红书概念;AI视频;智谱AI;拼多多概念;华为盘古;短剧游戏;多模态AI;ChatGPT概念;抖音概念(字节概念);AIGC概念;虚拟数字人;云计算;百度概念;阿里巴巴概念;腾讯概念;AI应用;数据要素;文化传媒概念;AI智能体;移动支付;独角兽概念;DeepSeek概念;人工智能;跨境支付(CIPS);华为概念;跨境电商;小米概念;创投;人民币贬值受益;西部大开发;深股通;融资融券,33
33,301080.SZ,301080,重组蛋白;细胞免疫治疗;猴痘概念;人民币贬值受益;人工智能;专精特新;智能医疗;创新药;深股通;融资融券,10
33,301382.SZ,301382,东数西算(算力);云办公;云计算;云游戏;数据安全;5G;华为鲲鹏;智慧政务;腾讯概念;抖音概念(字节概念);华为概念;阿里巴巴概念;物联网;鸿蒙概念;AI智能体;AIGC概念;智慧城市;数据要素;元宇宙;华为手机;AI应用;人工智能;粤港澳大湾区;DeepSeek概念;数字经济;智能家居;蚂蚁集团概念;互联网金融;芯片概念;深股通;融资融券,31
33,301603.SZ,301603,工业母机;液冷服务器;人形机器人;新型工业化;军工;柔性屏(折叠屏);新能源汽车;机器人概念;专精特新;PCB概念;粤港澳大湾区;深股通;融资融券,13
17,688057.SH,688057,机器人概念;污水处理;专精特新;融资融券,4
33,300420.SZ,300420,新型工业化;智能物流;智慧城市;物联网;机器人概念;军民融合;区块链;充电桩;液冷服务器;储能;股权转让(并购重组),11
33,300935.SZ,300935,空间计算;信创;数字孪生;AI智能体;AI应用;数据要素;人工智能;DeepSeek概念;职业教育;建筑节能;装配式建筑;房屋检测;新型城镇化;数据中心(AIDC);一带一路;光伏概念;风电;融资融券,18
17,688328.SH,688328,存储芯片;先进封装;共封装光学(CPO);第三代半导体;OLED;芯片概念;MiniLED;柔性屏(折叠屏);消费电子概念;电子纸;AI眼镜;MR(混合现实);智能穿戴;专精特新;华为概念;虚拟现实;小米概念;锂电池概念;机器视觉;新能源汽车;新型工业化;机器人概念;2026中报预增;融资融券,24
33,301297.SZ,301297,光刻机;中芯国际概念;OLED;富士康概念;芯片概念;2026中报预增;股权转让(并购重组);深股通;融资融券,9
