所属概念,code,所属概念数量,股票代码,market_code
消费电子概念;新能源汽车;专精特新;传感器;虚拟现实;共封装光学(CPO);汽车电子;融资融券;人民币贬值受益;AI眼镜;PCB概念,920821,11,920821.BJ,151
,920305,0,920305.BJ,151
一带一路;空气能热泵;净水概念;专精特新;新疆振兴;融资融券;西部大开发,920088,7,920088.BJ,151
智能医疗;专精特新;新股与次新股;融资融券;医疗器械概念,920072,5,920072.BJ,151
智能物流;数字孪生;新型工业化;区块链;华为鲲鹏;工业互联网;统一大市场;一带一路;机器人概念;机器视觉;特斯拉概念;比亚迪概念;华为概念;储能;宁德时代概念;高股息精选;5G;股权转让(并购重组);深股通,300532,19,300532.SZ,33
页岩气;俄乌冲突概念;天然气;新疆振兴;碳中和;西部大开发;一带一路;人民币贬值受益;深股通,300164,9,300164.SZ,33
OLED;富士康概念;柔性屏(折叠屏);MiniLED;AI眼镜;锂电池概念;智能穿戴;TOPCON电池;小米概念;光伏概念;POE胶膜;华为概念;虚拟现实;深股通;融资融券,300566,15,300566.SZ,33
医药电商;民营医院;智能医疗;西部大开发;数字经济;DeepSeek概念;人工智能;数据要素;融资融券,300937,9,300937.SZ,33
存储芯片;先进封装;汽车芯片;MCU芯片;第三代半导体;芯片概念;消费电子概念;5G;传感器;专精特新;粤港澳大湾区;融资融券,688216,12,688216.SH,17
创新药;沪股通;融资融券,688192,3,688192.SH,17
算力租赁;柔性屏(折叠屏);物联网;人民币贬值受益;跨境电商;2026中报预增;深股通,300209,7,300209.SZ,33
可降解塑料;POE胶膜;一带一路;专精特新;光伏概念;融资融券,301100,6,301100.SZ,33
人形机器人;汽车热管理;中俄贸易概念;机器人概念;传感器;比亚迪概念;新能源汽车;工业互联网;碳中和;股权转让(并购重组);融资融券,300912,11,300912.SZ,33
算力租赁;东数西算(算力);数据中心(AIDC);人工智能;新型城镇化;垃圾分类;污水处理;芯片概念;土壤修复;固废处理;乡村振兴;深股通;融资融券,301259,13,301259.SZ,33
专精特新;消费电子概念;PCB概念;芯片概念;新能源汽车;先进封装;储能;新股与次新股;融资融券,920125,9,920125.BJ,151
PCB概念;存储芯片;共封装光学(CPO);MiniLED;5G;新能源汽车;专精特新;华为概念;沪股通;融资融券,688519,10,688519.SH,17
汽车芯片;MCU芯片;芯片概念;消费电子概念;AI眼镜;无线充电;传感器;AI手机;专精特新;汽车电子;小米概念;机器人概念;人形机器人;特斯拉概念;融资融券,688458,15,688458.SH,17
可燃冰;俄乌冲突概念;天然气;新疆振兴;海工装备;深股通;融资融券,300191,7,300191.SZ,33
流感;医药电商;三胎概念;创新药;医疗器械概念;中俄贸易概念;食品安全;西部大开发;参股券商;国企改革;专精特新;股权转让(并购重组),300534,12,300534.SZ,33
PCB概念;专精特新;人民币贬值受益;C2M概念;一带一路;生态农业;高股息精选;深股通;融资融券,301362,9,301362.SZ,33
流感;仿制药一致性评价;创新药;数字经济;ST板块;国企改革,688189,6,688189.SH,22
PCB概念;华为手机;5G;消费电子概念;汽车电子;特高压;光伏概念;华为概念;风电;工业互联网;绿色电力;数字经济;一带一路;西部大开发;国企改革;深股通;融资融券,301526,17,301526.SZ,33
专精特新;人民币贬值受益;中俄贸易概念;融资融券,301125,4,301125.SZ,33
光刻机;液冷服务器;芯片概念;数据中心(AIDC);宁德时代概念;专精特新;新能源汽车;高端装备;储能;换电概念;氢能源;深股通;融资融券,300990,13,300990.SZ,33
人工智能;云计算;数字经济;DeepSeek概念;ERP概念;AI智能体;融资融券,688479,7,688479.SH,17
先进封装;第三代半导体;核污染防治;新能源汽车;核电;军工;氢能源;无人驾驶;无人机;低空经济;深股通,300489,11,300489.SZ,33
PCB概念;共封装光学(CPO);5G;毫米波雷达;汽车电子;华为概念;工业互联网;2026中报预增;沪股通;融资融券,688183,10,688183.SH,17
数字孪生;专精特新;人工智能;水利;光伏概念;储能;碳中和;氢能源;碳交易;融资融券,688069,10,688069.SH,17
数据中心(AIDC);液冷服务器;换电概念;算力租赁;天然气;氢能源;融资融券;储能;东数西算(算力);西部大开发;锂电池概念,920010,11,920010.BJ,151
融资融券;天然气;专精特新;大飞机;氢能源,920014,5,920014.BJ,151
流感;医疗器械概念;智能医疗;注册制次新股;国企改革;机器人概念;深股通;新股与次新股;融资融券,301584,9,301584.SZ,33
共封装光学(CPO);光纤概念;第三代半导体;汽车芯片;芯片概念;数据中心(AIDC);可控核聚变;商业航天;专精特新;无人驾驶;华为概念;医美概念;沪股通;融资融券,688048,14,688048.SH,17
PCB概念;MiniLED;锂电池概念;汽车电子;融资融券,301176,5,301176.SZ,33
PCB概念;工业母机;机器视觉;高端装备;机器人概念;粤港澳大湾区;2026中报预增;深股通;融资融券,301377,9,301377.SZ,33
共封装光学(CPO);光纤概念;汽车芯片;芯片概念;5G;数据中心(AIDC);西部大开发;沪股通;融资融券,688498,9,688498.SH,17
共封装光学(CPO);5G;芯片概念;数据中心(AIDC);人民币贬值受益;深股通;融资融券,301205,7,301205.SZ,33
PCB概念;2026一季报预增;工业母机;专精特新;2026中报预增;沪股通;融资融券,688257,7,688257.SH,17
芯片概念;有机硅概念;光刻胶;专精特新;新股与次新股;融资融券;国企改革,920015,7,920015.BJ,151
PET铜箔;PCB概念;固态电池;宁德时代概念;5G;锂电池概念;比亚迪概念;储能;国企改革;深股通;融资融券,301217,11,301217.SZ,33
可燃冰;页岩气;俄乌冲突概念;天然气;雄安新区;氢能源;一带一路;创投;人工智能;军工;高端装备;东数西算(算力);无人机;机器人概念;储能;超超临界发电;数据中心(AIDC);融资融券,300157,18,300157.SZ,33
存储芯片;汽车芯片;MCU芯片;芯片概念;消费电子概念;AI眼镜;汽车电子;传感器;智能座舱;比亚迪概念;光伏概念;新能源汽车;人形机器人;无人驾驶;机器人概念;语音技术;储能;车联网(车路协同);长安汽车概念;脑机接口;百度概念;人工智能;2026中报预增;深股通;股权转让(并购重组);融资融券,301099,26,301099.SZ,33
俄乌冲突概念;天然气;深股通;股权转让(并购重组),300483,4,300483.SZ,33
PET铜箔;PCB概念;共封装光学(CPO);存储芯片;固态电池;柔性屏(折叠屏);5G;MiniLED;华为数字能源;宁德时代概念;消费电子概念;锂电池概念;储能;专精特新;比亚迪概念;华为概念;军工;新能源汽车;无人机;深股通;融资融券,301511,21,301511.SZ,33
共封装光学(CPO);芯片概念;5G;中国AI 50;数据中心(AIDC);深股通;人民币贬值受益;西部大开发;融资融券,300502,9,300502.SZ,33
专精特新;锂电池概念;人民币贬值受益;跨境电商;融资融券,301448,5,301448.SZ,33
碳中和;一带一路;碳交易;福建自贸区;融资融券;低空经济;人民币贬值受益;航运概念;海峡两岸,920571,9,920571.BJ,151
PET铜箔;PCB概念;共封装光学(CPO);固态电池;宁德时代概念;锂电池概念;2026一季报预增;光伏概念;新能源汽车;储能;飞行汽车(eVTOL);低空经济;沪股通;融资融券,688388,14,688388.SH,17
染料;雄安新区;京津冀一体化;低空经济;飞行汽车(eVTOL);2026中报预增;深股通,300107,7,300107.SZ,33
液冷服务器;飞行汽车(eVTOL);消费电子概念;汽车电子;融资融券;物联网;芯片概念;无人驾驶;专精特新;新能源汽车;智能家居;无人机;机器人概念;低空经济;传感器;安防;人形机器人;医疗器械概念,920491,18,920491.BJ,151
煤化工概念;可降解塑料;西部大开发;股权转让(并购重组),600844,4,600844.SH,17
医药电商;流感;创新药;合成生物;养老概念;智能医疗;医疗器械概念;AI应用;人工智能;阿里巴巴概念;AI智能体;深股通;融资融券,301408,13,301408.SZ,33
职业教育;高铁;PPP概念;国企改革;一带一路;智能物流;智慧城市;央企国企改革;腾讯概念;机器人概念;华为概念;锂电池概念;深股通;融资融券,000008,14,000008.SZ,33
专精特新;高端装备;人民币贬值受益;碳中和;固废处理;2026中报预增;融资融券,688309,7,688309.SH,17
水利;海工装备;一带一路;军工;工业互联网;机器人概念;人工智能;核电;体育产业;雅下水电概念;国企改革;固废处理;华为概念;风电;冰雪产业;深股通;融资融券,002523,17,002523.SZ,33
煤炭概念;新疆振兴;国企改革;沪股通;融资融券,600403,5,600403.SH,17
无人驾驶;机器人概念;小金属概念;装配式建筑;西部大开发;新疆振兴;PPP概念;氟化工概念;融资融券,002628,9,002628.SZ,33
医药电商;仿制药一致性评价;维生素;流感;创新药;ST板块;冷链物流;医疗器械概念;粤港澳大湾区,000078,9,000078.SZ,33
草甘膦;磷化工;化肥;丙烯酸;金属铜;金属铅;金属锌;稀土永磁;硅能源;锂电池概念;黄金概念;西部大开发;天然气;参股银行;一带一路;建筑节能;航运概念;绿色电力;光伏概念;TOPCON电池;沪股通;2026中报预增;小金属概念;融资融券,603077,24,603077.SH,17
创新药;融资融券,688163,2,688163.SH,17
三胎概念;职业教育;养老概念;物业管理;民营医院;创投;牙科医疗;参股保险;人工智能;智能医疗;海峡两岸;辅助生殖;租售同权;机器人概念;2026中报预增,002162,15,002162.SZ,33
俄乌冲突概念;天然气;国企改革;氢能源;央企国企改革;充电桩;融资融券,000554,7,000554.SZ,33
俄乌冲突概念;天然气;ST板块;土地流转;海南自贸区;一带一路;人民币贬值受益,600759,7,600759.SH,22
AI视频;手机游戏;ChatGPT概念;空间计算;虚拟数字人;AIGC概念;NFT概念;数字孪生;文化传媒概念;数据要素;IP经济(谷子经济);百度概念;元宇宙;数字经济;抖音概念(字节概念);DeepSeek概念;旅游概念;网红经济;人形机器人;乡村振兴;机器人概念;虚拟现实;华为概念;MR(混合现实);商业航天;2026中报预增;融资融券;沪股通,603466,28,603466.SH,17
煤炭概念;煤化工概念;高股息精选;国企改革;融资融券;2026中报预增;沪股通,601101,7,601101.SH,17
华为概念;充电桩;东数西算(算力);高端装备;风电;储能;专精特新;污水处理;净水概念;生物质能发电;新型城镇化;氢能源;固废处理;地下管网;PPP概念;绿色电力;深股通;融资融券,301127,18,301127.SZ,33
BC电池;HJT电池;MicroLED概念;MiniLED;PCB概念;光伏概念;储能;POE胶膜;锂电池概念;固态电池;商业航天;钠离子电池;沪股通;有机硅概念;OLED;2026中报预增;融资融券,603806,17,603806.SH,17
