market_code,code,股票代码,涨停原因类别[20260319]
22,600421,600421.SH,
17,605389,605389.SH,要约收购完成+机器人减速器+国企改革
22,600599,600599.SH,业绩预盈+烟花爆竹+退市博弈+ST板块
17,600666,600666.SH,算力租赁+年报预增+蓝宝石
33,000638,000638.SZ,
33,000539,000539.SZ,算电协同+广东国资+电力
17,600617,600617.SH,天然气+山西管网+山西国资
17,600726,600726.SH,绿电转型+热电联产+煤炭概念+央企
22,600355,600355.SH,
33,000908,000908.SZ,重整完成+创新药CDMO+合成生物
33,002310,002310.SZ,重大资产重组+风光电站+北京国资
33,300895,300895.SZ,北京数据集团入主+算力租赁+IDC
33,000968,000968.SZ,煤层气+地缘冲突+山西国资
33,002734,002734.SZ,
17,600996,600996.SH,算力租赁+广电5G+贵州国资
33,000488,000488.SZ,
22,600696,600696.SH,
33,000601,000601.SZ,算电协同+储能+生物质发电
33,000609,000609.SZ,
33,000668,000668.SZ,
22,603813,603813.SH,超跌反弹+氢能物流+电商物流
17,600396,600396.SH,绿电+氢能+央企
33,000617,000617.SZ,跨境支付+能源金融+央企
33,000510,000510.SZ,
33,300332,300332.SZ,天然气+回购注销+膜材料+印尼市场开拓
17,600979,600979.SH,电力+液冷服务器+分布式光伏+国企改革
17,605169,605169.SH,天然气涨价+燃气板块拉升+LNG/CNG扩张
22,600381,600381.SH,退市博弈+高端白酒+中药大健康
17,601015,601015.SH,甲醇涨价+煤焦化链+LNG
33,000004,000004.SZ,算力+扭亏预告+ST博弈
22,600777,600777.SH,美国页岩油+油价上涨+退市博弈
22,603580,603580.SH,退市博弈+轻型输送带+两岸融合
33,002667,002667.SZ,
33,002512,002512.SZ,
17,601218,601218.SH,风电铸件+业绩预增+海上风电
17,603629,603629.SH,算力租赁+英伟达合作+年报预增
33,001258,001258.SZ,储能扩张+疆电外送+新疆国资+风电光伏
17,603130,603130.SH,革基布龙头+定增扩产+增资智造
33,002902,002902.SZ,AI算力+800G光模块+磁性元器件
22,603822,603822.SH,
17,603067,603067.SH,
33,002109,002109.SZ,甲醇+煤化工+陕西国资
22,603843,603843.SH,算力租赁+重整进展+基建转型
33,000020,000020.SZ,深圳旧改+液晶显示+物业经营
33,002432,002432.SZ,AI投资+创投+AI医疗+回购注销
17,600186,600186.SH,算力租赁+调味品
17,603366,603366.SH,储能+光伏+太阳能热水器
33,000815,000815.SZ,算电协同+东数西算+扭亏为盈+央企
17,603687,603687.SH,拟投GPU+钙钛矿设备+参股曲速科技+纸包装
33,002379,002379.SZ,
