所属概念,所属概念数量,股票代码,market_code,code
芯片概念;军工;专精特新,7,301707.SZ,33,301707
芯片概念;高端装备;PCB概念;专精特新;苹果概念;机器视觉;新股与次新股;融资融券,8,920178.BJ,151,920178
人工智能;量子科技;机器人概念;雅下水电概念;一带一路;雄安新区;新型城镇化;装配式建筑;光伏概念;深股通;融资融券,11,300986.SZ,33,300986
CRO概念;减肥药;细胞免疫治疗;创新药;流感;西部大开发;人民币贬值受益;新型烟草(电子烟);融资融券;深股通,10,300363.SZ,33,300363
重组蛋白;CRO概念;细胞免疫治疗;流感;合成生物;专精特新;融资融券,7,688137.SH,17,688137
人民币贬值受益;沪股通;融资融券,3,688073.SH,17,688073
人民币贬值受益;专精特新;医疗器械概念;融资融券,4,301234.SZ,33,301234
存储芯片;先进封装;芯片概念;高端装备;人民币贬值受益;绿色电力;融资融券,7,688419.SH,17,688419
共封装光学(CPO);华为海思概念股;PCB概念;英伟达概念;苹果概念;芯片概念;汽车电子;智能座舱;5G;商业航天;无人驾驶;无人机;人形机器人;比亚迪概念;数据中心(AIDC);东数西算(算力);华为概念;专精特新;机器人概念;飞行汽车(eVTOL);车联网(车路协同);低空经济;脑机接口;腾讯概念;阿里巴巴概念;人工智能;百度概念;深股通;融资融券,29,301366.SZ,33,301366
PET铜箔;PCB概念;先进封装;华为手机;消费电子概念;稀土永磁;5G;小米概念;专精特新;华为概念;沪股通;融资融券,12,688020.SH,17,688020
辅助生殖;融资融券,2,688265.SH,17,688265
物联网;无线耳机;新型烟草(电子烟);充电桩;智能家居;比亚迪概念;储能;机器人概念;汽车电子;家用电器;新能源汽车;粤港澳大湾区;消费电子概念;露营经济;净水概念;医疗器械概念;液冷服务器;深股通;融资融券,19,300916.SZ,33,300916
细胞免疫治疗;肝炎概念;猴痘概念;流感;重组蛋白;合成生物;CRO概念;智能医疗;京津冀一体化;人民币贬值受益;人工智能;深股通;融资融券,13,301047.SZ,33,301047
重组蛋白;细胞免疫治疗;猴痘概念;人民币贬值受益;人工智能;专精特新;智能医疗;创新药;深股通;融资融券,10,301080.SZ,33,301080
第三代半导体;汽车芯片;芯片概念;专精特新;无人机;新能源汽车;充电桩;智能电网;融资融券,9,688693.SH,17,688693
减速器;人形机器人;专精特新;传感器;机器人概念;家用电器;新能源汽车;智能家居;融资融券,9,301008.SZ,33,301008
专精特新;DeepSeek概念;沪股通;融资融券,4,688046.SH,17,688046
CRO概念;创新药;智能医疗;流感;合成生物;医疗器械概念;ChatGPT概念;AI应用;多模态AI;人工智能;人民币贬值受益;深股通;融资融券,14,301230.SZ,33,301230
先进封装;第三代半导体;核污染防治;新能源汽车;核电;军工;氢能源;无人驾驶;无人机;低空经济;深股通,11,300489.SZ,33,300489
猴痘概念;基因测序;CRO概念;流感;减肥药;合成生物;重组蛋白;阿尔茨海默概念;军工信息化;人工智能;医疗器械概念;沪股通;融资融券,13,688105.SH,17,688105
CRO概念;创新药;合成生物;智能医疗;人民币贬值受益;人工智能;AI应用;深股通;融资融券,9,300725.SZ,33,300725
人工智能;创投;医疗器械概念;创新药;深股通;融资融券,6,301093.SZ,33,301093
柔性屏(折叠屏);PCB概念;机器视觉;富士康概念;新型工业化;先进封装;MiniLED;芯片概念;OLED;MicroLED概念;华为概念;消费电子概念;第三代半导体;人工智能;比亚迪概念;高端装备;深股通,17,300400.SZ,33,300400
共封装光学(CPO);科创次新股;PCB概念;PET铜箔;注册制次新股;固态电池;锂电池概念;比亚迪概念;核电;军工;华为概念;氢能源;西部大开发;国企改革;新股与次新股;融资融券,16,688813.SH,17,688813
新型城镇化;共同富裕示范区;PPP概念;水利;雄安新区;碳中和;IP经济(谷子经济);区块链,8,300649.SZ,33,300649
CRO概念;重组蛋白;2026中报预增;沪股通;股权转让(并购重组);融资融券,6,688293.SH,17,688293
减肥药;CRO概念;重组蛋白;合成生物;创新药;维生素;智能医疗;人工智能;专精特新;沪股通;融资融券,11,688131.SH,17,688131
PET铜箔;PCB概念;固态电池;宁德时代概念;5G;锂电池概念;比亚迪概念;储能;国企改革;2026中报预增;深股通;融资融券,12,301217.SZ,33,301217
共封装光学(CPO);PCB概念;富士康概念;MiniLED;5G;汽车电子;专精特新;新型工业化;机器人概念;工业互联网;一带一路;深股通;融资融券,13,301251.SZ,33,301251
PCB概念;存储芯片;共封装光学(CPO);MiniLED;5G;新能源汽车;专精特新;华为概念;2026中报预增;沪股通;融资融券,11,688519.SH,17,688519
CRO概念;细胞免疫治疗;创新药;智能医疗;国企改革;央企国企改革;沪股通;融资融券,8,688710.SH,17,688710
CRO概念;减肥药;创新药;合成生物;智能医疗;人工智能;AI应用;沪股通;融资融券,9,688202.SH,17,688202
PET铜箔;PCB概念;共封装光学(CPO);存储芯片;固态电池;柔性屏(折叠屏);5G;MiniLED;华为数字能源;宁德时代概念;消费电子概念;锂电池概念;储能;专精特新;比亚迪概念;华为概念;军工;新能源汽车;无人机;深股通;融资融券,21,301511.SZ,33,301511
光纤概念;共封装光学(CPO);光刻机;AI眼镜;芯片概念;量子科技;商业航天;卫星导航;数据中心(AIDC);专精特新;机器视觉;无人驾驶;华为概念;福建自贸区;海峡两岸;医疗器械概念;独角兽概念;沪股通;股权转让(并购重组);融资融券,20,688195.SH,17,688195
细胞免疫治疗;智能医疗;CRO概念;基因测序;重组蛋白;人工智能;上海自贸区;专精特新;融资融券,9,688238.SH,17,688238
专精特新;医疗器械概念;新股与次新股;融资融券,4,920166.BJ,151,920166
国家大基金持股;存储芯片;汽车芯片;WiFi 6;芯片概念;智能座舱;星闪概念;卫星导航;东数西算(算力);机器视觉;虚拟现实;专精特新;物联网;无人驾驶;机器人概念;车联网(车路协同);人工智能;鸿蒙概念;深股通;股权转让(并购重组);融资融券,21,300672.SZ,33,300672
CRO概念;细胞免疫治疗;减肥药;创新药;肝炎概念;智能医疗;DeepSeek概念;AI智能体;融资融券,9,301257.SZ,33,301257
