股票代码,所属概念,所属概念数量,code,market_code
301513.SZ,锂电池概念;钠离子电池;钙钛矿电池;比亚迪概念;宁德时代概念;固态电池;注册制次新股;新股与次新股;融资融券,9,301513,33
920012.BJ,芯片概念;先进封装;有机硅概念;新股与次新股;融资融券,5,920012,151
920526.BJ,融资融券;PCB概念;专精特新;芯片概念,4,920526,151
920179.BJ,股权转让(并购重组);芯片概念;中芯国际概念;光伏概念;融资融券;专精特新,6,920179,151
688628.SH,芯片概念;PM2.5;人民币贬值受益;光伏概念;核污染防治;AI智能体;DeepSeek概念;融资融券,8,688628,17
300806.SZ,富士康概念;光刻胶;PCB概念;苹果概念;消费电子概念;柔性屏(折叠屏);汽车电子;无线耳机;虚拟现实;华为概念;专精特新;新能源汽车;特斯拉概念;储能;石墨烯;氢能源;深股通,17,300806,33
301319.SZ,富士康概念;先进封装;芯片概念;比亚迪概念;华为概念;专精特新;新能源汽车;低空经济;粤港澳大湾区;光伏概念;融资融券,11,301319,33
300776.SZ,BC电池;钙钛矿电池;TOPCON电池;HJT电池;MicroLED概念;第三代半导体;先进封装;OLED;光伏概念;MiniLED;芯片概念;消费电子概念;PCB概念;融资融券;深股通,15,300776,33
688807.SH,共封装光学(CPO);科创次新股;汽车芯片;5G;芯片概念;MCU芯片;数据中心;注册制次新股;海峡两岸;新股与次新股;融资融券,11,688807,17
301237.SZ,消费电子概念;碳纤维;光伏概念;融资融券,4,301237,33
688227.SH,军工;芯片概念;东数西算(算力);华为概念;算力租赁;云计算;信创;华为欧拉;人工智能;智慧政务;AI智能体;数据要素;DeepSeek概念;区块链;数字经济;互联网金融;融资融券,17,688227,17
300905.SZ,染料;光刻胶;专精特新;3D打印;足球概念;深股通;融资融券,7,300905,33
688560.SH,BC电池;HJT电池;TOPCON电池;POE胶膜;光伏概念;固态电池;专精特新;锂电池概念;比亚迪概念;人民币贬值受益;回购增持再贷款概念;融资融券,12,688560,17
920249.BJ,抖音概念(字节概念);汽车芯片;无人驾驶;智能物流;电力物联网;机器人概念;光伏概念;智能穿戴;数字经济;物联网;医疗器械概念;汽车电子;鸿蒙概念;智能家居;传感器;智慧灯杆;芯片概念;汽车热管理;存储芯片;消费电子概念;车联网(车路协同);先进封装;充电桩;星闪概念;工业互联网;百度概念;人脸识别;融资融券;智能座舱;华为海思概念股;华为概念;人形机器人;阿里巴巴概念;安防;一带一路;DeepSeek概念;WiFi 6;两轮车;人工智能;AI智能体;5G,41,920249,151
920045.BJ,2025年报预增;粤港澳大湾区;无人驾驶;数据中心;光纤概念;新股与次新股;融资融券;共封装光学(CPO);人民币贬值受益,9,920045,151
920971.BJ,存储芯片;先进封装;商业航天;芯片概念;专精特新;光伏概念;融资融券;锂电池概念,8,920971,151
920242.BJ,传感器;新能源汽车;毫米波雷达;机器人概念;一带一路;汽车拆解概念;融资融券;特斯拉概念;跨境电商;人民币贬值受益;汽车电子;无人驾驶,12,920242,151
688502.SH,光刻机;光刻胶;芯片概念;智能穿戴;机器视觉;专精特新;无人驾驶;虚拟现实;人民币贬值受益;基因测序;眼科医疗;沪股通;融资融券,13,688502,17
301090.SZ,回购增持再贷款概念;国企改革;风电;央企国企改革;3D打印;融资融券;深股通,7,301090,33
688813.SH,PCB概念;科创次新股;共封装光学(CPO);PET铜箔;军工;注册制次新股;锂电池概念;华为概念;比亚迪概念;核电;氢能源;西部大开发;国企改革;新股与次新股;融资融券,15,688813,17
920821.BJ,传感器;消费电子概念;新能源汽车;汽车电子;虚拟现实;共封装光学(CPO);融资融券;人民币贬值受益;专精特新;AI眼镜;PCB概念,11,920821,151
920522.BJ,锂电池概念;宁德时代概念;固态电池;融资融券;碳纤维;比亚迪概念;钠离子电池;专精特新,8,920522,151
920181.BJ,专精特新;新股与次新股;融资融券,3,920181,151
300083.SZ,飞行汽车(eVTOL);新型工业化;工业母机;人形机器人;无线充电;小米概念;比亚迪概念;智能穿戴;高端装备;机器人概念;低空经济;一体化压铸;新能源汽车;无人机;工业互联网;军工;消费电子概念;华为概念;5G;粤港澳大湾区;苹果概念;储能;人工智能;创投;液冷服务器;回购增持再贷款概念;深股通;融资融券,28,300083,33
301662.SZ,固态电池;宁德时代概念;比亚迪概念;钠离子电池;锂电池概念;动力电池回收;粤港澳大湾区;深股通;融资融券,9,301662,33
688530.SH,MicroLED概念;PET铜箔;芯片概念;MiniLED;钙钛矿电池;专精特新;HJT电池;光伏概念;融资融券,9,688530,17
301068.SZ,固废处理;融资融券,2,301068,33
920225.BJ,地下管网;中俄贸易概念;液冷服务器;海工装备;核电;食品安全;融资融券;数据中心;页岩气;人民币贬值受益;白酒概念;高端装备;军工;专精特新,14,920225,151
920284.BJ,专精特新;锂电池概念;宁德时代概念;人造肉;新型工业化;固态电池;融资融券,7,920284,151
