所属概念,market_code,code,所属概念数量,股票代码
车联网(车路协同);信创;智慧城市;AI智能体;人工智能;物联网;无人驾驶;WiFi 6;卫星导航;工业互联网;5G;智能座舱;智能物流;专精特新;芯片概念;人民币贬值受益;两轮车;深股通,33,300590,18,300590.SZ
环氧丙烷;染料;光刻胶;锂电池概念;OLED;新能源汽车,33,300721,6,300721.SZ
合成生物;农业种植;乡村振兴;融资融券,33,300970,4,300970.SZ
染料;英伟达概念;柔性屏(折叠屏);算力租赁;芯片概念;东数西算(算力);C2M概念;多模态AI;Sora概念(文生视频);AIGC概念;百度概念;独角兽概念;区块链;长三角一体化;DeepSeek概念;人工智能;军工;IP经济(谷子经济);污水处理;海工装备;AI应用;PPP概念;宠物经济;深股通;融资融券,33,300067,25,300067.SZ
抖音概念(字节概念);腾讯概念;智慧政务;数据要素;阿里巴巴概念;网络安全;云计算;数字经济;蚂蚁集团概念;互联网保险;华为概念;东数西算(算力);AI应用;融资融券;深股通;股权转让(并购重组),33,300061,16,300061.SZ
共同富裕示范区;专精特新;融资融券;新能源汽车,151,920111,4,920111.BJ
数据安全;华为鲲鹏;智慧政务;物联网;数据要素;数据确权;智慧城市;AI智能体;区块链;华为概念;人工智能;算力租赁;东数西算(算力);量子科技;DeepSeek概念;数据中心;虚拟数字人;传感器;PM2.5;商业航天;碳中和;碳交易;股权转让(并购重组);融资融券,17,688051,24,688051.SH
华为概念;腾讯概念;拼多多概念;抖音概念(字节概念);阿里巴巴概念;快手概念;小红书概念;短剧游戏;文化传媒概念;深股通;股权转让(并购重组);融资融券,33,300959,12,300959.SZ
算力租赁;国资云;数据确权;云计算;数据安全;网络安全;东数西算(算力);抖音概念(字节概念);阿里巴巴概念;数据要素;电力物联网;量子科技;数据中心;数字孪生;DeepSeek概念;数字经济;华为概念;物联网;京津冀一体化;核电;国企改革;深股通;融资融券,33,300895,23,300895.SZ
细胞免疫治疗;重组蛋白;创新药;眼科医疗;基因测序;智能医疗;深股通;融资融券,33,300558,8,300558.SZ
新型城镇化;共同富裕示范区;PPP概念;雄安新区;IP经济(谷子经济);水利;碳中和;区块链,33,300649,8,300649.SZ
国家大基金持股;中国AI 50;5G;芯片概念;数据中心;网络安全;沪股通;融资融券,17,688702,8,688702.SH
粤港澳大湾区;人民币贬值受益;融资融券,33,301588,3,301588.SZ
乳业;三胎概念;乡村振兴;养老概念;新疆振兴;国企改革;西部大开发;股权转让(并购重组),33,300106,8,300106.SZ
体育产业;文化传媒概念;国企改革;储能;锂电池概念,17,600052,5,600052.SH
绿色电力;风电;新疆振兴;储能;国企改革;京津冀一体化;央企国企改革;回购增持再贷款概念;沪股通;融资融券,17,601016,10,601016.SH
汽车芯片;芯片概念;语音技术;数据安全;2025年报预增;碳纤维;人工智能;创投;跨境电商;网络游戏;手机游戏;绿色电力;融资融券;股权转让(并购重组);沪股通,17,600770,15,600770.SH
文化传媒概念;IP经济(谷子经济);在线教育;虚拟数字人;云办公;数字经济;腾讯概念;智慧政务;百度概念;人工智能;DeepSeek概念;跨境电商;信创;医疗器械概念;AI应用;粤港澳大湾区;华为概念;智能物流;AI眼镜;深股通;融资融券,33,002301,21,002301.SZ
汽车热管理;无人驾驶;新能源汽车;汽车电子;智能座舱;车联网(车路协同);比亚迪概念;网约车;智慧城市;粤港澳大湾区;创投;华为概念;充电桩;5G;人工智能;2025年报预增;区块链;ERP概念;云计算;氢能源,17,603390,20,603390.SH
净水概念;家用电器;智能家居;绿色电力;机器人概念;证金持股;深股通;融资融券,33,002242,8,002242.SZ
跨境电商;养老概念;人民币贬值受益;工业互联网,17,603709,4,603709.SH
东数西算(算力);算力租赁;专精特新;特钢概念;军工;核电;宁德时代概念;锂电池概念;抽水蓄能;中俄贸易概念;超超临界发电;石墨电极;俄乌冲突概念,17,603315,13,603315.SH
青蒿素;信托概念;天然气;股权转让(并购重组);西部大开发;碳中和;地下管网;氢能源;储能;融资融券,33,000593,10,000593.SZ
商业航天;建筑节能;低空经济;装配式建筑;新型城镇化;新型工业化;独角兽概念;虚拟现实;智慧城市;数字孪生;长三角一体化;光伏建筑一体化;空间计算;元宇宙;多模态AI;一带一路;数据中心;雄安新区;DeepSeek概念,17,603017,19,603017.SH
页岩气;天然气;国企改革;氢能源;摘帽;深股通;海工装备;股权转让(并购重组),33,002490,8,002490.SZ
超超临界发电;绿色电力;煤炭概念;风电;黑龙江自贸区;国企改革;央企国企改革;沪股通,17,600726,8,600726.SH
光纤概念;特高压;抽水蓄能;智能电网;风电;光伏概念;PET铜箔;5G;石墨烯;储能;新能源汽车;锂电池概念;共同富裕示范区;沪股通;融资融券,17,603618,15,603618.SH
2025年报预增;锂电池概念;芯片概念;食品安全;液冷服务器;长三角一体化;海峡两岸;创投,33,002787,8,002787.SZ
体育产业;三胎概念;长三角一体化;国企改革;股权转让(并购重组),33,001234,5,001234.SZ
预制菜;三胎概念;海峡两岸;回购增持再贷款概念,33,001215,4,001215.SZ
