market_code,所属概念数量,股票代码,所属概念,code
17,8,688806.SH,科创次新股;注册制次新股;新股与次新股;融资融券;重组蛋白;横琴新区;专精特新;创新药,688806
151,9,920267.BJ,粤港澳大湾区;海峡两岸;跨境电商;融资融券;芯片概念;智能家居;家用电器;专精特新;MCU芯片,920267
151,14,920438.BJ,玻璃基板;商业航天;无人驾驶;6G概念;融资融券;芯片概念;消费电子概念;海工装备;比亚迪概念;核电;核污染防治;先进封装;军工;专精特新,920438
17,14,688728.SH,芯片概念;国家大基金持股;OLED;传感器;AI眼镜;消费电子概念;汽车电子;智能穿戴;安防;人民币贬值受益;智慧城市;AI PC;融资融券;沪股通,688728
33,10,300643.SZ,车联网(车路协同);长安汽车概念;华为汽车;专精特新;传感器;人民币贬值受益;特斯拉概念;汽车电子;芯片概念;深股通,300643
33,9,301012.SZ,算力租赁;东数西算(算力);数据中心(AIDC);储能;光伏概念;专精特新;深股通;股权转让(并购重组);融资融券,301012
33,11,300795.SZ,体育产业;AI应用;AIGC概念;AI智能体;跨境电商;数据要素;DeepSeek概念;人工智能;创投;一带一路;AI眼镜,300795
33,4,301588.SZ,粤港澳大湾区;人民币贬值受益;商业航天;融资融券,301588
33,18,301421.SZ,光刻机;PCB概念;芯片概念;消费电子概念;AI眼镜;3D打印;专精特新;机器视觉;无人机;无人驾驶;锂电池概念;机器人概念;安防;医疗器械概念;基因测序;2026中报预增;深股通;融资融券,301421
17,24,688328.SH,存储芯片;先进封装;共封装光学(CPO);第三代半导体;OLED;芯片概念;MiniLED;柔性屏(折叠屏);消费电子概念;电子纸;AI眼镜;MR(混合现实);智能穿戴;专精特新;华为概念;虚拟现实;小米概念;锂电池概念;机器视觉;新能源汽车;新型工业化;机器人概念;2026中报预增;融资融券,688328
17,17,688596.SH,中芯国际概念;第三代半导体;存储芯片;芯片概念;光纤概念;氟化工概念;光伏概念;专精特新;锂电池概念;储能;高端装备;氢能源;磷化工;医疗器械概念;合成生物;沪股通;融资融券,688596
17,12,688110.SH,存储芯片;汽车芯片;芯片概念;5G;消费电子概念;智能穿戴;AI PC;专精特新;安防;车联网(车路协同);沪股通;融资融券,688110
33,18,301310.SZ,军工;可控核聚变;核电;铜缆高速连接;飞行汽车(eVTOL);专精特新;宁德时代概念;新能源汽车;机器人概念;创投;比亚迪概念;人形机器人;高压快充;充电桩;储能;光伏概念;深股通;融资融券,301310
17,17,688261.SH,第三代半导体;芯片概念;5G;液冷服务器;高压快充;数据中心(AIDC);光伏概念;东数西算(算力);充电桩;比亚迪概念;专精特新;储能;新能源汽车;机器人概念;人形机器人;沪股通;融资融券,688261
17,8,688361.SH,国家大基金持股;中芯国际概念;存储芯片;先进封装;芯片概念;同花顺新质50;沪股通;融资融券,688361
17,8,688347.SH,国家大基金持股;存储芯片;芯片概念;消费电子概念;国企改革;上海国企改革;沪股通;融资融券,688347
