所属概念数量,所属概念,股票代码,code,market_code
20,智慧政务;机器视觉;机器人概念;独角兽概念;新型工业化;数据要素;智能医疗;智慧城市;数据中心;数字经济;华为概念;人工智能;专精特新;DeepSeek概念;ST板块;ChatGPT概念;AIGC概念;云计算;东数西算(算力);信创,920305.BJ,920305,151
6,空气能热泵;净水概念;专精特新;新疆振兴;融资融券;西部大开发,920088.BJ,920088,151
18,可燃冰;俄乌冲突概念;页岩气;天然气;超超临界发电;雄安新区;氢能源;一带一路;融资融券;创投;人工智能;军工;高端装备;储能;无人机;东数西算(算力);机器人概念;数据中心,300157.SZ,300157,33
8,俄乌冲突概念;页岩气;天然气;新疆振兴;西部大开发;碳中和;一带一路;人民币贬值受益,300164.SZ,300164,33
7,可燃冰;俄乌冲突概念;天然气;新疆振兴;深股通;融资融券;海工装备,300191.SZ,300191,33
8,培育钻石;第三代半导体;专精特新;新能源汽车;海工装备;天然气;深股通;融资融券,300179.SZ,300179,33
6,消费电子概念;华为概念;汽车电子;光纤概念;无人驾驶;融资融券,688260.SH,688260,17
6,商业航天;海工装备;人工智能;智能家居;家用电器;回购增持再贷款概念,300749.SZ,300749,33
17,PCB概念;华为手机;5G;消费电子概念;特高压;汽车电子;光伏概念;华为概念;风电;工业互联网;一带一路;绿色电力;数字经济;西部大开发;国企改革;深股通;融资融券,301526.SZ,301526,33
9,培育钻石;工业母机;人形机器人;芯片概念;新能源汽车;OLED;核电;沪股通;融资融券,688028.SH,688028,17
6,光刻胶;专精特新;合成生物;猴痘概念;重组蛋白;融资融券,688179.SH,688179,17
21,AI眼镜;消费电子概念;柔性屏(折叠屏);智能座舱;特斯拉概念;人形机器人;宁德时代概念;智能穿戴;比亚迪概念;毫米波雷达;小米概念;新能源汽车;5G;一体化压铸;有机硅概念;华为概念;医疗器械概念;人工智能;国企改革;深股通;融资融券,300328.SZ,300328,33
13,智能电网;风电;光伏概念;储能;海工装备;氢能源;数据中心;光伏建筑一体化;东数西算(算力);粤港澳大湾区;抖音概念(字节概念);深股通;融资融券,301291.SZ,301291,33
