股票代码,code,所属概念数量,所属概念,market_code
688797.SH,688797,11,高端装备;先进封装;国家大基金持股;OLED;专精特新;科创次新股;注册制次新股;新股与次新股;融资融券;存储芯片;西部大开发,17
920438.BJ,920438,13,商业航天;无人驾驶;6G概念;融资融券;芯片概念;消费电子概念;海工装备;比亚迪概念;核电;核污染防治;先进封装;军工;专精特新,151
300506.SZ,300506,6,车联网(车路协同);粤港澳大湾区;比亚迪概念;智慧城市;智慧灯杆;摘帽,33
301310.SZ,301310,18,军工;可控核聚变;核电;铜缆高速连接;飞行汽车(eVTOL);专精特新;宁德时代概念;新能源汽车;机器人概念;创投;比亚迪概念;人形机器人;高压快充;充电桩;储能;光伏概念;深股通;融资融券,33
688123.SH,688123,21,存储芯片;汽车芯片;共封装光学(CPO);中芯国际概念;芯片概念;AI眼镜;消费电子概念;智能穿戴;汽车电子;数据中心(AIDC);无线耳机;智能座舱;小米概念;华为概念;专精特新;新型烟草(电子烟);比亚迪概念;特斯拉概念;人民币贬值受益;沪股通;融资融券,17
301396.SZ,301396,31,算力租赁;东数西算(算力);云计算;财税数字化;多模态AI;数据中心(AIDC);腾讯概念;智慧政务;信创;ChatGPT概念;AI智能体;数据要素;空间计算;AI应用;DeepSeek概念;华为概念;智慧城市;安防;数字经济;MR(混合现实);物联网;智能医疗;职业教育;人工智能;专精特新;新型城镇化;乡村振兴;旅游概念;智能物流;深股通;融资融券,33
301366.SZ,301366,29,共封装光学(CPO);华为海思概念股;PCB概念;英伟达概念;苹果概念;芯片概念;汽车电子;智能座舱;5G;商业航天;无人驾驶;无人机;人形机器人;比亚迪概念;数据中心(AIDC);东数西算(算力);华为概念;专精特新;机器人概念;飞行汽车(eVTOL);车联网(车路协同);低空经济;脑机接口;腾讯概念;阿里巴巴概念;人工智能;百度概念;深股通;融资融券,33
301132.SZ,301132,15,PCB概念;共封装光学(CPO);5G;汽车电子;汽车芯片;消费电子概念;无人驾驶;新能源汽车;车联网(车路协同);智能电网;充电桩;机器人概念;宁德时代概念;深股通;融资融券,33
301669.SZ,301669,10,虚拟电厂;新能源汽车;储能;一带一路;专精特新;注册制次新股;芯片概念;钠离子电池;新股与次新股;融资融券,33
688403.SH,688403,9,先进封装;存储芯片;OLED;芯片概念;汽车芯片;专精特新;人民币贬值受益;沪股通;融资融券,17
