market_code,所属概念数量,所属概念,code,股票代码
151,2,,920079,920079.BJ
151,0,,920305,920305.BJ
33,4,专精特新;粤港澳大湾区;深股通;融资融券,300834,300834.SZ
33,28,智谱AI;Web3.0;财税数字化;ChatGPT概念;元宇宙;知识产权保护;AIGC概念;虚拟数字人;智慧政务;云计算;在线教育;AI应用;AI智能体;抖音概念(字节概念);数据要素;阿里巴巴概念;职业教育;区块链;数字经济;DeepSeek概念;人工智能;算力租赁;华为概念;独角兽概念;东数西算(算力);创投;股权转让(并购重组);深股通,300688,300688.SZ
33,5,稀土永磁;固废处理;钒电池;融资融券;深股通,300779,300779.SZ
33,4,人民币贬值受益;专精特新;医疗器械概念;融资融券,301234,301234.SZ
33,8,高端装备;先进封装;存储芯片;注册制次新股;新股与次新股;融资融券;专精特新;芯片概念,301583,301583.SZ
33,12,雄安新区;DeepSeek概念;碳中和;固废处理;风电;国企改革;华为概念;PM2.5;超超临界发电;央企国企改革;储能;光伏概念,300105,300105.SZ
33,14,创新药;细胞免疫治疗;眼科医疗;仿制药一致性评价;幽门螺杆菌概念;医药电商;辅助生殖;肝炎概念;医疗器械概念;西部大开发;知识产权保护;国企改革;深股通;融资融券,300006,300006.SZ
17,19,MCU芯片;芯片概念;AI眼镜;智能穿戴;无线耳机;消费电子概念;智能音箱;小米概念;星闪概念;专精特新;华为概念;物联网;语音技术;机器人概念;粤港澳大湾区;人工智能;独角兽概念;沪股通;融资融券,688049,688049.SH
33,31,WiFi 6;共封装光学(CPO);6G概念;5G;液冷服务器;中国AI 50;数据中心(AIDC);东数西算(算力);网络安全;小米概念;信创;云办公;抖音概念(字节概念);阿里巴巴概念;腾讯概念;百度概念;国资云;工业互联网;AI智能体;新型工业化;人工智能;快手概念;蚂蚁集团概念;AI应用;AIGC概念;数字经济;智能医疗;一带一路;国企改革;深股通;融资融券,301165,301165.SZ
33,18,新型工业化;充电桩;汽车热管理;专精特新;智能电网;机器人概念;光伏概念;比亚迪概念;小米概念;新能源汽车;数据中心(AIDC);储能;小米汽车;汽车电子;风电;一带一路;锂电池概念;融资融券,300988,300988.SZ
17,10,重组蛋白;减肥药;仿制药一致性评价;创新药;细胞免疫治疗;流感;合成生物;创投;沪股通;融资融券,688166,688166.SH
33,7,仿制药一致性评价;创新药;CRO概念;减肥药;食品安全;DeepSeek概念;融资融券,301520,301520.SZ
151,15,工业互联网;专精特新;数字孪生;物联网;鸿蒙概念;机器人概念;智慧城市;AI智能体;融资融券;股权转让(并购重组);数据要素;安防;国企改革;创投;人工智能,920198,920198.BJ
33,18,F5G概念;WiFi 6;6G概念;芯片概念;5G;汽车电子;数据中心(AIDC);网络安全;小米概念;智能座舱;华为概念;安防;信创;车联网(车路协同);粤港澳大湾区;创投;深股通;融资融券,301191,301191.SZ
33,8,ST板块;净水概念;污水处理;固废处理;碳中和;专精特新;TOPCON电池;光伏概念,301030,301030.SZ
33,35,汽车芯片;芯片概念;消费电子概念;AI眼镜;卫星导航;智能穿戴;汽车电子;传感器;毫米波雷达;东数西算(算力);无人机;小米概念;星闪概念;专精特新;虚拟现实;网络安全;低空经济;机器视觉;海峡两岸;腾讯概念;安防;数据安全;无人驾驶;多模态AI;车联网(车路协同);移动支付;人脸识别;福建自贸区;新能源汽车;人工智能;机器人概念;智能家居;2026中报预增;融资融券;深股通,301536,301536.SZ
33,22,生物质能发电;抽水蓄能;绿色电力;虚拟电厂;光伏建筑一体化;风电;智能电网;碳中和;充电桩;黑龙江自贸区;储能;垃圾分类;雄安新区;高压快充;光伏概念;数据中心(AIDC);东数西算(算力);华为概念;高铁;乡村振兴;专精特新;数字孪生,300040,300040.SZ
33,13,军民融合;核污染防治;食品安全;京津冀一体化;核电;军工;高端装备;锂电池概念;专精特新;低空经济;机器人概念;无人机;融资融券,300875,300875.SZ
17,15,人形机器人;华为汽车;长安汽车概念;机器人概念;车联网(车路协同);比亚迪概念;无人驾驶;专精特新;新能源汽车;高端装备;无人机;燃料电池;宁德时代概念;人工智能;融资融券,688071,688071.SH
