market_code,code,所属概念数量,股票代码,所属概念
17,688785,5,688785.SH,芯片概念;中芯国际概念;注册制次新股;新股与次新股;融资融券
151,920159,2,920159.BJ,新股与次新股;融资融券
33,300798,4,300798.SZ,染料;算力租赁;东数西算(算力);AI智能体
33,300164,8,300164.SZ,页岩气;俄乌冲突概念;天然气;新疆振兴;碳中和;西部大开发;一带一路;人民币贬值受益
33,301500,16,301500.SZ,黄金概念;金属铜;小金属概念;金属回收;金属锌;金属镍;汽车拆解概念;比亚迪概念;固废处理;粤港澳大湾区;碳中和;广东自贸区;DeepSeek概念;2025年报预增;深股通;融资融券
33,300139,9,300139.SZ,黄金概念;民爆概念;智能电网;绿色电力;芯片概念;人民币贬值受益;一带一路;深股通;融资融券
33,301177,8,301177.SZ,黄金概念;IP经济(谷子经济);DeepSeek概念;抖音概念(字节概念);广东自贸区;2025年报预增;深股通;融资融券
17,688216,10,688216.SH,先进封装;存储芯片;第三代半导体;传感器;汽车芯片;芯片概念;专精特新;粤港澳大湾区;5G;融资融券
33,300945,7,300945.SZ,黄金概念;IP经济(谷子经济);NFT概念;共同富裕示范区;元宇宙;深股通;融资融券
17,688380,16,688380.SH,存储芯片;汽车芯片;MCU芯片;芯片概念;2025年报预增;消费电子概念;汽车电子;小米概念;传感器;人形机器人;长安汽车概念;专精特新;机器人概念;华为汽车;沪股通;融资融券
33,300191,7,300191.SZ,可燃冰;俄乌冲突概念;天然气;新疆振兴;海工装备;深股通;融资融券
17,688435,14,688435.SH,华为欧拉;华为鲲鹏;云计算;数据要素;数据安全;信创;腾讯概念;阿里巴巴概念;互联网金融;数字经济;DeepSeek概念;华为概念;专精特新;融资融券
17,688172,8,688172.SH,国家大基金持股;MCU芯片;第三代半导体;芯片概念;传感器;国企改革;沪股通;融资融券
33,300870,17,300870.SZ,富士康概念;液冷服务器;WiFi 6;数据中心;第三代半导体;消费电子概念;华为概念;比亚迪概念;无人机;充电桩;阿里巴巴概念;光伏概念;海峡两岸;智能家居;一带一路;深股通;融资融券
33,300344,13,300344.SZ,ST板块;数据安全;云计算;互联网金融;光伏建筑一体化;信创;数字经济;东数西算(算力);智慧城市;DeepSeek概念;数字孪生;人工智能;数据中心
