股票代码,code,market_code,所属概念,所属概念数量
688820.SH,688820,17,芯片概念;存储芯片;先进封装;科创次新股;注册制次新股;新股与次新股;融资融券,7
001312.SZ,001312,33,注册制次新股;新股与次新股;融资融券;人民币贬值受益,4
920111.BJ,920111,151,共同富裕示范区;专精特新;融资融券;新能源汽车,4
300533.SZ,300533,33,手机游戏;网络游戏;IP经济(谷子经济);阿里巴巴概念;创投;粤港澳大湾区;人民币贬值受益;新能源汽车;深股通,9
301022.SZ,301022,33,华为汽车;小米汽车;PEEK材料;小米概念;人形机器人;比亚迪概念;2025年报预增;机器人概念;新能源汽车;无人驾驶;人民币贬值受益;储能;融资融券,13
688020.SH,688020,17,PCB概念;先进封装;华为手机;5G;PET铜箔;消费电子概念;小米概念;专精特新;华为概念;稀土永磁;融资融券,11
688268.SH,688268,17,俄乌冲突概念;氟化工概念;光刻机;光刻胶;中芯国际概念;氢能源;存储芯片;第三代半导体;芯片概念;核电;粤港澳大湾区;专精特新;沪股通;融资融券,14
688661.SH,688661,17,芯片概念;消费电子概念;专精特新;传感器;英伟达概念;机器人概念;沪股通;融资融券,8
301486.SZ,301486,33,光纤概念;富士康概念;芯片概念;消费电子概念;5G;MR(混合现实);数据中心;比亚迪概念;新型工业化;高端装备;东数西算(算力);华为概念;虚拟现实;粤港澳大湾区;华为昇腾;抖音概念(字节概念);阿里巴巴概念;股权转让(并购重组);深股通;融资融券,20
300067.SZ,300067,33,染料;算力租赁;百度概念;区块链;多模态AI;AIGC概念;东数西算(算力);Sora概念(文生视频);DeepSeek概念;人工智能;独角兽概念;英伟达概念;军工;IP经济(谷子经济);芯片概念;C2M概念;海工装备;柔性屏(折叠屏);长三角一体化;污水处理;PPP概念;宠物经济;AI应用;深股通;融资融券,25
300801.SZ,300801,33,氟化工概念;PEEK材料;固态电池;钠离子电池;丙烯酸;锂电池概念;PCB概念;芯片概念;磷化工;消毒剂;人民币贬值受益;净水概念;工业互联网;储能;合成生物;化肥;脑机接口;深股通,18
301667.SZ,301667,33,注册制次新股;锂电池概念;宁德时代概念;汽车热管理;储能;新能源汽车;华为概念;专精特新;深股通;新股与次新股;融资融券,11
301511.SZ,301511,33,PET铜箔;PCB概念;共封装光学(CPO);存储芯片;柔性屏(折叠屏);固态电池;宁德时代概念;消费电子概念;锂电池概念;5G;新能源汽车;比亚迪概念;华为数字能源;储能;专精特新;军工;无人机;华为概念;深股通;融资融券,20
688025.SH,688025,17,共封装光学(CPO);光纤概念;苹果概念;PCB概念;MR(混合现实);芯片概念;3D打印;钙钛矿电池;TOPCON电池;机器视觉;专精特新;虚拟现实;光伏概念;比亚迪概念;华为概念;2025年报预增;宁德时代概念;固态电池;沪股通;融资融券,20
