所属概念,所属概念数量,code,股票代码,market_code
长三角一体化;共同富裕示范区;工业母机;数字经济;高端装备;核电;新型工业化,10,301677,301677.SZ,33
基因测序;融资融券;合成生物;专精特新,4,920685,920685.BJ,151
家用电器;创投;智能家居;机器人概念;人形机器人;深股通;融资融券,7,300894,300894.SZ,33
财税数字化;华为鲲鹏;ERP概念;智慧政务;跨境支付(CIPS);信创;AI语料;AI应用;数据要素;区块链;AIGC概念;AI智能体;网络安全;数字经济;互联网金融;人工智能;小米概念;融资融券,18,300996,300996.SZ,33
智能电网;风电;注册制次新股;专精特新;深股通;新股与次新股;融资融券,7,301668,301668.SZ,33
注册制次新股;锂电池概念;宁德时代概念;汽车热管理;新能源汽车;储能;华为概念;专精特新;深股通;新股与次新股;融资融券,11,301667,301667.SZ,33
注册制次新股;汽车热管理;机器人概念;高端装备;新能源汽车;智能医疗;网络安全;物联网;水利;宁德时代概念;粤港澳大湾区;锂电池概念;储能;高压快充;核电;充电桩;深股通;新股与次新股;融资融券,19,301449,301449.SZ,33
海峡两岸;融资融券;新能源汽车;人民币贬值受益;专精特新,5,920000,920000.BJ,151
光纤概念;消费电子概念;汽车电子;华为概念;无人驾驶;融资融券,6,688260,688260.SH,17
智慧政务;华为鲲鹏;数字乡村;AIGC概念;虚拟数字人;数据要素;数据安全;在线教育;AI应用;AI视频;云办公;AI智能体;国产操作系统;鸿蒙概念;人脸识别;网络安全;语音技术;智慧城市;腾讯概念;DeepSeek概念;人工智能;水利;智能医疗;乡村振兴;新型城镇化;养老概念;体育产业;东数西算(算力);福建自贸区;华为概念;无人机;海峡两岸;卫星导航;数据中心(AIDC);机器视觉;眼科医疗,36,300605,300605.SZ,33
空间计算;旅游概念;人工智能;AI应用;数据要素;乡村振兴;智慧城市;低空经济;新型城镇化;时空大数据;一带一路;粤港澳大湾区;算力租赁;融资融券,14,300989,300989.SZ,33
