market_code,code,涨停原因类别[20260424],股票代码
33,000004,,000004.SZ
33,000062,华为昇腾+分销龙头+存储芯片+一季报预增,000062.SZ
33,000504,动力电池回收+细胞治疗+湖南国资,000504.SZ
33,000546,盐湖提锂+锂矿布局+金属镍+固废回收,000546.SZ
33,000609,半导体资产注入+房地产+ST博弈,000609.SZ
33,000889,算力+诉讼和解+5G消息+通信运维,000889.SZ
33,000906,供应链服务+储能+矿产资源+浙江国资,000906.SZ
33,000909,,000909.SZ
33,000925,算力租赁+商业航天+智慧交通,000925.SZ
33,000973,锂电隔膜+超薄隔膜+业绩暴增+广东国资,000973.SZ
33,001211,竹基禾塑托盘+金钢瓷餐具+全竹产业链,001211.SZ
33,001234,服装贴牌+广州国资入主+回购注销,001234.SZ
33,001339,一季报增长+算力+人形机器人+AI PC,001339.SZ
33,002081,,002081.SZ
33,002127,一季报扭亏+品牌授权+线下自营+互联网电商,002127.SZ
33,002149,,002149.SZ
33,002176,锂矿+机器人+低空经济,002176.SZ
33,002192,锂矿+负极材料+年报增长,002192.SZ
33,002229,,002229.SZ
33,002240,锂盐产能释放+木绒锂矿获批+津巴布韦出口,002240.SZ
33,002289,,002289.SZ
33,002290,增资CPU+家电复合材料+年报增长,002290.SZ
33,002313,无线通信模组+5G Redcap+液冷+珠海国资,002313.SZ
33,002322,,002322.SZ
33,002331,华为合作+智慧交通+AI运维,002331.SZ
33,002394,,002394.SZ
33,002406,参股黄河信产+机器人+传动轴+一季报预增,002406.SZ
33,002407,一季报暴增+六氟磷酸锂+大圆柱电池,002407.SZ
33,002429,,002429.SZ
33,002478,,002478.SZ
33,002528,庭外重组+深圳国资+智慧城市+AI安防,002528.SZ
33,002542,,002542.SZ
33,002620,重整投资人+光伏建筑一体化+建筑装饰,002620.SZ
33,002624,,002624.SZ
33,002691,,002691.SZ
33,002713,,002713.SZ
33,002731,,002731.SZ
33,002756,锂电+特钢+技改达产,002756.SZ
33,002787,半导体收购+温控设备+金属包装+一季报增长,002787.SZ
33,002789,,002789.SZ
33,002795,光伏剥离+肿瘤放疗+阀门管件+亏损收窄,002795.SZ
33,002808,,002808.SZ
33,002810,锂电池+植物胶囊+纤维素醚+一季度预增,002810.SZ
33,002812,业绩暴增+隔膜龙头+固态电池+LG大单,002812.SZ
33,002891,,002891.SZ
33,002898,,002898.SZ
33,002977,,002977.SZ
33,002990,算力采购+人形机器人+智慧口岸,002990.SZ
33,002999,供销社+化肥+农资流通+业绩预增,002999.SZ
33,003036,高端纺机+电子布纺织机+固态电池+纺织机器人,003036.SZ
33,300283,一季报扭亏+铜箔扩产+锂电铜箔+芯片引线框架,300283.SZ
33,300422,一季报扭亏+工业环境治理+海外订单+广西国资,300422.SZ
33,300613,一季报暴增+AI算力芯片+车载AI芯片+机器人芯片,300613.SZ
33,301077,算力+拟收购天宽科技+英伟达概念+反光布龙头,301077.SZ
17,600152,钠电储能龙头+锂电产业链+电池项目投资,600152.SH
22,600193,,600193.SH
17,600208,拟并购先导电科+半导体靶材+回购+衢州国资,600208.SH
22,600243,,600243.SH
22,600289,,600289.SH
17,600338,盐湖提锂+铅锌矿+业绩高增,600338.SH
17,600370,瓶级聚酯切片+PTA龙头+机器人概念,600370.SH
22,600421,,600421.SH
17,600499,一季报超预期+非洲建材+盐湖提锂+陶瓷,600499.SH
17,600527,复合短纤维+涤纶毛条,600527.SH
17,600537,预重整推进+TOPCon电池+光伏组件,600537.SH
17,600545,玻璃纤维纱线+华为合作+AI智慧工厂+纺织机械,600545.SH
17,600603,,600603.SH
22,600608,,600608.SH
17,600633,算力+AI应用+数字文化+国企,600633.SH
22,600696,退市博弈+酱香型白酒+市值低于5亿,600696.SH
17,600726,一季报增长+绿电转型+热电联产+煤炭,600726.SH
17,600770,参股CPU+功率半导体+吉莱微并购+芯片设计,600770.SH
22,600777,,600777.SH
17,600826,年报增长+注销回购+会展运营+机器人,600826.SH
17,600966,,600966.SH
17,603016,断路器+特高压+国企改革,603016.SH
17,603060,碳领域+新材料检测+商业航天+央企,603060.SH
17,603066,一季报大增+机器人+智能物流+国企改革,603066.SH
17,603097,,603097.SH
17,603202,,603202.SH
17,603236,,603236.SH
17,603272,超跌反弹+墙布龙头+控股股东转让股份,603272.SH
17,603318,燃气轮机掺氢+氦气+山东国资,603318.SH
17,603325,,603325.SH
17,603365,业绩增长+高股息+家纺龙头+大单品,603365.SH
22,603389,ST板块+锆钛选矿+世博家具,603389.SH
17,603390,一季报业绩大增+智慧交通+氢能源+比亚迪,603390.SH
17,603456,,603456.SH
17,603520,六氟磷酸锂+碘造影剂+原料药+产能释放,603520.SH
22,603559,ST摘帽预期+通信工程+重整完成,603559.SH
17,603599,草甘膦+光气资源+染料中间体,603599.SH
17,603655,汽车热管理+橡胶密封件+年报预增,603655.SH
17,603680,轨道交通+商业航天+一带一路+年报增长,603680.SH
17,603687,,603687.SH
22,603789,摘帽预期+农机+无人驾驶+专用车注入,603789.SH
17,603819,柴油发电机+数据中心+安防+扭亏为盈,603819.SH
17,603876,电池铝箔+钠电池+全球布局+业绩预增,603876.SH
17,603937,电池铝箔扩建+锂电池概念+彩涂铝,603937.SH
17,603959,,603959.SH
17,603967,一季报增长+工程物流+海外布局,603967.SH
17,603991,,603991.SH
22,605081,,605081.SH
22,605336,退市保壳+ST板块+集成灶,605336.SH
17,688268,氦气涨价+光刻气+国产替代,688268.SH
17,688633,一季报大增+高端装备+一带一路,688633.SH
