股票代码,所属概念数量,code,所属概念,market_code
301717.SZ,7,301717,芯片概念;光刻机;专精特新;西部大开发,33
688828.SH,6,688828,量子科技;专精特新,17
920165.BJ,2,920165,,151
301529.SZ,8,301529,传感器;汽车电子;比亚迪概念;新能源汽车;5G;中俄贸易概念;深股通;融资融券,33
301550.SZ,11,301550,减速器;人形机器人;机器人概念;新能源汽车;农机;工业互联网;专精特新;数字经济;人民币贬值受益;深股通;融资融券,33
300426.SZ,11,300426,短剧游戏;NFT概念;文化传媒概念;IP经济(谷子经济);AIGC概念;AI应用;抖音概念(字节概念);阿里巴巴概念;DeepSeek概念;人工智能;国企改革,33
301520.SZ,7,301520,仿制药一致性评价;创新药;CRO概念;减肥药;食品安全;DeepSeek概念;融资融券,33
300862.SZ,12,300862,传感器;商业航天;专精特新;毫米波雷达;华为概念;智慧城市;芯片概念;军工;PM2.5;碳中和;PPP概念;融资融券,33
301209.SZ,6,301209,光刻胶;专精特新;染料;光刻机;深股通;融资融券,33
300158.SZ,13,300158,仿制药一致性评价;维生素;创新药;肝炎概念;医美概念;流感;农业种植;医药电商;毛发医疗;土地流转;乡村振兴;融资融券;深股通,33
920510.BJ,8,920510,新型工业化;芯片概念;机器人概念;融资融券;新能源汽车;减速器;专精特新;人形机器人,151
301566.SZ,7,301566,5G;专精特新;军工;医疗器械概念;MLCC概念;融资融券;深股通,33
300693.SZ,13,300693,数据中心(AIDC);高压快充;虚拟电厂;充电桩;换电概念;储能;宁德时代概念;比亚迪概念;专精特新;新能源汽车;锂电池概念;深股通;融资融券,33
301596.SZ,11,301596,减速器;人形机器人;新型工业化;机器人概念;新能源汽车;无人机;核电;西部大开发;风电;融资融券;深股通,33
300461.SZ,10,300461,无线充电;新型工业化;新型烟草(电子烟);长三角一体化;苹果概念;无线耳机;比亚迪概念;汽车电子;消费电子概念;深股通,33
301008.SZ,9,301008,减速器;人形机器人;专精特新;传感器;机器人概念;家用电器;新能源汽车;智能家居;融资融券,33
301119.SZ,3,301119,比亚迪概念;新能源汽车;融资融券,33
300161.SZ,16,300161,工业母机;新型工业化;高端装备;机器人概念;航空发动机;新能源汽车;军工;工业互联网;数字孪生;职业教育;智能物流;阿里巴巴概念;人工智能;锂电池概念;数据中心(AIDC);深股通,33
300886.SZ,3,300886,烟草;人民币贬值受益;融资融券,33
920651.BJ,8,920651,智慧城市;地下管网;传感器;核电;融资融券;物联网;专精特新;人工智能,151
002721.SZ,16,002721,互联网金融;AI应用;数字货币;区块链;移动支付;数字经济;人工智能;DeepSeek概念;AI智能体;智慧政务;阿里巴巴概念;国企改革;黄金概念;小金属概念;3D打印;深股通,33
