所属概念数量,code,股票代码,market_code,所属概念
2,920200,920200.BJ,151,新股与次新股;融资融券
9,920152,920152.BJ,151,钙钛矿电池;储能;专精特新;西部大开发;数据中心;超级电容;风电;动力电池回收;融资融券
13,920438,920438.BJ,151,商业航天;无人驾驶;6G概念;芯片概念;消费电子概念;军工;核污染防治;海工装备;专精特新;核电;比亚迪概念;先进封装;融资融券
24,300052,300052.SZ,33,云游戏;电子竞技;网络安全;华为概念;东数西算(算力);虚拟现实;云计算;粤港澳大湾区;元宇宙;数据中心;数字经济;数字孪生;算力租赁;腾讯概念;阿里巴巴概念;区块链;DeepSeek概念;互联网金融;网络游戏;虚拟数字人;手机游戏;NFT概念;旅游概念;摘帽
9,301000,301000.SZ,33,人形机器人;汽车热管理;机器人概念;新能源汽车;家用电器;储能;燃料电池;深股通;融资融券
33,301171,301171.SZ,33,快手概念;小红书概念;Sora概念(文生视频);智谱AI;多模态AI;抖音概念(字节概念);ChatGPT概念;华为盘古;拼多多概念;AIGC概念;短剧游戏;虚拟数字人;云计算;百度概念;腾讯概念;阿里巴巴概念;AI应用;AI智能体;数据要素;文化传媒概念;移动支付;独角兽概念;人工智能;DeepSeek概念;华为概念;小米概念;跨境支付(CIPS);创投;跨境电商;人民币贬值受益;西部大开发;深股通;融资融券
6,300819,300819.SZ,33,PCB概念;固态电池;机器人概念;人民币贬值受益;氢能源;体育产业
10,688069,688069.SH,17,专精特新;数字孪生;光伏概念;人工智能;储能;水利;氢能源;碳中和;碳交易;融资融券
6,300868,300868.SZ,33,华为概念;智能穿戴;消费电子概念;跨境电商;AI眼镜;融资融券
21,688167,688167.SH,17,光纤概念;共封装光学(CPO);光刻机;先进封装;MicroLED概念;MR(混合现实);OLED;存储芯片;芯片概念;消费电子概念;3D打印;机器视觉;虚拟现实;智能座舱;无人驾驶;可控核聚变;回购增持再贷款概念;医美概念;西部大开发;沪股通;融资融券
26,300807,300807.SZ,33,智能物流;无人驾驶;物联网;新能源汽车;车联网(车路协同);人脸识别;智能穿戴;智能座舱;比亚迪概念;冷链物流;华为概念;人工智能;EDR概念;卫星导航;网约车;充电桩;ERP概念;数据中心;东数西算(算力);数据要素;雄安新区;移动支付;AI智能体;高压快充;乡村振兴;百度概念
18,688379,688379.SH,17,共封装光学(CPO);芯片概念;液冷服务器;商业航天;2025年报预增;无人机;新能源汽车;人形机器人;机器人概念;高铁;光伏概念;低空经济;核电;锂电池概念;风电;共同富裕示范区;绿色电力;融资融券
12,301696,301696.SZ,33,人形机器人;机器人概念;减速器;无人机;低空经济;人民币贬值受益;飞行汽车(eVTOL);注册制次新股;军工;碳纤维;新股与次新股;融资融券
8,688593,688593.SH,17,电子纸;AI眼镜;MicroLED概念;智能穿戴;OLED;芯片概念;沪股通;融资融券
16,300161,300161.SZ,33,工业母机;新型工业化;锂电池概念;工业互联网;航空发动机;高端装备;军工;机器人概念;新能源汽车;数据中心;数字孪生;阿里巴巴概念;人工智能;职业教育;智能物流;深股通
3,301373,301373.SZ,33,光伏概念;专精特新;融资融券
23,301018,301018.SZ,33,液冷服务器;5G;数据中心;成飞概念;可控核聚变;高压快充;军工;核电;华为概念;新能源汽车;空气能热泵;2025年报预增;储能;抽水蓄能;抖音概念(字节概念);阿里巴巴概念;腾讯概念;百度概念;锂电池概念;DeepSeek概念;碳中和;深股通;融资融券
11,300912,300912.SZ,33,传感器;比亚迪概念;人形机器人;汽车热管理;新能源汽车;机器人概念;工业互联网;中俄贸易概念;碳中和;股权转让(并购重组);融资融券
14,301666,301666.SZ,33,快手概念;存储芯片;小红书概念;英伟达概念;数据中心;抖音概念(字节概念);腾讯概念;阿里巴巴概念;百度概念;注册制次新股;DeepSeek概念;专精特新;新股与次新股;融资融券
31,301169,301169.SZ,33,信创;华为昇腾;华为概念;数据安全;阿里巴巴概念;云计算;腾讯概念;智慧政务;云办公;时空大数据;AI智能体;数据要素;数字孪生;鸿蒙概念;数据确权;人工智能;元宇宙;AIGC概念;苹果概念;财税数字化;智慧城市;DeepSeek概念;数字经济;烟草;数字乡村;互联网金融;蚂蚁集团概念;跨境电商;一带一路;跨境支付(CIPS);融资融券
9,920045,920045.BJ,151,2025年报预增;粤港澳大湾区;无人驾驶;数据中心;光纤概念;新股与次新股;融资融券;共封装光学(CPO);人民币贬值受益
9,300165,300165.SZ,33,土壤修复;工业大麻;污水处理;食品安全;锂电池概念;医疗器械概念;专精特新;华为概念;摘帽
13,300398,300398.SZ,33,光纤概念;光刻胶;中芯国际概念;存储芯片;先进封装;第三代半导体;OLED;芯片概念;电子纸;光伏概念;新能源汽车;深股通;融资融券
9,301529,301529.SZ,33,传感器;汽车电子;比亚迪概念;5G;新能源汽车;中俄贸易概念;回购增持再贷款概念;深股通;融资融券
28,300903,300903.SZ,33,共封装光学(CPO);MiniLED;PCB概念;存储芯片;先进封装;汽车电子;消费电子概念;5G;芯片概念;数据中心;毫米波雷达;血氧仪;小米概念;充电桩;比亚迪概念;专精特新;储能;无人机;新能源汽车;军工;机器人概念;锂电池概念;工业互联网;粤港澳大湾区;钠离子电池;低空经济;深股通;融资融券
11,300488,300488.SZ,33,航空发动机;工业母机;军民融合;专精特新;减速器;人形机器人;比亚迪概念;机器人概念;长三角一体化;共同富裕示范区;深股通
19,688365,688365.SH,17,小红书概念;智谱AI;云办公;AIGC概念;ChatGPT概念;拼多多概念;抖音概念(字节概念);财税数字化;云计算;AI应用;AI智能体;阿里巴巴概念;ERP概念;DeepSeek概念;人工智能;数字经济;跨境电商;沪股通;融资融券
8,688679,688679.SH,17,土壤修复;液冷服务器;净水概念;污水处理;固废处理;碳中和;绿色电力;融资融券
8,688172,688172.SH,17,国家大基金持股;MCU芯片;第三代半导体;芯片概念;传感器;国企改革;沪股通;融资融券
11,301319,301319.SZ,33,先进封装;富士康概念;芯片概念;比亚迪概念;专精特新;华为概念;新能源汽车;光伏概念;低空经济;粤港澳大湾区;融资融券
10,688371,688371.SH,17,共封装光学(CPO);液冷服务器;AI眼镜;小米概念;华为概念;脑机接口;一带一路;医疗器械概念;沪股通;融资融券
12,688090,688090.SH,17,机器视觉;芯片概念;传感器;新型工业化;专精特新;比亚迪概念;机器人概念;新能源汽车;数字孪生;人工智能;AI应用;融资融券
25,688003,688003.SH,17,先进封装;PCB概念;苹果概念;第三代半导体;芯片概念;消费电子概念;英伟达概念;机器视觉;小米概念;专精特新;人形机器人;新型工业化;无人驾驶;新能源汽车;机器人概念;车联网(车路协同);高端装备;低空经济;光伏概念;智能物流;人工智能;百度概念;DeepSeek概念;沪股通;融资融券
13,920186,920186.BJ,151,存储芯片;量子科技;5G;中字头股票;国家大基金持股;中芯国际概念;第三代半导体;芯片概念;专精特新;新股与次新股;融资融券;国企改革;2026一季报预增
10,688313,688313.SH,17,共封装光学(CPO);F5G概念;光纤概念;5G;芯片概念;数据中心;专精特新;2025年报预增;沪股通;融资融券
13,301389,301389.SZ,33,PET铜箔;富士康概念;苹果概念;消费电子概念;汽车电子;智能穿戴;智能座舱;专精特新;新能源汽车;海峡两岸;股权转让(并购重组);深股通;融资融券
14,300302,300302.SZ,33,存储芯片;东数西算(算力);云计算;数据安全;数据中心;信创;国产操作系统;芯片概念;卫星导航;专精特新;军工信息化;军工;深股通;融资融券
8,301148,301148.SZ,33,核污染防治;专精特新;海峡两岸;核电;新型城镇化;福建自贸区;污水处理;融资融券
16,300679,300679.SZ,33,PCB概念;消费电子概念;新型烟草(电子烟);柔性屏(折叠屏);5G;小米概念;人形机器人;比亚迪概念;华为概念;无人驾驶;新能源汽车;数据中心;无人机;物联网;深股通;融资融券
20,688484,688484.SH,17,MCU芯片;汽车芯片;AI手机;芯片概念;智能座舱;AI眼镜;小米概念;汽车电子;传感器;智能穿戴;无线充电;消费电子概念;阿里巴巴概念;液冷服务器;机器人概念;人民币贬值受益;锂电池概念;储能;沪股通;融资融券
33,300571,300571.SZ,33,算力租赁;快手概念;智谱AI;华为昇腾;数字水印;东数西算(算力);多模态AI;腾讯概念;阿里巴巴概念;数据中心;虚拟数字人;短剧游戏;数据要素;鸿蒙概念;WiFi 6;6G概念;F5G概念;元宇宙;5G;DeepSeek概念;共封装光学(CPO);虚拟现实;智能音箱;数字经济;芯片概念;文化传媒概念;无人机;人形机器人;低空经济;机器人概念;储能;IP经济(谷子经济);智能家居
16,300400,300400.SZ,33,富士康概念;先进封装;MicroLED概念;MiniLED;柔性屏(折叠屏);PCB概念;OLED;第三代半导体;消费电子概念;芯片概念;机器视觉;新型工业化;华为概念;比亚迪概念;人工智能;深股通
15,300938,300938.SZ,33,汽车拆解概念;AI眼镜;华为概念;军民融合;小米概念;军工;食品安全;低空经济;机器人概念;比亚迪概念;DeepSeek概念;华为汽车;特斯拉概念;深股通;融资融券
11,300553,300553.SZ,33,航空发动机;专精特新;新型工业化;商业航天;军工;人形机器人;新能源汽车;高端装备;机器人概念;人工智能;海工装备
11,688055,688055.SH,17,电子纸;MiniLED;消费电子概念;智能座舱;芯片概念;新能源汽车;人民币贬值受益;一带一路;国企改革;沪股通;融资融券
15,301070,301070.SZ,33,华为昇腾;东数西算(算力);比亚迪概念;无人驾驶;光伏概念;储能;高端装备;锂电池概念;智慧政务;DeepSeek概念;人工智能;绿色电力;回购增持再贷款概念;智能医疗;融资融券
11,688610,688610.SH,17,PCB概念;MiniLED;AI眼镜;芯片概念;机器视觉;机器人概念;2025年报预增;光伏概念;锂电池概念;基因测序;融资融券
7,688820,688820.SH,17,科创次新股;先进封装;存储芯片;芯片概念;注册制次新股;新股与次新股;融资融券
8,688808,688808.SH,17,科创次新股;芯片概念;专精特新;注册制次新股;2026一季报预增;共封装光学(CPO);新股与次新股;融资融券
3,300720,300720.SZ,33,物联网;机器人概念;股权转让(并购重组)
11,300013,300013.SZ,33,统一大市场;跨境电商;冷链物流;智能物流;一带一路;物联网;国企改革;比亚迪概念;车联网(车路协同);卫星导航;股权转让(并购重组)
6,301502,301502.SZ,33,小米概念;家用电器;智能家居;医疗器械概念;养老概念;融资融券
6,300668,300668.SZ,33,ERP概念;数据确权;华为概念;新型城镇化;AIGC概念;股权转让(并购重组)
9,300395,300395.SZ,33,PCB概念;OLED;光纤概念;5G;芯片概念;光伏概念;同花顺新质50;融资融券;深股通
5,688662,688662.SH,17,共封装光学(CPO);5G;芯片概念;储能;融资融券
9,920046,920046.BJ,151,光伏概念;抖音概念(字节概念);专精特新;高铁;储能;一带一路;数据中心;融资融券;智能电网
11,688697,688697.SH,17,工业母机;新型工业化;人形机器人;高端装备;新能源汽车;机器人概念;低空经济;大飞机;长三角一体化;融资融券;沪股通
9,301252,301252.SZ,33,液冷服务器;空气能热泵;数据中心;汽车热管理;专精特新;新能源汽车;长安汽车概念;冷链物流;融资融券
