股票代码,所属概念数量,market_code,所属概念,code
001220.SZ,3,33,注册制次新股;新股与次新股;融资融券,001220
920305.BJ,20,151,独角兽概念;机器视觉;机器人概念;智能医疗;智慧政务;智慧城市;新型工业化;数据要素;数据中心;数字经济;华为概念;信创;云计算;人工智能;东数西算(算力);专精特新;ST板块;DeepSeek概念;ChatGPT概念;AIGC概念,920305
301362.SZ,6,33,C2M概念;一带一路;人民币贬值受益;专精特新;生态农业;融资融券,301362
301636.SZ,7,33,钙钛矿电池;光伏概念;注册制次新股;专精特新;新能源汽车;新股与次新股;融资融券,301636
301182.SZ,12,33,铜缆高速连接;光纤概念;消费电子概念;新能源汽车;机器人概念;专精特新;高压快充;华为概念;充电桩;安防;一带一路;融资融券,301182
300757.SZ,22,33,共封装光学(CPO);光纤概念;富士康概念;苹果概念;英伟达概念;华为海思概念股;芯片概念;BC电池;新能源汽车;新型工业化;数据中心;高端装备;HJT电池;光伏概念;TOPCON电池;华为概念;量子科技;商业航天;工业互联网;股权转让(并购重组);融资融券;深股通,300757
300842.SZ,14,33,BC电池;HJT电池;TOPCON电池;钙钛矿电池;存储芯片;第三代半导体;光伏概念;芯片概念;专精特新;汽车电子;新能源汽车;商业航天;深股通;融资融券,300842
688516.SH,13,17,BC电池;钙钛矿电池;TOPCON电池;光伏概念;芯片概念;高端装备;机器视觉;固态电池;储能;锂电池概念;共封装光学(CPO);沪股通;融资融券,688516
688680.SH,6,17,BC电池;钙钛矿电池;POE胶膜;光伏概念;新能源汽车;融资融券,688680
688025.SH,18,17,共封装光学(CPO);光纤概念;苹果概念;芯片概念;比亚迪概念;MR(混合现实);专精特新;宁德时代概念;机器视觉;2025年报预增;TOPCON电池;光伏概念;固态电池;钙钛矿电池;华为概念;虚拟现实;沪股通;融资融券,688025
300139.SZ,10,33,黄金概念;民爆概念;2025年报预增;绿色电力;一带一路;智能电网;人民币贬值受益;芯片概念;深股通;融资融券,300139
688312.SH,11,17,PCB概念;苹果概念;消费电子概念;芯片概念;5G;专精特新;传感器;机器视觉;粤港澳大湾区;人工智能;融资融券,688312
301251.SZ,13,33,共封装光学(CPO);PCB概念;富士康概念;MiniLED;5G;汽车电子;专精特新;新型工业化;机器人概念;工业互联网;一带一路;深股通;融资融券,301251
920368.BJ,8,151,一带一路;融资融券;硅能源;光伏概念;第三代半导体;TOPCON电池;BC电池;HJT电池,920368
688167.SH,21,17,共封装光学(CPO);光纤概念;光刻机;存储芯片;先进封装;OLED;芯片概念;MicroLED概念;消费电子概念;MR(混合现实);智能座舱;3D打印;机器视觉;无人驾驶;虚拟现实;可控核聚变;回购增持再贷款概念;西部大开发;医美概念;沪股通;融资融券,688167
300775.SZ,12,33,航空发动机;大飞机;军民融合;商业航天;军工;无人机;海工装备;高端装备;专精特新;西部大开发;融资融券;深股通,300775
300316.SZ,14,33,TOPCON电池;第三代半导体;光伏概念;培育钻石;先进封装;芯片概念;AI眼镜;新型工业化;消费电子概念;存储芯片;智能物流;数字经济;深股通;融资融券,300316
300065.SZ,24,33,军工信息化;国产航母;商业航天;军工;云计算;数据要素;海工装备;算力租赁;腾讯概念;阿里巴巴概念;东数西算(算力);人工智能;DeepSeek概念;高端装备;京津冀一体化;数据中心;机器人概念;传感器;专精特新;风电;2025年报预增;深股通;融资融券;股权转让(并购重组),300065
301486.SZ,21,33,共封装光学(CPO);光纤概念;富士康概念;消费电子概念;芯片概念;5G;MR(混合现实);比亚迪概念;数据中心;新型工业化;高端装备;华为概念;虚拟现实;东数西算(算力);粤港澳大湾区;抖音概念(字节概念);阿里巴巴概念;华为昇腾;股权转让(并购重组);深股通;融资融券,301486
688530.SH,7,17,芯片概念;HJT电池;专精特新;PET铜箔;光伏概念;钙钛矿电池;融资融券,688530
300017.SZ,23,33,算力租赁;云计算;虚拟数字人;AIGC概念;AI智能体;多模态AI;华为鲲鹏;数据安全;在线教育;网络安全;元宇宙;信创;DeepSeek概念;东数西算(算力);阿尔茨海默概念;数字经济;人工智能;深股通;融资融券;数据中心;一带一路;液冷服务器;人民币贬值受益,300017
300843.SZ,19,33,富士康概念;铜缆高速连接;液冷服务器;消费电子概念;新型烟草(电子烟);人形机器人;小米概念;智能座舱;比亚迪概念;新能源汽车;数据中心;机器人概念;无人机;飞行汽车(eVTOL);高压快充;储能;充电桩;低空经济;深股通,300843
688510.SH,9,17,航空发动机;大飞机;无人机;绿色电力;专精特新;人民币贬值受益;医疗器械概念;沪股通;融资融券,688510
688127.SH,11,17,同花顺果指数;光刻机;苹果概念;消费电子概念;5G;智能穿戴;华为概念;人民币贬值受益;2025年报预增;沪股通;融资融券,688127
688809.SH,9,17,科创次新股;存储芯片;注册制次新股;芯片概念;2025年报预增;华为概念;长三角一体化;新股与次新股;融资融券,688809
688205.SH,9,17,共封装光学(CPO);F5G概念;5G;芯片概念;数据中心;东数西算(算力);专精特新;沪股通;融资融券,688205
920438.BJ,13,151,商业航天;无人驾驶;6G概念;融资融券;芯片概念;消费电子概念;海工装备;比亚迪概念;核电;核污染防治;先进封装;军工;专精特新,920438
300508.SZ,11,33,新型工业化;工业母机;高端装备;机器视觉;工业互联网;专精特新;机器人概念;物联网;信创;人形机器人;牙科医疗,300508
300113.SZ,30,33,云游戏;算力租赁;抖音概念(字节概念);Web3.0;虚拟数字人;NFT概念;多模态AI;AIGC概念;数据确权;腾讯概念;文化传媒概念;AI智能体;云计算;手机游戏;百度概念;电子竞技;元宇宙;区块链;东数西算(算力);IP经济(谷子经济);DeepSeek概念;人工智能;智能医疗;虚拟现实;华为概念;数据中心;英伟达概念;深股通;融资融券;AI应用,300113
688223.SH,10,17,BC电池;钙钛矿电池;TOPCON电池;光伏概念;储能;DeepSeek概念;同花顺漂亮100;人民币贬值受益;沪股通;融资融券,688223
688480.SH,5,17,土壤修复;净水概念;污水处理;小金属概念;融资融券,688480
300394.SZ,13,33,共封装光学(CPO);光纤概念;先进封装;英伟达概念;5G;数据中心;同花顺新质50;华为概念;人民币贬值受益;专精特新;无人驾驶;深股通;融资融券,300394
300136.SZ,32,33,商业航天;卫星导航;6G概念;无人机;低空经济;毫米波雷达;WiFi 6;车联网(车路协同);无线充电;柔性屏(折叠屏);同花顺果指数;物联网;智能音箱;华为概念;5G;机器人概念;智能穿戴;AI眼镜;虚拟现实;特斯拉概念;无线耳机;汽车电子;消费电子概念;苹果概念;富士康概念;海峡两岸;粤港澳大湾区;一带一路;回购增持再贷款概念;人民币贬值受益;深股通;融资融券,300136
300943.SZ,16,33,商业航天;卫星导航;军民融合;核电;军工;无人机;氢能源;燃料电池;智慧城市;汽车热管理;传感器;新能源汽车;芯片概念;天然气;股权转让(并购重组);融资融券,300943
688147.SH,17,17,中芯国际概念;存储芯片;先进封装;第三代半导体;OLED;汽车芯片;BC电池;芯片概念;TOPCON电池;HJT电池;钙钛矿电池;光伏概念;专精特新;高端装备;回购增持再贷款概念;沪股通;融资融券,688147
300689.SZ,9,33,第三代半导体;芯片概念;消费电子概念;专精特新;车联网(车路协同);液冷服务器;粤港澳大湾区;人民币贬值受益;深股通,300689
301468.SZ,6,33,核电;海工装备;垃圾分类;回购增持再贷款概念;人民币贬值受益;融资融券,301468
300986.SZ,12,33,人工智能;量子科技;2025年报预增;AI应用;装配式建筑;雅下水电概念;机器人概念;新型城镇化;一带一路;雄安新区;深股通;融资融券,300986
920414.BJ,11,151,机器视觉;数字孪生;钙钛矿电池;融资融券;机器人概念;无人机;光伏概念;储能;人工智能;云计算;专精特新,920414
300846.SZ,32,33,智谱AI;华为昇腾;智慧政务;数据安全;云计算;云游戏;算力租赁;信创;快手概念;AI智能体;国产操作系统;虚拟数字人;小红书概念;东数西算(算力);百度概念;AIGC概念;在线教育;数据要素;商业航天;车联网(车路协同);DeepSeek概念;人工智能;华为概念;数据中心;京津冀一体化;创投;无人驾驶;芯片概念;一带一路;专精特新;融资融券;深股通,300846
300263.SZ,23,33,钙钛矿电池;HJT电池;碳纤维;大飞机;军工;军民融合;低空经济;无人机;飞行汽车(eVTOL);核电;光伏概念;柔性屏(折叠屏);风电;芯片概念;OLED;污水处理;动力电池回收;超超临界发电;PPP概念;盐湖提锂;商业航天;融资融券;深股通,300263
688079.SH,18,17,光刻机;先进封装;芯片概念;第三代半导体;消费电子概念;富士康概念;MicroLED概念;专精特新;传感器;苹果概念;AI眼镜;智能穿戴;5G;MR(混合现实);华为概念;无人机;虚拟现实;融资融券,688079
300927.SZ,5,33,丙烯酸;草甘膦;国企改革;股权转让(并购重组);融资融券,300927
688097.SH,33,17,富士康概念;苹果概念;共封装光学(CPO);人形机器人;新型工业化;华为手机;特斯拉概念;汽车电子;消费电子概念;新能源汽车;AI眼镜;换电概念;MR(混合现实);机器视觉;宁德时代概念;高端装备;芯片概念;机器人概念;光伏概念;储能;5G;固态电池;充电桩;智能穿戴;无人机;工业互联网;锂电池概念;华为概念;低空经济;一带一路;智能物流;沪股通;融资融券,688097
