股票代码,code,涨停原因类别[20260420],market_code
002491.SZ,002491,光纤光缆+数据中心+储能消防,33
002418.SZ,002418,液冷算力+家电制冷+扭亏预增,33
002309.SZ,002309,光伏储能+光纤概念+厦门国资,33
600746.SH,600746,,17
002149.SZ,002149,商业航天+可控核聚变+稀有金属+国企,33
603789.SH,603789,摘帽预期+农机+无人驾驶+专用车注入,22
600156.SH,600156,算力租赁+液冷+拟收购易信科技+湖南国资,17
002324.SZ,002324,机器人+商业航天+脑机接口,33
002731.SZ,002731,,33
600800.SH,600800,丙烯酸酯投产+氢能源+天津国资,17
600118.SH,600118,卫星制造+商业航天+年报增长+央企,17
600961.SH,600961,一季报增长+黄金+铟金属+央企,17
603778.SH,603778,固态电池+异质结光伏+终止收购,17
002496.SZ,002496,提交撤销退市风险警示申请+功能肥+氢能源,33
605222.SH,605222,商业航天+电线电缆+海缆扩产+转债有望提前赎回,17
603912.SH,603912,液冷+算力+东数西算,17
002536.SZ,002536,液冷服务器+机器人+汽车热管理,33
603360.SH,603360,,17
301265.SZ,301265,存储芯片+贵金属回收+一季报预增,33
002843.SZ,002843,数据中心电源+商业航天+锯切龙头,33
000609.SZ,000609,半导体资产注入+房地产回款+ST博弈,33
002560.SZ,002560,特高压线缆+航空零部件+一季报预增,33
001366.SZ,001366,猪饲料+合成生物+业绩预增,33
600979.SH,600979,电力+液冷服务器+分布式光伏+国企改革,17
001400.SZ,001400,液冷服务器+商业航天+3D打印+铝挤压模具,33
600234.SH,600234,建筑工程+抖音概念+数字营销+定增,17
600381.SH,600381,退市博弈+高端白酒+虫草龙头,22
000004.SZ,000004,,33
605162.SH,605162,热电联产+储能+比亚迪供热+回购,17
600433.SH,600433,造纸行业+氢能碳纸+烟用白卡纸+收储补偿,17
002620.SZ,002620,重整投资人+光伏建筑一体化+建筑装饰,33
003023.SZ,003023,电热毯龙头+母婴驱蚊+露营经济+AI营销,33
000669.SZ,000669,,33
300540.SZ,300540,商业航天+氢能装备+燃料电池+四川国资,33
600636.SH,600636,,22
002297.SZ,002297,一季报业绩预增+商业航天+硬质合金,33
600206.SH,600206,半导体靶材+稀土永磁+央企+业绩预增,17
600149.SH,600149,供热+京津冀一体化+国企,17
600243.SH,600243,退市博弈+减速器+电梯配件,22
000949.SZ,000949,氨纶扩产+生物质长丝龙头+国企,33
603595.SH,603595,新能源汽车+消费电子+碳化硅,22
603318.SH,603318,燃气设备+氢能应用+山东国资,17
605178.SH,605178,,17
603052.SH,603052,硅光芯片+光模块+消费电子,17
603108.SH,603108,AI医疗+华为合作+杭州国资,17
003006.SZ,003006,盈利修复+卫生巾+纸尿裤+全国扩张,33
600599.SH,600599,,22
688811.SH,688811,商业航天+铝基复材+央企,17
