market_code,股票代码,code,涨停原因类别[20260205]
33,002716.SZ,002716,
33,002575.SZ,002575,智算业务+腾讯概念+酒类销售+重组推进
33,002357.SZ,002357,低空经济+客运龙头+腾讯云合作
17,601116.SH,601116,阿里概念+社区零售
33,000638.SZ,000638,
33,002905.SZ,002905,春节档+票房增长+扭亏为盈
17,601187.SH,601187,业绩快报+银行+海峡两岸
33,000711.SZ,000711,金属铟+ITO靶材+资产注入
17,601212.SH,601212,
17,600156.SH,600156,算力租赁+拟收购易信科技+湖南国资
33,000592.SZ,000592,福建自贸区+菌草纤维板+林木主业
33,001270.SZ,001270,
17,600053.SH,600053,
17,601126.SH,601126,
33,002995.SZ,002995,李亚鹏概念+AI营销+VR文旅
17,603630.SH,603630,美容护理+电商+洗护品牌
22,600355.SH,600355,
33,300561.SZ,300561,
33,000923.SZ,000923,
17,601226.SH,601226,
17,601599.SH,601599,AI影视+短剧+浙江国资
17,603396.SH,603396,
33,002713.SZ,002713,算力中心+重整完成+家装AI
33,300461.SZ,300461,昨日跳水+扭亏为盈+无线充电+电子烟设备
17,600382.SH,600382,业绩高增+铁矿扩产+砂石增量
33,002291.SZ,002291,AI应用+剥离鞋业+直播电商
17,603696.SH,603696,大消费+春节补贴+海峡两岸
33,003036.SZ,003036,固态电池+高端纺机+纺织机器人
33,300300.SZ,300300,平潭国资+智慧城市+算力中心
33,002945.SZ,002945,金融科技+西藏+三季报增长
33,002702.SZ,002702,春节消费+预加工食品+山姆渠道
17,603616.SH,603616,拟收购兴福新材+PEEK中间体+北京韩村河镇集体资产
33,000609.SZ,000609,房地产+司法拍卖+ST板块
17,603429.SH,603429,固态电池+烟草+回购减持
22,600136.SH,600136,影视传媒+智慧空间+湖北国资
33,002264.SZ,002264,AI营销+即时零售+电商白酒+跨境电商
33,002361.SZ,002361,商业航天+无人机+聚酯树脂+地方国企
17,600828.SH,600828,REITs调整+百货零售+川超消费
17,603655.SH,603655,年报预增+新能源汽车+空调橡胶件
33,000636.SZ,000636,AI算力+车规MLCC+国企
17,601615.SH,601615,
17,601015.SH,601015,煤炭/焦炭+LNG+煤焦化
22,600381.SH,600381,
33,000004.SZ,000004,
17,600796.SH,600796,赤霉酸+半导体材料+国企
17,600683.SH,600683,京津冀规划+TOD轨道物业+北京国资
33,002647.SZ,002647,
33,000822.SZ,000822,纯碱龙头+氢能源+固态电池+国企
17,600814.SH,600814,百货零售+间接持股中科宇航+黄金销售+杭州国资
33,002865.SZ,002865,
17,603103.SH,603103,春节档+影视院线+AI漫剧
17,600481.SH,600481,
33,002969.SZ,002969,控制权变更+追觅关联+饮料灌装
33,002630.SZ,002630,一带一路+超临界锅炉+ST摘帽预期
33,002355.SZ,002355,无人驾驶+车联网+低空经济+钢制车轮
17,603334.SH,603334,SAF原料+生物柴油+农化助剂
33,002506.SZ,002506,马斯克调研+太空光伏+TOPCon+钙钛矿
33,300152.SZ,300152,氢能源+节能燃烧+ST摘帽预期
33,002742.SZ,002742,医药中间体+重整完成+ST板块
33,002467.SZ,002467,云网融合基础设施+商业航天+AI数字人
17,600084.SH,600084,白酒+中字头+葡萄酒
17,603759.SH,603759,
33,002985.SZ,002985,军工装备+商业航天+起落架放量
33,002627.SZ,002627,旅游+豪华游轮+国企
33,002830.SZ,002830,
33,002364.SZ,002364,
22,603843.SH,603843,算力租赁+赛马概念+有色金属
17,603826.SH,603826,钛白粉+珠光材料+低空经济
22,600107.SH,600107,天然气+服装+*ST风险
22,600243.SH,600243,
17,603172.SH,603172,
33,000056.SZ,000056,零售+功率半导体+固态电池
33,003018.SZ,003018,塑料瓶盖龙头+外延并购+大消费
33,002943.SZ,002943,
33,300344.SZ,300344,数字云服务+重大违法退市风险+复牌
33,301362.SZ,301362,拟收购厦芝精密+PCB钻针+一带一路
33,002528.SZ,002528,智慧城市+深圳国资+减亏+资产处置
33,300912.SZ,300912,拟收购金旺达+具身机器人+尾气后处理
22,603557.SH,603557,童装童鞋+电解铝+ST板块
