code,所属概念,股票代码,所属概念数量,market_code
920088,空气能热泵;净水概念;专精特新;新疆振兴;融资融券;西部大开发,920088.BJ,6,151
920571,福建自贸区;低空经济;海峡两岸;航运概念;融资融券;人民币贬值受益,920571.BJ,6,151
300157,可燃冰;俄乌冲突概念;页岩气;天然气;超超临界发电;氢能源;雄安新区;一带一路;储能;高端装备;军工;融资融券;创投;无人机;机器人概念;人工智能;数据中心;东数西算(算力),300157.SZ,18,33
300139,黄金概念;民爆概念;2025年报预增;绿色电力;一带一路;芯片概念;人民币贬值受益;智能电网;深股通;融资融券,300139.SZ,10,33
301213,军工信息化;商业航天;卫星导航;航空发动机;军民融合;军工;Web3.0;无人机;低空经济;东数西算(算力);信创;虚拟现实;电子身份证;人工智能;高端装备;数字孪生;第三代半导体;区块链;物联网;机器视觉;专精特新;机器人概念;传感器;西部大开发;AI应用;融资融券,301213.SZ,26,33
301158,可燃冰;俄乌冲突概念;页岩气;天然气;新疆振兴;一带一路;海工装备;中俄贸易概念;高端装备;专精特新;融资融券,301158.SZ,11,33
301338,先进封装;第三代半导体;共封装光学(CPO);富士康概念;PCB概念;苹果概念;MiniLED;工业母机;华为手机;汽车芯片;芯片概念;消费电子概念;锂电池概念;比亚迪概念;小米概念;高端装备;新型工业化;专精特新;2025年报预增;机器视觉;工业互联网;华为概念;军工;深股通;融资融券,301338.SZ,25,33
300191,可燃冰;俄乌冲突概念;天然气;新疆振兴;海工装备;深股通;融资融券,300191.SZ,7,33
688307,光刻机;专精特新;智能穿戴;海峡两岸;机器视觉;机器人概念;智能座舱;无人机;安防;无人驾驶;华为概念;虚拟现实;人工智能;融资融券,688307.SH,14,17
301302,军工信息化;AI智能体;空间计算;元宇宙;腾讯概念;数字经济;军民融合;DeepSeek概念;卫星导航;人工智能;数字孪生;文化传媒概念;商业航天;手机游戏;网络游戏;虚拟现实;成飞概念;军工;无人机;京津冀一体化;MR(混合现实);核污染防治;机器人概念;核电;AI应用;融资融券,301302.SZ,26,33
300084,页岩气;天然气;可燃冰;俄乌冲突概念;氢能源;西部大开发;海工装备;核电;高端装备;军工;人工智能;股权转让(并购重组),300084.SZ,12,33
300164,俄乌冲突概念;页岩气;天然气;新疆振兴;西部大开发;碳中和;一带一路;人民币贬值受益,300164.SZ,8,33
300483,俄乌冲突概念;天然气;股权转让(并购重组),300483.SZ,3,33
688297,军民融合;军工;无人机;低空经济;央企国企改革;人工智能;西部大开发;国企改革;沪股通;中字头股票;融资融券,688297.SH,11,17
300875,核污染防治;军民融合;军工;无人机;核电;低空经济;高端装备;专精特新;机器人概念;食品安全;京津冀一体化;融资融券,300875.SZ,12,33
920010,换电概念;融资融券;储能;算力租赁;天然气;东数西算(算力);氢能源;锂电池概念;数据中心;西部大开发,920010.BJ,10,151
300911,人工智能;阿里巴巴概念;家用电器;腾讯概念;DeepSeek概念;AIGC概念;东数西算(算力);算力租赁;深股通;融资融券,300911.SZ,10,33
