涨停原因类别[20260422],code,market_code,股票代码
,600421,22,600421.SH
焊接钢管+氢能管道+智能机器人+一季报预增,002443,33,002443.SZ
液冷算力+家电制冷+扭亏预增,002418,33,002418.SZ
煤制烯烃+一季报增长+青岛国资,000990,33,000990.SZ
芯长征入主+污水处理+PPP,603903,17,603903.SH
一季报增长+光纤涨价+特高压+锂电铜箔,603618,17,603618.SH
商业航天+产业园运营+苏州+脑机接口,600736,17,600736.SH
铟靶材+固危废资源化+ST炒作,000711,33,000711.SZ
MLCC镍粉+光伏银包铜+年报高增,605376,17,605376.SH
摘帽+T/R芯片+商业航天,001270,33,001270.SZ
业绩增长+复合肥龙头+磷酸铁,002588,33,002588.SZ
光芯片+碳化硅+商业航天,600703,17,600703.SH
磷化铟扩产+光纤级锗+商业航天,002428,33,002428.SZ
,002731,33,002731.SZ
PCB龙头+淮安HD园区动工+AI服务器+人形机器人,002938,33,002938.SZ
锂矿入股+磷酸铁锂+业绩预增,603906,17,603906.SH
光纤涨价+海底电缆+CPO,600487,17,600487.SH
光掩膜版+半导体产业链+显示器件,605588,17,605588.SH
覆铜板涨价+高频高速CCL+定增扩产,002636,33,002636.SZ
,002542,33,002542.SZ
一季报大增+铜贸易+铌+央企,601061,17,601061.SH
,603778,17,603778.SH
年报增长+商业航天+玻璃纤维+风电叶片,002201,33,002201.SZ
业绩高增+海缆交付+订单饱满,603606,17,603606.SH
光模块+6G概念+精密箱体,002796,33,002796.SZ
AI服务器电极箔+储能电极箔+业绩高增+高分红,603115,17,603115.SH
一季报增长+定增+光纤+算力AI,600869,17,600869.SH
光纤概念+光芯片+年报增长,600105,17,600105.SH
算力租赁+钢铁智造+扭亏+浙江国资,600126,17,600126.SH
光纤+CPO+军工装备+央企,600184,17,600184.SH
石化工程+氢能源+控制权拟变更+地方国企,603637,17,603637.SH
退市博弈+酱香型白酒+ST板块,600696,22,600696.SH
玻璃基板+CPO+商业航天,603773,17,603773.SH
拟收购烽云信息+算力服务+复牌,300067,33,300067.SZ
,603272,17,603272.SH
申请撤销退市风险警示+氢能物流+供应链服务,603813,22,603813.SH
火电+氢能+央企,600396,17,600396.SH
,002898,33,002898.SZ
,002227,33,002227.SZ
光模块+AI PCB+年报增长,002384,33,002384.SZ
服装贴牌+回购注销+广州国资入主,001234,33,001234.SZ
金属铟+黄金概念+锌冶炼,000751,33,000751.SZ
AI金融科技+数字人民币+亏损收窄,600446,17,600446.SH
建筑工程+抖音概念+数字营销+定增,600234,17,600234.SH
离子注入机+半导体设备+铋材料+股权激励,600641,17,600641.SH
,000004,33,000004.SZ
拟剥离地产+TOD轨道物业+北京国资,600683,17,600683.SH
盐湖提锂+光伏+精细化工+一季报增长,002256,33,002256.SZ
重整投资人+光伏建筑一体化+建筑装饰,002620,33,002620.SZ
,605081,22,605081.SH
,002808,33,002808.SZ
铌酸锂晶体+光模块+商业航天,600330,17,600330.SH
钠离子电池+硅碳负极+一季报扭亏+定增扩产,300890,33,300890.SZ
苏州+机器人+绿色电力+年报增长,601512,17,601512.SH
ST摘帽预期+LED封装+小家电出口+扭亏预增,002005,33,002005.SZ
重整协议+天然气+ST,000669,33,000669.SZ
高端家纺+C2M+三胎概念,002397,33,002397.SZ
,600636,22,600636.SH
重整预期+PBAT项目+民爆,002360,33,002360.SZ
,600193,22,600193.SH
6G预研+商业航天+射频器件龙头,002194,33,002194.SZ
改性塑料+下游应用广泛,301003,33,301003.SZ
商业航天产业配套+半导体洁净室+越南合作+EPC总包,002081,33,002081.SZ
,688287,22,688287.SH
LED照明+北美订单+机器人+泰国基地,605365,17,605365.SH
光通信芯片+激光雷达+扭亏为盈,688048,17,688048.SH
分销龙头+存储芯片+华为昇腾+一季报预增,000062,33,000062.SZ
生物航煤+扭亏+出口白名单,603822,22,603822.SH
晶振+封装材料+年报增长,920981,151,920981.BJ
工程装备+雅鲁藏布江水电+厦门国资,600815,17,600815.SH
,603959,17,603959.SH
,600243,22,600243.SH
液冷产能扩张+瓶盖龙头+饮料供应链,003018,33,003018.SZ
收购调整+锂电池+热水服务+国资背景,600052,17,600052.SH
AI医疗+AI投资+四联检获批,002432,33,002432.SZ
智算可视化+液冷服务器+拟现金并购数珩科技,603496,17,603496.SH
燃气轮机掺氢+天然气+氢能应用+山东国资,603318,17,603318.SH
液冷+核电+氦气压缩机,000811,33,000811.SZ
