market_code,code,所属概念,股票代码,所属概念数量
17,688635,科创次新股;注册制次新股;新股与次新股;融资融券,688635.SH,4
151,920161,新股与次新股;融资融券,920161.BJ,2
151,920012,汽车电子;第三代半导体;专精特新;芯片概念;先进封装;有机硅概念;新股与次新股;融资融券,920012.BJ,8
33,300291,快手概念;短剧游戏;虚拟数字人;文化传媒概念;AI应用;抖音概念(字节概念);网络游戏;百度概念;腾讯概念;阿里巴巴概念;IP经济(谷子经济);网红经济;人工智能;旅游概念;华为概念;股权转让(并购重组);深股通,300291.SZ,17
22,688622,量子科技;ST板块;PM2.5;专精特新;粤港澳大湾区;食品安全;医疗器械概念;碳中和,688622.SH,8
33,300491,数据中心(AIDC);智能电网;高压快充;换电概念;充电桩;汽车电子;储能;军工;新能源汽车;2025年报预增;京津冀一体化;雄安新区,300491.SZ,12
17,688478,第三代半导体;存储芯片;华为海思概念股;芯片概念;专精特新;比亚迪概念;光伏概念;海峡两岸;股权转让(并购重组);融资融券,688478.SH,10
33,301680,注册制次新股;汽车热管理;核电;柔性直流输电;储能;智能电网;特高压;锂电池概念;新能源汽车;宁德时代概念;专精特新;深股通;新股与次新股;融资融券,301680.SZ,14
17,688690,专精特新;2025年报预增;食品安全;减肥药;2026一季报预增;融资融券;沪股通,688690.SH,7
151,920339,融资融券;一带一路;人民币贬值受益,920339.BJ,3
151,920125,消费电子概念;PCB概念;芯片概念;新能源汽车;先进封装;储能;新股与次新股;融资融券,920125.BJ,8
33,301319,先进封装;富士康概念;芯片概念;专精特新;比亚迪概念;光伏概念;华为概念;新能源汽车;粤港澳大湾区;低空经济;融资融券,301319.SZ,11
33,300373,第三代半导体;中芯国际概念;芯片概念;汽车芯片;英伟达概念;AI眼镜;高压快充;5G;数据中心(AIDC);宁德时代概念;固态电池;光伏概念;小米概念;比亚迪概念;华为概念;新能源汽车;无人机;储能;特斯拉概念;充电桩;小米汽车;人形机器人;低空经济;华为汽车;回购增持再贷款概念;深股通;融资融券,300373.SZ,27
33,300685,创新药;基因测序;智能医疗;医疗器械概念;福建自贸区;海峡两岸;专精特新;深股通;融资融券,300685.SZ,9
151,920078,商业航天;核污染防治;专精特新;新股与次新股;融资融券,920078.BJ,5
33,300763,绿色电力;储能;光伏概念;芯片概念;融资融券;深股通,300763.SZ,6
151,920726,乡村振兴;超级品牌;融资融券,920726.BJ,3
33,002251,免税店;预制菜;统一大市场;冷链物流;智能物流;融资融券;深股通,002251.SZ,7
17,603335,人民币贬值受益;一体化压铸;动力电池回收;锂电池概念;新能源汽车;宁德时代概念;融资融券,603335.SH,7
33,002072,煤炭概念,002072.SZ,1
33,000539,超超临界发电;绿色电力;风电;国资云;东数西算(算力);储能;参股保险;期货概念;国企改革;粤港澳大湾区;光伏概念;海工装备;创投;深股通;融资融券,000539.SZ,15
33,002012,超级电容;共同富裕示范区;烟草;碳中和;数字经济;数据要素;储能;互联网金融,002012.SZ,8
17,605066,电力物联网;智能电网;物联网;人工智能;工业互联网;充电桩;碳中和;虚拟数字人;AI应用;AI智能体;风电;智能家居;储能;东数西算(算力);数据中心(AIDC);机器人概念;光伏概念,605066.SH,17
33,000892,短剧游戏;文化传媒概念;AIGC概念;虚拟数字人;AI应用;IP经济(谷子经济);AI智能体;人工智能;西部大开发;深股通,000892.SZ,10
33,002927,智能电网;商业航天;腾讯概念;数据中心(AIDC);核电;高压快充;工业互联网;虚拟电厂;军工;充电桩;5G;数字经济;专精特新;储能;高铁;比亚迪概念;光伏概念;PCB概念;西部大开发,002927.SZ,19
17,605055,减速器;共同富裕示范区;长三角一体化;机器人概念,605055.SH,4
33,002706,智能电网;数据中心(AIDC);充电桩;光伏概念;物联网;华为概念;换电概念;储能;核电;风电;智能家居;新能源汽车;融资融券;深股通,002706.SZ,14
