所属概念,market_code,股票代码,所属概念数量,code
参股银行;新股与次新股;融资融券,151,920188.BJ,3,920188
汽车芯片;芯片概念;第三代半导体;专精特新;无人机;充电桩;智能电网;融资融券,17,688693.SH,8,688693
卫星导航;商业航天;航空发动机;大飞机;成飞概念;军民融合;军工;低空经济;无人机;碳纤维;飞行汽车(eVTOL);高端装备;海工装备;人形机器人;机器人概念;专精特新;黑龙江自贸区;回购增持再贷款概念;深股通;融资融券,33,300900.SZ,20,300900
医疗器械概念;人民币贬值受益;专精特新;融资融券;沪股通,17,688677.SH,5,688677
减速器;人形机器人;传感器;机器人概念;新能源汽车;专精特新;家用电器;智能家居;融资融券,33,301008.SZ,9,301008
医疗废物处理;固废处理;国企改革;专精特新,33,300385.SZ,4,300385
污水处理;固废处理;专精特新;合成生物;融资融券,17,688156.SH,5,688156
PCB概念;工业母机;2025年报预增;专精特新;光伏概念;航空发动机;人形机器人;机器人概念;商业航天;融资融券,17,688308.SH,10,688308
商业航天;核污染防治;专精特新;新股与次新股;融资融券,151,920078.BJ,5,920078
乳业;ST板块;西部大开发,33,300313.SZ,3,300313
重组蛋白;创新药;阿尔茨海默概念;2025年报预增;沪股通;融资融券,17,688336.SH,6,688336
西部大开发;融资融券;海工装备;核电;国企改革;商业航天;可控核聚变;卫星导航;专精特新,151,920576.BJ,9,920576
航空发动机;卫星导航;商业航天;大飞机;军工;无人机;低空经济;飞行汽车(eVTOL);PEEK材料;换电概念;人形机器人;机器人概念;华为汽车;汽车热管理;专精特新;特斯拉概念;小米汽车;小米概念;比亚迪概念;创投;新能源汽车;智能物流;家用电器;氢能源;深股通;融资融券,33,301005.SZ,26,301005
新型城镇化;鸿蒙概念;PPP概念;创投;水利;机器人概念;净水概念;污水处理;海工装备;碳中和;股权转让(并购重组);融资融券,33,300961.SZ,12,300961
家庭医生;海峡两岸;文化传媒概念;东数西算(算力);智慧城市;独角兽概念;数字经济;人工智能;数据中心;智能医疗;创投;充电桩;国企改革;医疗器械概念;2025年报预增;摘帽,33,300300.SZ,16,300300
PCB概念;工业母机;专精特新;融资融券,17,688257.SH,4,688257
EDR概念;车联网(车路协同);星闪概念;人工智能;腾讯概念;数据要素;智能座舱;无人驾驶;智慧城市;物联网;专精特新;汽车电子;汽车热管理;融资融券,17,688288.SH,14,688288
PEEK材料;光伏概念;3D打印;人形机器人;减速器;机器人概念;回购增持再贷款概念;一带一路;深股通;融资融券,33,301216.SZ,10,301216
光伏概念;军工;新能源汽车;深股通;融资融券;股权转让(并购重组),33,002501.SZ,6,002501
PPP概念;同花顺中特估100;装配式建筑;绿色电力;新型城镇化;新疆振兴;污水处理;国企改革;高股息精选;物业管理;雄安新区;乡村振兴;房屋检测;土壤修复;建筑节能;一带一路;水利;光伏建筑一体化;雅下水电概念;回购增持再贷款概念;抽水蓄能;数字经济;智能电网;低空经济;沪股通;融资融券,17,600502.SH,26,600502
国企改革;宁德时代概念;光伏概念;海峡两岸;新能源汽车;5G,33,002578.SZ,6,002578
海峡两岸;PPP概念;垃圾分类;污水处理;新型城镇化;低空经济;新能源汽车;水利;充电桩;装配式建筑;海工装备;乡村振兴;创投;智慧城市;光伏概念;风电;地下管网;跨境电商;数字经济;绿色电力;国企改革;DeepSeek概念;智慧政务;深股通,33,000753.SZ,24,000753
粮食概念;农业种植;土地流转;农村电商;乳业;新疆振兴;乡村振兴;西部大开发;特色小镇;国企改革;股权转让(并购重组);融资融券,17,600359.SH,12,600359
金属回收;汽车拆解概念;固废处理;2025年报预增;人民币贬值受益;海峡两岸;融资融券;沪股通,17,601388.SH,8,601388
