code,所属概念数量,所属概念,market_code,股票代码
920036,4,AI智能体;新股与次新股;融资融券;人民币贬值受益,151,920036.BJ
300629,14,军工信息化;卫星导航;商业航天;军民融合;大飞机;军工;无人机;低空经济;碳纤维;国产操作系统;芯片概念;新能源汽车;深股通;融资融券,33,300629.SZ
300936,11,PCB概念;卫星导航;毫米波雷达;5G;芯片概念;专精特新;储能;消费电子概念;华为概念;无人驾驶;融资融券,33,300936.SZ
688048,14,光纤概念;共封装光学(CPO);可控核聚变;第三代半导体;芯片概念;商业航天;数据中心;汽车芯片;专精特新;华为概念;无人驾驶;医美概念;沪股通;融资融券,17,688048.SH
688300,6,存储芯片;先进封装;芯片概念;专精特新;沪股通;融资融券,17,688300.SH
688655,13,共封装光学(CPO);绿色电力;医疗器械概念;5G;粤港澳大湾区;专精特新;PCB概念;汽车电子;新能源汽车;机器人概念;智能座舱;股权转让(并购重组);融资融券,17,688655.SH
300257,5,碳中和;氢能源;冷链物流;深股通;融资融券,33,300257.SZ
300811,14,存储芯片;芯片概念;英伟达概念;数据中心;比亚迪概念;光伏概念;新能源汽车;储能;专精特新;充电桩;华为概念;东数西算(算力);融资融券;深股通,33,300811.SZ
920045,9,2025年报预增;粤港澳大湾区;无人驾驶;数据中心;光纤概念;新股与次新股;融资融券;共封装光学(CPO);人民币贬值受益,151,920045.BJ
688229,20,华为鲲鹏;数据安全;云计算;信创;鸿蒙概念;数据要素;阿里巴巴概念;抖音概念(字节概念);百度概念;腾讯概念;互联网金融;DeepSeek概念;数字经济;人工智能;东数西算(算力);华为概念;工业互联网;数据中心;AI应用;融资融券,17,688229.SH
300469,23,车联网(车路协同);信创;数据要素;数字乡村;智慧政务;无人驾驶;云计算;人工智能;智慧城市;AI智能体;腾讯概念;阿里巴巴概念;DeepSeek概念;区块链;卫星导航;食品安全;数字经济;工业大麻;AI应用;冷链物流;深股通;融资融券;股权转让(并购重组),33,300469.SZ
688662,5,共封装光学(CPO);芯片概念;5G;储能;融资融券,17,688662.SH
301176,5,PCB概念;汽车电子;MiniLED;锂电池概念;融资融券,33,301176.SZ
688585,7,机器人概念;燃料电池;风电;一带一路;沪股通;股权转让(并购重组);融资融券,17,688585.SH
688807,11,共封装光学(CPO);科创次新股;汽车芯片;5G;MCU芯片;芯片概念;数据中心;注册制次新股;海峡两岸;新股与次新股;融资融券,17,688807.SH
688535,12,存储芯片;先进封装;汽车芯片;芯片概念;汽车电子;专精特新;光伏概念;华为概念;回购增持再贷款概念;股权转让(并购重组);沪股通;融资融券,17,688535.SH
688205,9,共封装光学(CPO);F5G概念;5G;芯片概念;数据中心;东数西算(算力);专精特新;沪股通;融资融券,17,688205.SH
688498,9,共封装光学(CPO);光纤概念;5G;汽车芯片;芯片概念;数据中心;西部大开发;沪股通;融资融券,17,688498.SH
301216,10,PEEK材料;3D打印;光伏概念;减速器;人形机器人;机器人概念;回购增持再贷款概念;一带一路;深股通;融资融券,33,301216.SZ
688158,30,智谱AI;云游戏;算力租赁;华为昇腾;中国AI 50;云计算;财税数字化;数据安全;信创;智慧政务;东数西算(算力);AI智能体;数字乡村;数据要素;数据中心;脑机接口;商业航天;DeepSeek概念;智能医疗;华为概念;智慧城市;数字经济;人工智能;液冷服务器;工业互联网;低空经济;无人驾驶;专精特新;机器人概念;融资融券,17,688158.SH
688127,12,光刻机;同花顺果指数;苹果概念;芯片概念;消费电子概念;智能穿戴;5G;华为概念;人民币贬值受益;2025年报预增;沪股通;融资融券,17,688127.SH
688167,21,光纤概念;共封装光学(CPO);光刻机;存储芯片;先进封装;OLED;MR(混合现实);芯片概念;MicroLED概念;消费电子概念;3D打印;智能座舱;机器视觉;无人驾驶;可控核聚变;虚拟现实;回购增持再贷款概念;西部大开发;医美概念;沪股通;融资融券,17,688167.SH
301607,11,第三代半导体;高压快充;小米汽车;比亚迪概念;新能源汽车;小米概念;专精特新;2025年报预增;充电桩;深股通;融资融券,33,301607.SZ
300661,12,汽车芯片;无线耳机;汽车电子;芯片概念;消费电子概念;传感器;OLED;专精特新;锂电池概念;人工智能;融资融券;深股通,33,300661.SZ
300903,28,共封装光学(CPO);MiniLED;先进封装;存储芯片;PCB概念;汽车电子;消费电子概念;芯片概念;血氧仪;毫米波雷达;小米概念;5G;充电桩;专精特新;储能;数据中心;机器人概念;无人机;新能源汽车;比亚迪概念;军工;工业互联网;粤港澳大湾区;低空经济;锂电池概念;钠离子电池;深股通;融资融券,33,300903.SZ
688308,10,PCB概念;工业母机;光伏概念;2025年报预增;航空发动机;专精特新;人形机器人;机器人概念;商业航天;融资融券,17,688308.SH
301191,18,F5G概念;WiFi 6;6G概念;5G;芯片概念;数据中心;网络安全;华为概念;小米概念;信创;车联网(车路协同);安防;汽车电子;智能座舱;创投;粤港澳大湾区;深股通;融资融券,33,301191.SZ
301369,8,中芯国际概念;第三代半导体;芯片概念;专精特新;2025年报预增;创投;深股通;融资融券,33,301369.SZ
