code,所属概念数量,market_code,所属概念,股票代码
300668,6,33,新型城镇化;数据确权;ERP概念;华为概念;AIGC概念;股权转让(并购重组),300668.SZ
301306,10,33,卫星导航;商业航天;大飞机;军民融合;军工;华为概念;存储芯片;专精特新;西部大开发;融资融券,301306.SZ
301292,8,33,钠离子电池;固态电池;锂电池概念;比亚迪概念;新能源汽车;专精特新;深股通;融资融券,301292.SZ
300736,3,33,华为概念;苹果概念;区块链,300736.SZ
301587,8,33,新能源汽车;特斯拉概念;低空经济;储能;锂电池概念;固态电池;商业航天;融资融券,301587.SZ
002263,12,33,石墨烯;光伏概念;比亚迪概念;新能源汽车;国企改革;共同富裕示范区;特高压;军工;柔性直流输电;PET铜箔;深股通;融资融券,002263.SZ
000692,2,33,风电;充电桩,000692.SZ
000720,4,33,光纤概念;物业管理;国企改革;央企国企改革,000720.SZ
600310,13,17,超超临界发电;抽水蓄能;绿色电力;风电;储能;沪股通;融资融券;参股券商;国企改革;西部大开发;创投;DeepSeek概念;人工智能,600310.SH
600726,8,17,超超临界发电;绿色电力;煤炭概念;黑龙江自贸区;风电;国企改革;央企国企改革;沪股通,600726.SH
601908,11,17,硅能源;光伏概念;绿色电力;风电;第三代半导体;高端装备;京津冀一体化;芯片概念;专精特新;沪股通;融资融券,601908.SH
002471,25,33,商业航天;大飞机;航空发动机;军民融合;军工;低空经济;无人机;数字经济;东数西算(算力);核电;海工装备;柔性直流输电;智能电网;高端装备;机器人概念;水利;光伏概念;充电桩;数据中心;风电;创投;一带一路;石墨烯;深股通;融资融券,002471.SZ
603520,5,17,流感;仿制药一致性评价;专精特新;锂电池概念;氟化工概念,603520.SH
600207,11,17,光热发电;光伏概念;储能;建筑节能;天然气;国企改革;医疗器械概念;芯片概念;富士康概念;沪股通;融资融券,600207.SH
002361,16,33,卫星导航;商业航天;军民融合;航空发动机;军工;低空经济;无人机;高铁;3D打印;高端装备;石墨烯;污水处理;国企改革;深股通;股权转让(并购重组);融资融券,002361.SZ
002109,4,33,煤化工概念;国企改革;西部大开发;融资融券,002109.SZ
003018,1,33,液冷服务器,003018.SZ
002902,26,33,F5G概念;共封装光学(CPO);铜缆高速连接;华为海思概念股;5G;数据中心;第三代半导体;汽车电子;消费电子概念;芯片概念;智能穿戴;华为概念;粤港澳大湾区;充电桩;新能源汽车;储能;露营经济;车联网(车路协同);光伏概念;工业互联网;体育产业;数字经济;一带一路;跨境电商;深股通;融资融券,002902.SZ
605555,8,17,人形机器人;机器人概念;家用电器;无人驾驶;新能源汽车;人民币贬值受益;共同富裕示范区;沪股通,605555.SH
002782,14,33,高压快充;消费电子概念;5G;充电桩;小米汽车;新能源汽车;储能;比亚迪概念;光伏概念;机器人概念;华为概念;低空经济;融资融券;深股通,002782.SZ
002192,7,33,锂电池概念;储能;比亚迪概念;回购增持再贷款概念;粤港澳大湾区;深股通;融资融券,002192.SZ
603538,10,17,减肥药;CRO概念;肝炎概念;辅助生殖;流感;宠物经济;合成生物;人民币贬值受益;沪股通;融资融券,603538.SH
603026,9,17,氟化工概念;宁德时代概念;锂电池概念;环氧丙烷;燃料电池;新能源汽车;国企改革;沪股通;融资融券,603026.SH
