股票代码,code,market_code,所属概念,所属概念数量
920471.BJ,920471,151,基因测序;NMN概念;环氧丙烷;融资融券;合成生物;京津冀一体化;可降解塑料,7
301261.SZ,301261,33,减速器;人形机器人;工业母机;机器人概念;专精特新;高端装备;创投;京津冀一体化;深股通;融资融券,10
300905.SZ,300905,33,光刻胶;染料;专精特新;3D打印;足球概念;深股通;融资融券,7
300540.SZ,300540,33,商业航天;氢能源;燃料电池;专精特新;充电桩;储能;天然气;智慧灯杆;一带一路;车联网(车路协同);西部大开发;国企改革,12
300187.SZ,300187,33,医疗废物处理;生物质能发电;土壤修复;污水处理;固废处理;PPP概念;碳中和;风电;新型城镇化;智能电网;充电桩;光伏建筑一体化;雄安新区;PM2.5;储能;比亚迪概念;AI智能体;金属回收;小金属概念,19
688530.SH,688530,17,PET铜箔;MicroLED概念;MiniLED;芯片概念;钙钛矿电池;专精特新;HJT电池;光伏概念;小金属概念;融资融券,10
688191.SH,688191,17,特高压;智能电网;风电;无人机;专精特新;机器视觉;华为昇腾;华为概念;数字孪生;水利;DeepSeek概念;人工智能;AI智能体;鸿蒙概念;多模态AI;沪股通;融资融券,17
301217.SZ,301217,33,PET铜箔;PCB概念;5G;固态电池;宁德时代概念;锂电池概念;比亚迪概念;储能;国企改革;深股通;融资融券,11
688328.SH,688328,17,MiniLED;电子纸;先进封装;柔性屏(折叠屏);存储芯片;消费电子概念;OLED;第三代半导体;AI眼镜;共封装光学(CPO);MR(混合现实);芯片概念;智能穿戴;机器视觉;新型工业化;专精特新;小米概念;虚拟现实;华为概念;机器人概念;新能源汽车;锂电池概念;融资融券,23
688268.SH,688268,17,俄乌冲突概念;氟化工概念;光刻机;中芯国际概念;光刻胶;氢能源;存储芯片;第三代半导体;芯片概念;粤港澳大湾区;核电;专精特新;沪股通;融资融券,14
300550.SZ,300550,33,鸿蒙概念;区块链;腾讯概念;云计算;人工智能;DeepSeek概念;家庭医生;智能医疗;AI应用,9
300067.SZ,300067,33,染料;英伟达概念;柔性屏(折叠屏);算力租赁;芯片概念;东数西算(算力);C2M概念;多模态AI;Sora概念(文生视频);AIGC概念;百度概念;独角兽概念;区块链;长三角一体化;DeepSeek概念;人工智能;军工;IP经济(谷子经济);污水处理;海工装备;AI应用;PPP概念;宠物经济;深股通;融资融券,25
300586.SZ,300586,33,固态电池;PCB概念;钠离子电池;锂电池概念;宁德时代概念;芯片概念;专精特新;染料;燃料电池;可降解塑料;消毒剂;储能;氢能源;深股通;融资融券,15
300571.SZ,300571,33,算力租赁;华为昇腾;智谱AI;数字水印;多模态AI;快手概念;东数西算(算力);腾讯概念;阿里巴巴概念;虚拟数字人;数据要素;鸿蒙概念;元宇宙;数据中心;WiFi 6;短剧游戏;虚拟现实;DeepSeek概念;6G概念;智能音箱;F5G概念;5G;数字经济;文化传媒概念;共封装光学(CPO);芯片概念;无人机;低空经济;人形机器人;机器人概念;IP经济(谷子经济);智能家居;储能,33
300931.SZ,300931,33,智慧城市;物联网;融资融券,3
688549.SH,688549,17,国家大基金持股;存储芯片;中芯国际概念;先进封装;芯片概念;氟化工概念;沪股通;融资融券,8
688087.SH,688087,17,可降解塑料;碳中和;固废处理;回购增持再贷款概念;人民币贬值受益;沪股通;融资融券,7
688029.SH,688029,17,医疗器械概念;沪股通;融资融券,3
300317.SZ,300317,33,虚拟电厂;光伏建筑一体化;绿色电力;风电;光伏概念;华为概念;储能;粤港澳大湾区;国企改革;OLED;锂电池概念,11
300243.SZ,300243,33,PCB概念;固态电池;磷化工;锂电池概念;可降解塑料;风电;合成生物,7
300596.SZ,300596,33,合成生物;基因测序;乡村振兴;光伏概念;京津冀一体化;新能源汽车;OLED;柔性屏(折叠屏);消费电子概念;先进封装;AI眼镜;智能穿戴;融资融券;深股通,14
301317.SZ,301317,33,数据中心;专精特新;新能源汽车;2025年报预增;空气能热泵;人工智能;中俄贸易概念;污水处理;共同富裕示范区;深股通;融资融券,11
601828.SH,601828,17,国企改革;DeepSeek概念;阿里巴巴概念;腾讯概念;抖音概念(字节概念);沪股通;融资融券,7
600248.SH,600248,17,煤化工概念;参股保险;天然气;新疆振兴;国企改革;装配式建筑;PPP概念;乡村振兴;西部大开发;一带一路;雅下水电概念;水利;风电;DeepSeek概念;智慧城市;储能;融资融券;沪股通,18
000889.SZ,000889,33,算力租赁;腾讯概念;抖音概念(字节概念);阿里巴巴概念;百度概念;华为概念;5G;互联网金融;摘帽,9
688246.SH,688246,17,DRG/DIP;ChatGPT概念;华为鲲鹏;AI智能体;数据要素;AI应用;阿里巴巴概念;智能医疗;DeepSeek概念;数字经济;人工智能;养老概念;华为概念;数据中心;专精特新;融资融券,16
600770.SH,600770,17,汽车芯片;芯片概念;语音技术;数据安全;2025年报预增;碳纤维;人工智能;创投;跨境电商;网络游戏;手机游戏;绿色电力;融资融券;股权转让(并购重组);沪股通,15
600227.SH,600227,17,化肥;煤化工概念;煤炭概念;民营医院;阿尔茨海默概念;仿制药一致性评价;西部大开发;医疗器械概念;创投,9
002575.SZ,002575,33,算力租赁;Sora概念(文生视频);腾讯概念;区块链;东数西算(算力);DeepSeek概念;物业管理;创投;粤港澳大湾区;深股通;融资融券,11
600726.SH,600726,17,超超临界发电;绿色电力;煤炭概念;风电;黑龙江自贸区;国企改革;央企国企改革;沪股通,8
600152.SH,600152,17,固态电池;钠离子电池;锂电池概念;无人机;新型烟草(电子烟);消费电子概念;储能;换电概念;数据中心;两轮车;机器人概念;华为汽车;华为概念;共同富裕示范区,14
603095.SH,603095,17,高端装备;专精特新;机器视觉;创投;参股银行;华为概念,6
600744.SH,600744,17,超超临界发电;虚拟电厂;绿色电力;碳交易;风电;碳中和;煤炭概念;核电;央企国企改革;国企改革;融资融券;沪股通,12
603399.SH,603399,17,小金属概念;固态电池;锂电池概念;股权转让(并购重组);专精特新;沪股通;融资融券,7
601177.SH,601177,17,减速器;农机;机器人概念;人形机器人;工业互联网;军工;军民融合;核电;海工装备;风电;参股银行;国企改革;融资融券;沪股通,14
002218.SZ,002218,33,HJT电池;钙钛矿电池;光伏建筑一体化;硅能源;POE胶膜;绿色电力;光伏概念;充电桩;储能;粤港澳大湾区;商业航天;华为概念;卫星导航;新能源汽车;芯片概念;深股通;融资融券,17
002715.SZ,002715,33,创投;比亚迪概念;新能源汽车;黄金概念,4
603336.SH,603336,17,农业种植;冷链物流;一带一路;乡村振兴;国企改革;股权转让(并购重组),6
002412.SZ,002412,33,仿制药一致性评价;幽门螺杆菌概念;流感;医药电商;肝炎概念;创新药;农业种植;参股银行;融资融券,9
603317.SH,603317,17,高股息精选;西部大开发;融资融券;沪股通,4
001266.SZ,001266,33,物联网;传感器;新型工业化;换电概念;汽车电子;车联网(车路协同);工业互联网;数据中心;智能座舱;卫星导航;充电桩;机器人概念;商业航天;专精特新;无人驾驶;新能源汽车;人工智能;PCB概念;储能;农机;AI智能体;风电;回购增持再贷款概念,23
001358.SZ,001358,33,净水概念;碳中和;融资融券,3
601101.SH,601101,17,煤炭概念;煤化工概念;高股息精选;国企改革;融资融券;沪股通,6
003026.SZ,003026,33,汽车电子;芯片概念;传感器;2025年报预增;硅能源,5
603931.SH,603931,17,光刻胶;OLED;芯片概念;沪股通,4
